attribute,value_a,value_b,contradiction_degree,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
SCHEDULE,SLOW,SLOW,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,92bb10b10fa853f61d9fdf5c6bbddcdd3c8c2c5489a5d7d681108215bec6f75e
QUALITY,HIGH,HIGH,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6b251c275ba150fc5a35ce486b3a94ee1a62ddf66581a0e70eb569d08cf55cef
QUALITY,HIGH,MEDIUM,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f664a09c5061e1800e9f39cc78f73c3afe732e6ea1c880b658c506a64f964270
QUALITY,HIGH,LOW,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cd0b03d4d7d889cedd28597362c5cd427d59339d8d7e278dcdc3a5169f6579ba
QUALITY,MEDIUM,HIGH,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,732a47c5254f849c6e064d56013cbdceb2176f1f40c6b172093c7f617671d01b
QUALITY,MEDIUM,MEDIUM,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4321e51bcc10b0b2cbae07ced5af0c9d388af8ec6fa75396682e8aaf22b6ce1b
QUALITY,MEDIUM,LOW,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0cad7ebeb274d12c28f0b8576a7bdb04d748d07b84b0bdc35d3bf48f3ac79b2d
QUALITY,LOW,HIGH,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b0681a145d596931a62595061c70e7753142f14df7e171f03b4c9280d8b03c77
QUALITY,LOW,MEDIUM,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,635c46f2905fe383a9c757909155f408d0023e9759da1d88e13b9434b474d1ea
QUALITY,LOW,LOW,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f1fdc7b5c0519e8d7bab3cc69c9c2188c161d7630990b153f2b9aa2c7c17975c
RISK,LOW,LOW,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0a66cc154d61c9f7e74bc812f27cf15b25823a6113c71716c3232b5bc07fe3ad
RISK,LOW,MEDIUM,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9311d3dab6c3925238abcf6d1c7cf7b2e9a7350986e3b614a8b25254c664e47b
RISK,LOW,HIGH,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,421702c786dd7acb981a61405c18c3c180e6675e493e51f9ef8c686626ef6bce
RISK,MEDIUM,LOW,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,36ae74e4f914128cfa0381fac5865ade7b4dcf2f321bf8c3c2c5de2b98438b44
RISK,MEDIUM,MEDIUM,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,90897fc4997365519f09d2fda11516156a26d9aabc975c5eb4107802edd55427
RISK,MEDIUM,HIGH,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7e01905d0324d1b94c48a7204026637c1cc81ab57225f0dbc69b648dd8e35e37
RISK,HIGH,LOW,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,336c42df4b349c67e19069dcc02c23dd350af7657c29b0ce667ddc98f2169e39
RISK,HIGH,MEDIUM,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4c10ab29e9dd9927fd729c79dbb801e820473b6bc40ea1e7c07a597be96a9130
RISK,HIGH,HIGH,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2104c379b6d867dcf9cc1d4e80dd423c52400c69cb0f50c502debc1aadec6cfc
