scenario_id,scenario_name,ground_truth_severity,evidence_completeness,ground_truth_status,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
ESC-11,Epistemic Scenario 11,0.415622,0.948013,YELLOW,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9592a08a8b1b9e32bc9db5998efadfac166dd9c1a141fd2315ad1fe9b930a647
ESC-12,Epistemic Scenario 12,0.478242,0.903883,YELLOW,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1a2e8308be4e1ca6c70cc858b319724b05e649e4594a3aad9eca37bd3e8394fa
ESC-13,Epistemic Scenario 13,0.461621,0.725426,YELLOW,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,30c17751611fab20210c53b0e40c0b38b81ad7851d9a10c86b0521b23b5f0a25
ESC-14,Epistemic Scenario 14,0.578799,0.88486,AMBER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8d35e505ee3b388339f27e0f1ad3b85b5111e612e24af14397355bbcf6501ef6
ESC-15,Epistemic Scenario 15,0.605053,0.892191,AMBER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c4e7bfd0b3dee5766f81ecbba6c7117fee3423d625629725740373d185fc2a68
ESC-16,Epistemic Scenario 16,0.570398,0.866825,AMBER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e898b75e8599de679af34f35e0ff9eb29523fe5185da5a1ee8ea839ff2bc5483
ESC-17,Epistemic Scenario 17,0.72959,0.751571,AMBER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bc30b2228ecfe06d8e4db8cee834c0cbdfaa4c683f2c0f86bf25d2f61de34546
ESC-18,Epistemic Scenario 18,0.706247,0.968268,AMBER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,828ab409a618050f868c6f2e35f04635136353767236868b6c016810f956c86b
ESC-19,Epistemic Scenario 19,0.731358,0.748312,AMBER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ed9030d916aec15da1298d8896bcc821591d2a81ff8c98df3c35ccdf1ab1e640
ESC-20,Epistemic Scenario 20,0.714168,0.909896,AMBER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f20a9fe7f7c621eaef561a21ca08cdb73c73893a0a328252b47483c3862af4f8
ESC-21,Epistemic Scenario 21,0.863703,0.813502,RED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,781a9bf159a980e879e9217499c664f09cca4fb6983d89df48a6128e4645b203
ESC-22,Epistemic Scenario 22,0.84591,0.783293,RED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b7c84a74a33aecbcbaf6a316a2e55e5061ff2b7251fe1c035f5e050c34fa8bb3
ESC-23,Epistemic Scenario 23,0.87232,0.94219,RED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,827a4f203557d18a4ff3e24f5dca67629e74df6e3f2c7550d38c6a31aa8a5892
ESC-24,Epistemic Scenario 24,0.908833,0.669353,RED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c9e34bb24e9cac20f42555b48b02d159cd004478886b15e37c5c5a5eb4de726d
