project_id,activity_id,activity_name,wbs_id,activity_type,baseline_duration_days,optimistic_duration_days,most_likely_duration_days,pessimistic_duration_days,calendar_id,resource_group,location_id,critical_chain_flag,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-A12,Operational Readiness,PRJ-AIR-WBS-12,MILESTONE,13.8,10.543,13.8,18.751,CAL-5D,COMMISSIONING,LOC-06,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,16a9672d02e56206a4846eb1bda8d95ac592bec177ae53a92c03b7fc6a30e509
PRJ-HWY,PRJ-HWY-A01,Notice to Proceed,PRJ-HWY-WBS-01,MILESTONE,6.2,4.877,6.2,8.044,CAL-5D,DESIGN,LOC-01,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8345006e489985f00e28873190b9de3950db4eaf8b3a9104238ecef0dd47a937
PRJ-HWY,PRJ-HWY-A02,Traffic Control Design,PRJ-HWY-WBS-02,TASK,21.8,17.207,21.8,27.591,CAL-5D,DESIGN,LOC-02,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0572894ee6dd3414b8ea6e1b9d5cc3dae99779b9f1a004d2e8f6520c8970d122
PRJ-HWY,PRJ-HWY-A03,Utility Relocation,PRJ-HWY-WBS-03,TASK,31.2,23.967,31.2,39.636,CAL-5D,PROCUREMENT,LOC-03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,04930ee539d9eb706acae7f69c091a325abe8df0090eaa167f968c21519da4b0
PRJ-HWY,PRJ-HWY-A04,Clearing and Earthwork,PRJ-HWY-WBS-04,TASK,21.5,17.11,21.5,26.802,CAL-5D,PROCUREMENT,LOC-04,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8d71be20f0e19ded20b6152c495a4513e6d5c1961eb1876389b23cd9041b1b8c
PRJ-HWY,PRJ-HWY-A05,Drainage,PRJ-HWY-WBS-05,TASK,27.4,21.335,27.4,35.088,CAL-5D,CIVIL,LOC-05,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,88fb859f0d8c7f3dc7e2ed7aee8f25afc7551197514023e2c7b3f59b451d46d6
PRJ-HWY,PRJ-HWY-A06,Subgrade,PRJ-HWY-WBS-06,TASK,44.2,36.641,44.2,55.202,CAL-5D,CIVIL,LOC-06,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,370d05ef34859b281bc697f5df57d93f204696bbd634c582aca68b74860ac3c4
PRJ-HWY,PRJ-HWY-A07,Structures,PRJ-HWY-WBS-07,TASK,32.7,25.19,32.7,41.311,CAL-5D,STRUCTURAL,LOC-01,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2eb99886bb1bba6f00ce09ccb06d990a97a1cf6551e78a22d7457ae3278bd9f3
PRJ-HWY,PRJ-HWY-A08,Base Course,PRJ-HWY-WBS-08,TASK,42.9,35.174,42.9,54.323,CAL-5D,STRUCTURAL,LOC-02,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b2b2c67a03bb87e269cd16e07d5b491ef4628ff864d7f5264ac334a0dfccdaef
PRJ-HWY,PRJ-HWY-A09,Paving,PRJ-HWY-WBS-09,TASK,34.4,26.078,34.4,43.75,CAL-5D,MEP,LOC-03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,38d481c4ff47450a31fd5fc50004a8206476ed31cc99f40b7a0c3299e4a6a154
PRJ-HWY,PRJ-HWY-A10,ITS and Lighting,PRJ-HWY-WBS-10,TASK,35.7,28.337,35.7,44.886,CAL-5D,MEP,LOC-04,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,24ea95839e679b17341ac0740ab6c818ba26c0f8ca183c6fe804d97ebf85a982
PRJ-HWY,PRJ-HWY-A11,Punch and Safety Review,PRJ-HWY-WBS-11,TASK,22.6,18.276,22.6,27.936,CAL-5D,COMMISSIONING,LOC-05,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ccf46b35f8c73e79e3e5c3de16f9759b391e191f39098d2c69f48e3f600866c7
PRJ-HWY,PRJ-HWY-A12,Open to Traffic,PRJ-HWY-WBS-12,MILESTONE,12.5,9.672,12.5,16.433,CAL-5D,COMMISSIONING,LOC-06,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a5bbcc8944addd78bdc2a494630eccb69126b666f34079caba857e51246556af
PRJ-HSP,PRJ-HSP-A01,Notice to Proceed,PRJ-HSP-WBS-01,MILESTONE,6.7,5.347,6.7,8.392,CAL-5D,DESIGN,LOC-01,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,01a3f6f249832898fd2b79b2b0f3aa24e96af98b272398188b2d3195113045c0
PRJ-HSP,PRJ-HSP-A02,Clinical Design Freeze,PRJ-HSP-WBS-02,TASK,19.4,15.148,19.4,25.01,CAL-5D,DESIGN,LOC-02,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c6fc2769febdac01834dda6d7fe4d9d757688718af0ad647ca5c1cda039f544a
PRJ-HSP,PRJ-HSP-A03,Long-Lead Equipment,PRJ-HSP-WBS-03,TASK,38.4,30.233,38.4,50.104,CAL-5D,PROCUREMENT,LOC-03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b3993f69d453033f8e53798b64fac906c39bd2fd07b78bee6df496ad1331f8a6
PRJ-HSP,PRJ-HSP-A04,Site and Excavation,PRJ-HSP-WBS-04,TASK,23.4,17.646,23.4,29.59,CAL-5D,PROCUREMENT,LOC-04,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1d4b5aee4142b8565f4fc1a66e00f574bf9eee50cb46ffceca9c601c7be2669b
PRJ-HSP,PRJ-HSP-A05,Foundations,PRJ-HSP-WBS-05,TASK,34.3,27.698,34.3,43.854,CAL-5D,CIVIL,LOC-05,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,42f253119db9a2d4047e4ae80d4d045a4123eeee90d0a37ca3395eb745f419fd
PRJ-HSP,PRJ-HSP-A06,Superstructure,PRJ-HSP-WBS-06,TASK,48.5,37.443,48.5,64.715,CAL-5D,CIVIL,LOC-06,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,208e8f7e4cedeeeb5e6b3a668130e1b53a00a928eaa1a2f8d95d7da593394b4d
PRJ-HSP,PRJ-HSP-A07,Envelope,PRJ-HSP-WBS-07,TASK,33.4,25.493,33.4,42.95,CAL-5D,STRUCTURAL,LOC-01,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,90d3e391143f85721c4873691ea38a5309796848d4cb704f3f5bb1fb91124eaf
PRJ-HSP,PRJ-HSP-A08,MEP and Medical Gas,PRJ-HSP-WBS-08,TASK,47.8,36.47,47.8,61.858,CAL-5D,STRUCTURAL,LOC-02,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b73b7cd428d8462399e017724bf1a577b358aff0ccc534881ab93a4cc1ef5c96
PRJ-HSP,PRJ-HSP-A09,Interior Build-Out,PRJ-HSP-WBS-09,TASK,34.4,27.467,34.4,45.373,CAL-5D,MEP,LOC-03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,98d144aa2dccedda361ddc500bb9097748d30a87cbec8ce3f023d4eb63d9dc8f
PRJ-HSP,PRJ-HSP-A10,Equipment Install,PRJ-HSP-WBS-10,TASK,38.7,29.359,38.7,48.07,CAL-5D,MEP,LOC-04,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7247c079237641bf36444c4fe2fbfe462a0e868f1997eca59b03e10b7d2cf62e
PRJ-HSP,PRJ-HSP-A11,Commissioning,PRJ-HSP-WBS-11,TASK,26.4,21.337,26.4,34.202,CAL-5D,COMMISSIONING,LOC-05,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b67c840eb63c5eaf55daa1317aad687950f7c0e25de2932f175f71a61381de0c
PRJ-HSP,PRJ-HSP-A12,Occupancy Readiness,PRJ-HSP-WBS-12,MILESTONE,12.9,10.441,12.9,16.319,CAL-5D,COMMISSIONING,LOC-06,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c4c96ec9ae1daa88e91ce885c03618ddc6672f506a3d833a368c27de3595bdd7
PRJ-WTR,PRJ-WTR-A01,Notice to Proceed,PRJ-WTR-WBS-01,MILESTONE,3.4,2.694,3.4,4.484,CAL-5D,DESIGN,LOC-01,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4e4589bb033da98758755234c8b97a9a6e1c026653e54bb49ed616cb6083aa56
PRJ-WTR,PRJ-WTR-A02,Process Design,PRJ-WTR-WBS-02,TASK,17.4,13.284,17.4,22.516,CAL-5D,DESIGN,LOC-02,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f6e0a9248616a1d40aacecf667575ad756e20a9a8be8ef2110a814d9c5bba7a0
PRJ-WTR,PRJ-WTR-A03,Equipment Procurement,PRJ-WTR-WBS-03,TASK,22.4,17.752,22.4,28.302,CAL-5D,PROCUREMENT,LOC-03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f9c281c45db62327cd2a0d995db80f43c005acce2bb5e20d27fe53f4c7037cb2
PRJ-WTR,PRJ-WTR-A04,Site Preparation,PRJ-WTR-WBS-04,TASK,17.6,13.158,17.6,23.155,CAL-5D,PROCUREMENT,LOC-04,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0cc361a8e4089fcc05ebf4a68349765ffb1235b47ad1717c32c0269e70a1a736
PRJ-WTR,PRJ-WTR-A05,Civil Basins,PRJ-WTR-WBS-05,TASK,24.3,18.623,24.3,31.373,CAL-5D,CIVIL,LOC-05,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e653cd8a4eeaa30cf9f1e7e933189595192e1fb69395c59e28155beb39b14eb3
PRJ-WTR,PRJ-WTR-A06,Process Structures,PRJ-WTR-WBS-06,TASK,40.8,31.411,40.8,52.036,CAL-5D,CIVIL,LOC-06,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1e2fa0fd527736375849ea19ad4f2391f1fcfc6b88c9781ac54c15823eae4975
PRJ-WTR,PRJ-WTR-A07,Piping,PRJ-WTR-WBS-07,TASK,29.8,22.697,29.8,38.081,CAL-5D,STRUCTURAL,LOC-01,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ca447a36a0a8332efcb3ea800c1c80868c4b7ae329a21130a6d3a66053868df8
PRJ-WTR,PRJ-WTR-A08,Electrical and Controls,PRJ-WTR-WBS-08,TASK,38.6,29.92,38.6,48.089,CAL-5D,STRUCTURAL,LOC-02,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,20bc07614b44294c2da28c06ce46b5725d9c495a10a6708478d6f1a0dd37543a
PRJ-WTR,PRJ-WTR-A09,Equipment Installation,PRJ-WTR-WBS-09,TASK,27.5,20.685,27.5,34.96,CAL-5D,MEP,LOC-03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c07fbd05d81b7062aee8b5667d9b7eed7944db97863d3f7094ea72da76e13372
PRJ-WTR,PRJ-WTR-A10,Startup Preparation,PRJ-WTR-WBS-10,TASK,31.0,24.744,31.0,38.801,CAL-5D,MEP,LOC-04,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,853354f8ea35c51bb8280fef19397a1c02bea7ecf1ef2f505663801dc83627f8
PRJ-WTR,PRJ-WTR-A11,Performance Testing,PRJ-WTR-WBS-11,TASK,19.6,15.478,19.6,24.15,CAL-5D,COMMISSIONING,LOC-05,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4cc7dda91ac7b61f3af6118141a8431e321e2de0dd7f93328968e31bad83584a
PRJ-WTR,PRJ-WTR-A12,Beneficial Use,PRJ-WTR-WBS-12,MILESTONE,9.9,7.732,9.9,12.864,CAL-5D,COMMISSIONING,LOC-06,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,28bba99be910e442ffd00e551ad589ca0d369eb8391e9c760b0eba13eb566a86
PRJ-RAL,PRJ-RAL-A01,Notice to Proceed,PRJ-RAL-WBS-01,MILESTONE,6.5,5.026,6.5,8.431,CAL-5D,DESIGN,LOC-01,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,90adba29e75cf4a273681495e912358f21bbd50c699453e31579a482c03fe3d1
PRJ-RAL,PRJ-RAL-A02,Design and Interfaces,PRJ-RAL-WBS-02,TASK,20.7,16.413,20.7,26.744,CAL-5D,DESIGN,LOC-02,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,964617f240156d1b6c10dfac73e24b35c1c42d08d206b2a118d86ac40dd566ea
PRJ-RAL,PRJ-RAL-A03,Long-Lead Systems,PRJ-RAL-WBS-03,TASK,31.3,23.894,31.3,40.669,CAL-5D,PROCUREMENT,LOC-03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7b056850f8dc5ded56a256ce5417e0841072c0ff50009829701d80a432591c31
PRJ-RAL,PRJ-RAL-A04,Site and Access,PRJ-RAL-WBS-04,TASK,24.1,19.99,24.1,30.687,CAL-5D,PROCUREMENT,LOC-04,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cfd1fede1a3730d4f62ec6f916dd200fd4ace70354753dba1e5334e3a5b6fff8
PRJ-RAL,PRJ-RAL-A05,Foundations,PRJ-RAL-WBS-05,TASK,29.8,23.009,29.8,38.719,CAL-5D,CIVIL,LOC-05,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cda0bd763e341710192c44e5d4fea6f5788777a6bc4c614d444207bf254b7c2f
PRJ-RAL,PRJ-RAL-A06,Structural Works,PRJ-RAL-WBS-06,TASK,48.1,39.702,48.1,63.261,CAL-5D,CIVIL,LOC-06,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,253462e49b78f1d7e296d15969b156802ee68512ac1d62b1d8ec5f2299e641df
PRJ-RAL,PRJ-RAL-A07,Platforms and Track,PRJ-RAL-WBS-07,TASK,34.5,27.46,34.5,43.285,CAL-5D,STRUCTURAL,LOC-01,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b28af5fcdfc24fd6b830cc5a34420661049ac2bf8377394ef7109d08a2321abc
PRJ-RAL,PRJ-RAL-A08,Envelope,PRJ-RAL-WBS-08,TASK,40.9,31.103,40.9,52.76,CAL-5D,STRUCTURAL,LOC-02,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d3dc55443be8d83910bac3a3cb4679506d2b9eab3fd4a980e6ba0a834406cc59
PRJ-RAL,PRJ-RAL-A09,Systems Integration,PRJ-RAL-WBS-09,TASK,31.9,25.894,31.9,40.719,CAL-5D,MEP,LOC-03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5c24864ded18dd696b3f4f0abbb2865a0b8ab1ce29cdaff69bfe854804590053
PRJ-RAL,PRJ-RAL-A10,Architectural Finish,PRJ-RAL-WBS-10,TASK,38.0,29.792,38.0,49.834,CAL-5D,MEP,LOC-04,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bbfdeddfbf78a21168807cddd72c3a22b951d78916801afc27581711af937f6a
PRJ-RAL,PRJ-RAL-A11,Testing,PRJ-RAL-WBS-11,TASK,21.8,17.417,21.8,28.492,CAL-5D,COMMISSIONING,LOC-05,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4df6897429c0bc9523cbcc28322432dfac8f775b2ea21487abc2ef706e818cce
PRJ-RAL,PRJ-RAL-A12,Revenue Service Readiness,PRJ-RAL-WBS-12,MILESTONE,12.2,9.598,12.2,15.653,CAL-5D,COMMISSIONING,LOC-06,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a9fcc1f36b54b9633c418e7ee79093f2fe5d0fd36267a8e10af38edb7a005f74
PRJ-DCT,PRJ-DCT-A01,Notice to Proceed,PRJ-DCT-WBS-01,MILESTONE,4.9,3.997,4.9,6.101,CAL-5D,DESIGN,LOC-01,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,445fafec8de1cb01d284ff4daeb8c9b9269f1ac6fbfc05d64c3e2908e6e5c7ff
PRJ-DCT,PRJ-DCT-A02,Design Release,PRJ-DCT-WBS-02,TASK,17.2,13.745,17.2,21.95,CAL-5D,DESIGN,LOC-02,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6ef3e17f7577aed29cfa71d8b2e11e512fd608f0074bab83c22148fa96835cf4
PRJ-DCT,PRJ-DCT-A03,Electrical Equipment Procurement,PRJ-DCT-WBS-03,TASK,30.6,23.772,30.6,38.755,CAL-5D,PROCUREMENT,LOC-03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3c02e08a96b86b91902071c82ce2a3ed2bc17b8de57a6323e38e0f5cd962a93f
PRJ-DCT,PRJ-DCT-A04,Site and Foundations,PRJ-DCT-WBS-04,TASK,17.8,13.771,17.8,22.759,CAL-5D,PROCUREMENT,LOC-04,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3e8dec1bc6babbcec80d181d7481da15d81aca08cf06845a89257b23b54553a8
PRJ-DCT,PRJ-DCT-A05,Shell,PRJ-DCT-WBS-05,TASK,22.5,17.873,22.5,28.531,CAL-5D,CIVIL,LOC-05,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,82c4247b1232adb0db4d9d033509374e33dd9e963fb9bb80be4cf78aaa4958f1
PRJ-DCT,PRJ-DCT-A06,Electrical Rooms,PRJ-DCT-WBS-06,TASK,37.3,28.257,37.3,47.337,CAL-5D,CIVIL,LOC-06,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,de5d9c18ca429f15b4130c6a3cfa564e821b00ff0b4369b8012e8c3b1fa1f5ae
PRJ-DCT,PRJ-DCT-A07,Mechanical Systems,PRJ-DCT-WBS-07,TASK,26.9,22.19,26.9,35.84,CAL-5D,STRUCTURAL,LOC-01,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bb0085c2f1fd3aa0476963d157598031583d9d810bdbb862ab8e081932e2b3d7
PRJ-DCT,PRJ-DCT-A08,White Space Fit-Out,PRJ-DCT-WBS-08,TASK,34.9,27.199,34.9,44.931,CAL-5D,STRUCTURAL,LOC-02,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,19b8653988f2752985ac2af7acd15505aff0de2cc353737602412de0b9fc7105
PRJ-DCT,PRJ-DCT-A09,Controls Integration,PRJ-DCT-WBS-09,TASK,28.7,22.534,28.7,35.73,CAL-5D,MEP,LOC-03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,89417ae687730c7c43852752fef0574e9ef43f1ff49e58d94286f30556a01bb3
