project_id,period_id,period_number,period_start,period_end,status_date,status_day,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-WTR,P01,1,2026-03-05,2026-04-16,2026-04-11,37,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9bce07202288147aeb2e0086352ffb3fd74452ad10841ea25e84f4af8536102d
PRJ-WTR,P02,2,2026-04-17,2026-05-29,2026-05-18,74,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0b5318bd1465512bfa5e1d3cfdb216f6acc33f1e167c9c266081515b83450785
PRJ-WTR,P03,3,2026-05-30,2026-07-12,2026-06-24,111,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0b40ccc30632b61129717d5e10c19c892ce2b27132270203c5d8fe1593aa75be
PRJ-WTR,P04,4,2026-07-13,2026-08-24,2026-08-01,149,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a64967c74a568e41a14b0d0c66e6e3030ee81829bf846a627280cd1fddff8141
PRJ-WTR,P05,5,2026-08-25,2026-10-06,2026-09-07,186,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0841c40a74990687f2702725baa85d7708595070610d2c70ea5e5c0fbe3cae35
PRJ-WTR,P06,6,2026-10-07,2026-11-19,2026-10-14,223,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f6e0bba73b976eb97f13e95048413c80bcc120ea1c2a8f553d57a0b7c2a7e247
PRJ-RAL,P01,1,2026-03-26,2026-05-16,2026-05-10,45,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8fc5c9c58ba43c4ecccb4adbfad3bc32969976b4987aad052c900806b9784927
PRJ-RAL,P02,2,2026-05-17,2026-07-07,2026-06-24,90,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2c738b6937acf03609e561ba357c1868f6867b302f3ed95debdae8bf22375206
PRJ-RAL,P03,3,2026-07-08,2026-08-29,2026-08-08,135,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dcae99eceb067a01efa394e596c44f87da67d17fe136e893d6d0942b4ae6e11d
PRJ-RAL,P04,4,2026-08-30,2026-10-20,2026-09-21,179,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,504163703bd8832b4b1484980d3937a766d28a8bb207314eee1e81679842f89e
PRJ-RAL,P05,5,2026-10-21,2026-12-11,2026-11-05,224,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6a08d514e6da22efbd33696078f28f047a5d79949791070f26ac10197252abcb
PRJ-RAL,P06,6,2026-12-12,2027-02-02,2026-12-20,269,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,79b000d559b6905bba8e4df399d2153726498cd813c4dec604caeb474fa3fdb1
PRJ-DCT,P01,1,2026-04-16,2026-05-29,2026-05-24,38,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,edf7075691da921764844c1f2fc8ac272586f429d7181d356182bb4160f3889f
PRJ-DCT,P02,2,2026-05-30,2026-07-13,2026-07-01,76,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5fb4c640e3312664681f3953ed1edd607c365d81a51226de2ac7197704e2fed5
PRJ-DCT,P03,3,2026-07-14,2026-08-26,2026-08-08,114,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dd90a24e69e0665fa06dd7001a6759128168fd7151cebb59329b004c312efb57
PRJ-DCT,P04,4,2026-08-27,2026-10-10,2026-09-16,153,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9f3ca6b477cb4e7bec97b3e8009aba0ae15074e53bf251a5b57e5480c660feb3
PRJ-DCT,P05,5,2026-10-11,2026-11-23,2026-10-24,191,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,26f2b645735f518e7b61f85a81a65e44357e1a8d841ec2af74ea0e193f73726f
PRJ-DCT,P06,6,2026-11-24,2027-01-07,2026-12-01,229,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,db1fb123bf8c01c1f78eb3a531ed042cd6c78f9305d8fd02a753d88c06720bff
