project_id,time_step,agent_id,state,demand_units,delivered_units,inventory_end_units,effective_capacity_units,lead_time_steps,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,2,PRJ-AIR-SUP-03,NORMAL,4.225977,4.225977,22.80895,12.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3972d76471eb17c538ad9e39724ea54407a8dbc346a69a6f38add2ecd29776bc
PRJ-AIR,2,PRJ-AIR-SUP-04,NORMAL,6.995191,6.995191,14.277315,8.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b7ffc4ff09a4bf26f6e9da77a0944b84e1a996679a4f2477b4dcde77e029bc12
PRJ-AIR,2,PRJ-AIR-SUP-05,NORMAL,5.437893,5.437893,21.113118,10.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,48e512a4bf1abb6d65ab9d0843f645ea4b2a61f52be2c667569d846926cb7d33
PRJ-AIR,2,PRJ-AIR-SUP-06,NORMAL,4.665909,4.665909,25.650558,12.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,37c608e31dbcd1f0df8c347f7ae9d6e1efd1594e3029984bd049a6c80db8800f
PRJ-AIR,2,PRJ-AIR-SUP-07,NORMAL,4.389064,4.389064,21.434622,8.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,225544cfb48bd92d4b479f8f786b935a06dce8aa7a5714ba6307b88b43709865
PRJ-AIR,2,PRJ-AIR-SUP-08,NORMAL,6.264494,6.264494,22.320022,10.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0a67a26599271bafdf62c4df7db9355f4668ed7f7cb7da5f0eb86440a1753881
PRJ-AIR,3,PRJ-AIR-SUP-01,NORMAL,5.175832,5.175832,17.624168,8.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6c4283f32f66904f9dd0b6f13db375b4a54d8aa83137bb986e8478ebb94165ae
PRJ-AIR,3,PRJ-AIR-SUP-02,NORMAL,3.461376,3.461376,20.905815,10.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a8645a1e4fcd24141c5092e4698661f7e9275ed9354b78477f476c40e60f9036
PRJ-AIR,3,PRJ-AIR-SUP-03,DISRUPTED,5.837914,5.4,26.40895,5.4,6,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4de6ad0d4b3c3b87c4daf6324ef09aace5ee0385b58abe5dab59dab6c6d45739
PRJ-AIR,3,PRJ-AIR-SUP-04,NORMAL,5.613941,5.613941,14.663374,8.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,df5a633e86adfdff2f39f9511b1e387e062612b9475f2492494c9236bfac12cb
PRJ-AIR,3,PRJ-AIR-SUP-05,NORMAL,4.652299,4.652299,23.960819,10.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8f9f0245b388392e49d0e5801311fce797aa661a3329c684cad0cad746c381df
PRJ-AIR,3,PRJ-AIR-SUP-06,DISRUPTED,6.215344,5.4,29.250558,5.4,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,48efe46f74041c8a81f269f8dd3625ae315d3edde1c790b1bd2995e72f4f0f57
PRJ-AIR,3,PRJ-AIR-SUP-07,NORMAL,3.988257,3.988257,23.446365,8.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,198c194ce6fee2d71ae251eb6e80613235f4fa288ce049e2abfae4fbd525fc7c
PRJ-AIR,3,PRJ-AIR-SUP-08,NORMAL,4.472163,4.472163,25.347859,10.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ce9977bcf096d07c1abe9e755d55cdb6f7f45e3bce695c0bdc848c318c594d7c
PRJ-AIR,4,PRJ-AIR-SUP-01,NORMAL,4.039402,4.039402,19.584765,8.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e432cb6aa2d03a3e4da556dcb080a7db57404645eb3428fcc964bc2908694c6c
PRJ-AIR,4,PRJ-AIR-SUP-02,DISRUPTED,4.162013,4.162013,24.243802,4.5,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f0d36d36483e8c1fe9e99de46cf2b68711f0041fd7e74b7e4738f6336d980e9d
PRJ-AIR,4,PRJ-AIR-SUP-03,NORMAL,5.259858,5.259858,30.149093,12.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1175740952808d520006c78fc57faffc46c0eca38894bbd9fbef161ed0686e59
PRJ-AIR,4,PRJ-AIR-SUP-04,DISRUPTED,4.798032,3.6,17.063374,3.6,7,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,68012fda339230008f40b2f877bc510765f8d0250159450e24ea7b84faab4690
PRJ-AIR,4,PRJ-AIR-SUP-05,NORMAL,5.413602,5.413602,26.047217,10.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ccec75ff94cca8cc73c879cf800cc0006a0ca6f8a173a41d098cf760ec5b1cc2
PRJ-AIR,4,PRJ-AIR-SUP-06,NORMAL,3.50067,3.50067,34.749887,12.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e843c1d063484d7befbd8cf83f250f8a1bd53b947beaaa919e89bb104093f02e
PRJ-AIR,4,PRJ-AIR-SUP-07,DISRUPTED,5.685252,3.6,25.846365,3.6,6,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,edfacfa442df8608ee5b91443574dc7dcf7c2cd9148b1b5b0fb86bfa3cc97fc7
PRJ-AIR,4,PRJ-AIR-SUP-08,NORMAL,4.647171,4.647171,28.200688,10.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8ad9a867b6a4396dbe7ca285dc4afe9bcd4b922edaf95745fee42d857f6990f7
PRJ-AIR,5,PRJ-AIR-SUP-01,NORMAL,4.671437,4.671437,20.913329,8.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8340e5b2172f875040f1a3ef57a24dbb4cd2cc40f6285a062a41c2e47c1af409
PRJ-AIR,5,PRJ-AIR-SUP-02,DISRUPTED,5.219538,4.5,27.243802,4.5,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,eddc9ae0752b34cb2af6e2a248f138a42231a3f2430da2f2976acdeae86e8e9e
PRJ-AIR,5,PRJ-AIR-SUP-03,NORMAL,3.857392,3.857392,35.291701,12.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5e8924d98eb6838032d10c7dbca3d28723ec5b3306f3e9a2f3b0f6c3584ee98c
PRJ-AIR,5,PRJ-AIR-SUP-04,NORMAL,3.38598,3.38598,19.677395,8.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,20758edef55663e01135ebc7957c2b65fd6a7439ea5b4e94f4c7d0c9e3a9db68
PRJ-AIR,5,PRJ-AIR-SUP-05,NORMAL,5.990284,5.990284,27.556933,10.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d719a6e054442b26f4eb0c8a08f6ab638337f86979b13f3222271590ec5e1cc8
PRJ-AIR,5,PRJ-AIR-SUP-06,NORMAL,2.574431,2.574431,41.175456,12.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,da0f91fde2479e320d4bc7a017b89fd61bd274f15e5f12b586640785a6d33b24
PRJ-AIR,5,PRJ-AIR-SUP-07,NORMAL,4.87729,4.87729,26.969075,8.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cdf0aee455fd8fbd218bf54fefb3a968a82676ad16153d76e526441652413bad
PRJ-AIR,5,PRJ-AIR-SUP-08,NORMAL,4.776143,4.776143,30.924544,10.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1e4be72c70a608a6b94ac81c21e589d73a7ff8d61a5a1d2e2f3a8bada019c7fe
PRJ-AIR,6,PRJ-AIR-SUP-01,NORMAL,3.909414,3.909414,23.003914,8.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,97785b28157ffde245833579c87a2ed66f8b69e6eb93148193ac4d7007e6c25f
PRJ-AIR,6,PRJ-AIR-SUP-02,DISRUPTED,4.248082,4.248082,30.49572,4.5,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a63f19628852eac7d4fe1e8df1e7871040c1e3b024334ece9d705c748b23da83
PRJ-AIR,6,PRJ-AIR-SUP-03,NORMAL,6.366543,6.366543,37.925158,12.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,057f6ee0844d5cec78fee070ffd1714e924252fbaf6e1ef7f71c2f2f3643761e
PRJ-AIR,6,PRJ-AIR-SUP-04,NORMAL,5.485205,5.485205,20.192189,8.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,11b38a161fc8ee6a9e35da84836647bdf17cc702f3213bcac76eba76e45644dc
PRJ-AIR,6,PRJ-AIR-SUP-05,NORMAL,4.815559,4.815559,30.241374,10.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a413e0e7aed189016fe11d798abfaa3b404ecaaf8185f3746bd29d3b5004a165
PRJ-AIR,6,PRJ-AIR-SUP-06,NORMAL,4.820621,4.820621,45.354836,12.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,702e2526bede3d074dc4fca4e4691f82826fa38ed8510d0f65f25a6d3dc7eb52
PRJ-AIR,6,PRJ-AIR-SUP-07,NORMAL,5.999215,5.999215,26.96986,8.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,373415d2fa23c3682070e2151086edb9a3f61aa0db9e7b2783b4491028ff02f3
PRJ-AIR,6,PRJ-AIR-SUP-08,NORMAL,6.29861,6.29861,32.125935,10.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2d13d55290412538257d8a1d31bf096712dd02896a354b35accfa63000d8c049
PRJ-AIR,7,PRJ-AIR-SUP-01,NORMAL,5.327401,5.327401,23.676514,8.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,29a9cda12b807a2d41d0a87117f3744725bacfcf4bb318fa51a17978cee4aebb
PRJ-AIR,7,PRJ-AIR-SUP-02,NORMAL,6.331883,6.331883,31.663837,10.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,db732d1c56e123a5da87a7cab51adae49eccf69e48dc3e51e02678f43c63084b
PRJ-AIR,7,PRJ-AIR-SUP-03,NORMAL,5.561242,5.561242,41.363916,12.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c6e4d7a9b8d58a3b9901d9a4b789db35da461321ec78c78b283877247d192b08
PRJ-AIR,7,PRJ-AIR-SUP-04,NORMAL,5.244717,5.244717,20.947472,8.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,47e6088ae1ecc6d861661378cad50056867b6ef90c6d9838818932698440e74c
PRJ-AIR,7,PRJ-AIR-SUP-05,NORMAL,4.108167,4.108167,33.633207,10.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0ec3f6662f84d5582b3805e952c822638b9fcc4084e97c7e6af950b6aba24a64
PRJ-AIR,7,PRJ-AIR-SUP-06,NORMAL,4.234013,4.234013,50.120823,12.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,17e6a3cdf93210435b7960f0dcf9060027e025b7ed8419275d6f48becb8c60f1
PRJ-AIR,7,PRJ-AIR-SUP-07,NORMAL,5.588516,5.588516,27.381344,8.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ad1667ebcaf3a798b047e5ae9356e049e449e3d644890516ef715192f5f5884e
PRJ-AIR,7,PRJ-AIR-SUP-08,NORMAL,6.192996,6.192996,33.432939,10.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c4b3ac69c8c744ad862df7cdf8929c36445c24a20adf69fec2901de809f301f0
PRJ-AIR,8,PRJ-AIR-SUP-01,NORMAL,5.095343,5.095343,24.581171,8.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b15155684f7ac69cb1caf935bc108d4f857512d41573e2f90970a43a04aa6ee8
PRJ-AIR,8,PRJ-AIR-SUP-02,NORMAL,4.602383,4.602383,34.561454,10.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a68e622e5b2c4da586f3ff2c4f8da7d387329189a870f2fea7c03e50c607cb72
PRJ-AIR,8,PRJ-AIR-SUP-03,NORMAL,3.238354,3.238354,47.125562,12.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cfe26217a0c498eabfc25b05a6c330362b5157a6aab8f93f4a12b8cbb7383011
PRJ-AIR,8,PRJ-AIR-SUP-04,NORMAL,5.572954,5.572954,21.374518,8.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d67eb9d522f35d295b633c826d9d5a16ac379989dbd3bc6fce4d17159bf9d31f
PRJ-AIR,8,PRJ-AIR-SUP-05,NORMAL,5.600779,5.600779,35.532428,10.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2fbd0d23ae73c195c089bbf7f43b6312cdda4b00b28aaea989db9751dba0cd21
PRJ-AIR,8,PRJ-AIR-SUP-06,NORMAL,4.885774,4.885774,54.235048,12.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9bfc90e9a0cad46029948fd08d3d3a41e1859c2fa666987a08fc814d8a66a168
PRJ-AIR,8,PRJ-AIR-SUP-07,NORMAL,6.800152,6.800152,26.581192,8.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1f78a7dbf6be478c9b3e3be718a643ff9796395fe2ae39c74ddebfd4122578f5
PRJ-AIR,8,PRJ-AIR-SUP-08,NORMAL,6.313531,6.313531,34.619408,10.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bcda7d40cc4fc1836c73cfd20eabb33758685a9ac351c652662e3b8878bfd7a3
PRJ-AIR,9,PRJ-AIR-SUP-01,NORMAL,5.461565,5.461565,25.119606,8.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cae61c67f09bfc6900a9b02fd0880d87b6fb3e540982186010aaf1629585d977
PRJ-AIR,9,PRJ-AIR-SUP-02,NORMAL,7.104408,7.104408,34.957046,10.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2823fae65978bfb49b838d0e5caf5ae4829a8a5acfb63922e9925df9f0ff64f2
PRJ-AIR,9,PRJ-AIR-SUP-03,NORMAL,4.99609,4.99609,51.129473,12.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c44c0c2f016c34b68af2ab3676b11ee1098dd9e7804fbee79122670ba9b5729a
PRJ-AIR,9,PRJ-AIR-SUP-04,NORMAL,4.562639,4.562639,22.811879,8.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fca27a786e88b9d20407e1767f348f7806ad590a0009ff6941fbbba882c03b52
PRJ-AIR,9,PRJ-AIR-SUP-05,DISRUPTED,8.198712,4.5,38.532428,4.5,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ff780fc4a6f7e0640e401478eb3a14d75dcfd4e941ebf5605fa7a47345127a68
PRJ-AIR,9,PRJ-AIR-SUP-06,NORMAL,3.994223,3.994223,59.240825,12.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f94ff0dc3962ad107f84737b79aa5ce4d3bfe4a19dfdda05e76fa92d14e68cd3
PRJ-AIR,9,PRJ-AIR-SUP-07,NORMAL,6.43751,6.43751,26.143682,8.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,42363c0f181a8c222e08af1fb74d624cfbda4972af6aa5c15fe5faab1514df80
PRJ-AIR,9,PRJ-AIR-SUP-08,NORMAL,4.724113,4.724113,37.395295,10.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fbd8fc2376bab6aaf08b5285db90df457e029e2b86d3af50370604bdf56d16e9
PRJ-AIR,10,PRJ-AIR-SUP-01,NORMAL,4.090883,4.090883,27.028723,8.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d4d92a49dbe5756972f91faeafb8c578cb5e1b7ed40f33fb6f4a290183caf7d1
PRJ-AIR,10,PRJ-AIR-SUP-02,NORMAL,4.314654,4.314654,38.142392,10.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cdfe0bc1a07d8a0a38842f0f261f22632fc1753f84234cb29865a38484f7f010
PRJ-AIR,10,PRJ-AIR-SUP-03,DISRUPTED,4.006548,4.006548,56.122925,5.4,6,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,da8e4df729d68a28e3e264358b29c3cf26a5892de762671a48f666ca8eb58962
PRJ-AIR,10,PRJ-AIR-SUP-04,NORMAL,6.279871,6.279871,22.532008,8.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d40f09ab210bb8a19da598abb4a670dd1b10de7aefd2def95432aeb60b45f49c
PRJ-AIR,10,PRJ-AIR-SUP-05,NORMAL,4.903711,4.903711,41.128717,10.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bd2e0eb9f159bdba3dbfca0d433c4cb954b470c818f38516955848c5da8a673f
PRJ-AIR,10,PRJ-AIR-SUP-06,NORMAL,4.388948,4.388948,63.851877,12.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9a967342d67003f13e7ebebba8a3ac2813fe487ae1e884219f90ddba544c6ac8
PRJ-AIR,10,PRJ-AIR-SUP-07,NORMAL,4.631119,4.631119,27.512563,8.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fcae06bb36241f5a982387b7d11a200bcf5a6a974b1f34d77a57c6806a51dc68
PRJ-AIR,10,PRJ-AIR-SUP-08,NORMAL,6.136351,6.136351,38.758945,10.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4ebe8be657c818694fed2191f64975c61bf4c5796a5799ee4668baa9c19a2a00
PRJ-AIR,11,PRJ-AIR-SUP-01,NORMAL,5.730938,5.730938,27.297785,8.0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,93adc763143ef6b065451babc0fe691d5cd843ac7bb86c187f33def8061a51f2
PRJ-AIR,11,PRJ-AIR-SUP-02,NORMAL,3.145269,3.145269,42.497123,10.0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1290753de12dd3da48b154624ac50a52f45642122e6d0ff3dfc6c85d6507bca8
PRJ-AIR,11,PRJ-AIR-SUP-03,NORMAL,5.296496,5.296496,59.826429,12.0,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,953c4112cff48de02a70c8dd15f399c24ee6d07b91e479f440dfca2363cb29eb
PRJ-AIR,11,PRJ-AIR-SUP-04,NORMAL,5.244278,5.244278,23.28773,8.0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,eb0c4e1de6544dc202f8632aae54d2b36297e969c6d1b9c92a6f34be1b944f85
