project_id,node_id,node_name,node_type,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-HWY,PRJ-HWY-DSM-07,TESTING,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4b077c66e4b7d4aba564f255e267537eb82b3749fbad89b76435c06dafb63b9c
PRJ-HWY,PRJ-HWY-DSM-08,TURNOVER,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,818679f0c7b6f3a6bde85f281e79b99c2fb1ea767ba195957e41d125eb9120bf
PRJ-HSP,PRJ-HSP-DSM-01,DESIGN,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5e4851f3b659c45bf5f535a8d23bee6a835db65f291ee0eb2b734fedfd28654f
PRJ-HSP,PRJ-HSP-DSM-02,PROCUREMENT,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,45d5bac8cfcc5d46ab7237667a137089e05ed64630e62349dbf8f151b35d7e56
PRJ-HSP,PRJ-HSP-DSM-03,CIVIL,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0874bc1a83cda87f0f83fbe7d23c73b17aacd559c0105b006ef76ab80c143168
PRJ-HSP,PRJ-HSP-DSM-04,STRUCTURE,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,279a392797bb04612c136bed40ce0f1bd26299c43a0ef4a1d1d5807c83ef36ba
PRJ-HSP,PRJ-HSP-DSM-05,MEP,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2696fa91e27a10d244bf7b610218d15f7b6897fb4f3232e735277284aba364d8
PRJ-HSP,PRJ-HSP-DSM-06,CONTROLS,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b36c322784cd04baf7ff5632c39c5a028a6b589ddf764c899b444073c26fc2cf
PRJ-HSP,PRJ-HSP-DSM-07,TESTING,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8ad8a7c134ca4e1fafdc29081ae0caf9a49ccfe20f86d4ab357cacc9a057bde1
PRJ-HSP,PRJ-HSP-DSM-08,TURNOVER,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7170dc0bfdd5f38d5b03f49c50034a27ba563530699409367e2776429ce3aaae
PRJ-WTR,PRJ-WTR-DSM-01,DESIGN,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a4d5b80fe41b9b6292ec982f9306f02d66e5ca8afaf16060dcb9724467127c91
PRJ-WTR,PRJ-WTR-DSM-02,PROCUREMENT,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8997e38a158eba763647c47cc7cabf3d67184da3db304e1a3d510c3ce67c1895
PRJ-WTR,PRJ-WTR-DSM-03,CIVIL,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bcbf34edab0c29422293a2d48494e47a6dcae9b9683bbf017c66cf1be270ba10
PRJ-WTR,PRJ-WTR-DSM-04,STRUCTURE,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dc22e86dc8d9ed0d03783fac33c178dbdb57b42ea77192098fad97c442c3d04d
PRJ-WTR,PRJ-WTR-DSM-05,MEP,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,acbeb184d9874957abb9f3a5f92bf1ba2728b17b16150f9a99199a94adf390f6
PRJ-WTR,PRJ-WTR-DSM-06,CONTROLS,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,46831425603cf0d26547070477f2ed7bec12536966ad66a6f4cda8ff9ae69231
PRJ-WTR,PRJ-WTR-DSM-07,TESTING,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3ff964ed34fa8611eef639907e2f859d3dee7e6dda7cb50d86c4519360411a38
PRJ-WTR,PRJ-WTR-DSM-08,TURNOVER,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,768cad2f8bb96b4b9c63ee96a347eb6bdd59d73b012167c4c76b299289e736d0
PRJ-RAL,PRJ-RAL-DSM-01,DESIGN,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,06d7b8044e0817b4782137e59447b24d8af0ba207b58cc47f9d0c960c94953ae
PRJ-RAL,PRJ-RAL-DSM-02,PROCUREMENT,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,654ca688983a95bf0e0e32918f82a6dc67ff76aacf5a0d7c54d4c61449287ce6
PRJ-RAL,PRJ-RAL-DSM-03,CIVIL,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9c5b9708c42f7812ba380f628db24a2415e128e04874ebf6af28422d616d26c0
PRJ-RAL,PRJ-RAL-DSM-04,STRUCTURE,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4e3d7ee1cf662561fb6cf6d747d6f49d4d89ec279bfdce84ed5e394faee27bba
PRJ-RAL,PRJ-RAL-DSM-05,MEP,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7725bbe7e697a33f6f081de85e1d0dd0e612275fae09742b11ed4e0872b5504b
PRJ-RAL,PRJ-RAL-DSM-06,CONTROLS,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ef6361593a56807dc1c758ab35d4f9e99636854de442a3e15f0c5020f662c464
PRJ-RAL,PRJ-RAL-DSM-07,TESTING,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e08c7c136b34cdeb2f4c9a66e21419f5a3d31fb1682d7561633e6e1707564007
PRJ-RAL,PRJ-RAL-DSM-08,TURNOVER,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,08bdeb9ea94ebc05eff8fa39d6c71ccc367da69bd37a52c8830c73386c8c9a11
PRJ-DCT,PRJ-DCT-DSM-01,DESIGN,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,28b39828ffb654a168bb4f1f13656bad624419284bfa16fef537d35d9899abbc
PRJ-DCT,PRJ-DCT-DSM-02,PROCUREMENT,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e4e38f344245ebbf2744a29f97a1484bab8dd8283de880709e9085d630d3ec43
PRJ-DCT,PRJ-DCT-DSM-03,CIVIL,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d508afc759d49ab362073f0e738b6abba00e5dfd8034de8fce4e021a9dc61dbc
PRJ-DCT,PRJ-DCT-DSM-04,STRUCTURE,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f944803b346129858197fd515e13efbbbd0ad7c1654dcdd0a488359926f0e3bc
PRJ-DCT,PRJ-DCT-DSM-05,MEP,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e06032609249d97d8affddd6f7ee2a86d99ccdbaf1639a1db7ddadee99a677d7
PRJ-DCT,PRJ-DCT-DSM-06,CONTROLS,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,366edea9511d706c9f98cede698bc3f78d0e549653b1c729d64d8847618b6132
PRJ-DCT,PRJ-DCT-DSM-07,TESTING,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,48a0eeba2a209338796919e5861df312e7082a0de8b0d6a7b096b1133f6c1420
PRJ-DCT,PRJ-DCT-DSM-08,TURNOVER,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d2c2f64ca7069a5951aa25b45642a68aa8e026464d2527fa88b4f7af178047e2
