module_id,implementation,mutation,baseline,mutated,changed,restored_identical,source_sha256_before,source_sha256_after,result
A1.9,models_evm.run_budget_execution,"comparison operators reversed (9 sites, isolated copy)",status=Green insufficient=False metric=Budget execution rate: 0.917 (spending on plan),status=None insufficient=True metric=No budget execution rate is measurable: the actual cost is reported be,YES,YES,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,PROVEN
A2.1,models.run_pert,,"status=None insufficient=True metric=This method needs the project's activity network: the activities, the ",,NO,YES,8be8ec8b0e4f56a7935ed621e11564e5a065f5904bf9e8af557baa66ccb56b63,8be8ec8b0e4f56a7935ed621e11564e5a065f5904bf9e8af557baa66ccb56b63,UNCONDITIONAL_ABSTENTION_NO_FAULT_POSSIBLE
A2.10,models_ext.run_schedule_risk,"comparison operators reversed (7 sites, isolated copy)",status=Red insufficient=False metric=SRA P80 delay: 90 days beyond baseline,status=None insufficient=True metric=Insufficient data: upload required documents,YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A2.11,models_ext.run_critical_path_index,"comparison operators reversed (4 sites, isolated copy)",status=Amber insufficient=False metric=Critical Path Index: 0.889,"status=None insufficient=True metric=Schedule performance is recorded as zero or below, which is not a perf",YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A2.2,models.run_lob,"comparison operators reversed (2 sites, isolated copy)","status=Green insufficient=False metric=Minimum crew separation 19.3 days across 6 locations, with the followi","status=Red insufficient=False metric=Minimum crew separation 19.3 days across 6 locations, with the followi",YES,YES,8be8ec8b0e4f56a7935ed621e11564e5a065f5904bf9e8af557baa66ccb56b63,8be8ec8b0e4f56a7935ed621e11564e5a065f5904bf9e8af557baa66ccb56b63,PROVEN
A2.3,models.run_ccpm,"comparison operators reversed (2 sites, isolated copy)",status=Amber insufficient=False metric=Buffer 54.2% consumed at 49.5% chain complete,status=Red insufficient=False metric=Buffer 54.2% consumed at 49.5% chain complete,YES,YES,8be8ec8b0e4f56a7935ed621e11564e5a065f5904bf9e8af557baa66ccb56b63,8be8ec8b0e4f56a7935ed621e11564e5a065f5904bf9e8af557baa66ccb56b63,PROVEN
A2.4,models_ext.run_schedule_compression,"comparison operators reversed (5 sites, isolated copy)","status=Yellow insufficient=False metric=Schedule compression: 1.12x, 439 days of work remaining",status=None insufficient=True metric=Insufficient data: the baseline finish is not after the baseline start,YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A2.5,models_ext.run_float_consumption,"comparison operators reversed (6 sites, isolated copy)","status=Green insufficient=False metric=Float: 22 days remaining, 37% consumed","status=None insufficient=True metric=Consumed float is reported as a negative figure, which is not a quanti",YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A2.6,models_ext.run_scurve_deviation,"comparison operators reversed (10 sites, isolated copy)","status=Amber insufficient=False metric=S-curve: -5% behind planned progress, -11.1% EV vs PV deviation",status=None insufficient=True metric=No deviation from the planned progress curve is measurable: the report,YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A2.7,models_ext.run_milestone_trend,"comparison operators reversed (7 sites, isolated copy)",status=None insufficient=True metric=Milestone names not comparable across periods,status=None insufficient=True metric=Awaiting a second schedule update (2 snapshots needed),YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A2.8,models_ext.run_lookahead_health,"comparison operators reversed (6 sites, isolated copy)",status=Yellow insufficient=False metric=18 of 120 planned activities constrained (15%),status=None insufficient=True metric=Awaiting a look-ahead window with activities planned in it: a constrai,YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A2.9,models_ext.run_resource_loading,"comparison operators reversed (12 sites, isolated copy)","status=Green insufficient=False metric=Actual 46,000h vs planned 42,000h (ratio 1.1)",status=None insufficient=True metric=Planned labor hours not available,YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A3.1,models.run_rcf,,status=None insufficient=True metric=Insufficient data: no reference class of comparable completed projects,,NO,YES,8be8ec8b0e4f56a7935ed621e11564e5a065f5904bf9e8af557baa66ccb56b63,8be8ec8b0e4f56a7935ed621e11564e5a065f5904bf9e8af557baa66ccb56b63,UNCONDITIONAL_ABSTENTION_NO_FAULT_POSSIBLE
A3.2,models_ext.run_contingency_burn,"comparison operators reversed (7 sites, isolated copy)",status=Yellow insufficient=False metric=Contingency: 45% burned at 40% complete,status=None insufficient=True metric=Awaiting an original contingency amount above zero: the share consumed,YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A3.3,models_ext.run_labor_productivity,"comparison operators reversed (4 sites, isolated copy)","status=Red insufficient=False metric=Earned-hours rate 0.37 (40% × 42,000h planned ÷ 46,000h actual)",status=None insufficient=True metric=Actual labor hours not available,YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A3.4,models_ext.run_material_cost_variance,"comparison operators reversed (5 sites, isolated copy)",status=Red insufficient=False metric=Material cost variance: +170% vs expected at current progress,status=None insufficient=True metric=Awaiting a material baseline and reported progress above zero: there i,YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A3.5,models_ext.run_overhead_absorption,"comparison operators reversed (4 sites, isolated copy)",status=Red insufficient=False metric=Overhead absorption: 264% of planned indirect cost at current progress,status=None insufficient=True metric=Insufficient data: the planned indirect cost at this project's reporte,YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A3.6,models_ext.run_cost_risk,"comparison operators reversed (6 sites, isolated copy)","status=Amber insufficient=False metric=CRA P80 EAC: $13,970,165 (+16.4% BAC)","status=None insufficient=True metric=Cost performance is recorded as zero or below, which no forecast can b",YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A3.7,models_ext.run_analogous_estimating,"comparison operators reversed (3 sites, isolated copy)","status=Amber insufficient=False metric=Analogous overrun 8% → $960,000 BAC exposure","status=Green insufficient=False metric=Analogous overrun 8% → $960,000 BAC exposure",YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A3.9,models_ext.run_inflation_adjustment,"comparison operators reversed (8 sites, isolated copy)",status=Red insufficient=False metric=Material escalation proxy: +170% above progress-adjusted baseline,status=None insufficient=True metric=No material escalation is measurable: the material cost baseline is re,YES,YES,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,bd6ce537d0679d2f81cdd21fd4a7e899954123746cd76e6d47b75fd98f4b6b12,PROVEN
A4.10,models_doc.run_spec_conflict_density,"comparison operators reversed (6 sites, isolated copy)",status=Red insufficient=False metric=Spec conflict density: 1 (doc risk weighted by RFI volume),status=None insufficient=True metric=Insufficient data: the count of requests for information was reported ,YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A4.2,models_doc.run_rfi_velocity,"comparison operators reversed (13 sites, isolated copy)","status=Red insufficient=False metric=64 RFIs over 30 days (64/30d, 14.9/week), 5 overdue (8%), avg response",status=None insufficient=True metric=Awaiting a request count and a log period that can form a rate: the fi,YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A4.3,models_doc.run_submittal_rejection,"comparison operators reversed (7 sites, isolated copy)","status=Yellow insufficient=False metric=9 of 88 RFAs rejected (10%), 6 revise-and-resubmit, 12 open, avg revie",status=None insufficient=True metric=Awaiting a submittal register with entries in it: a rejection share ha,YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A4.4,models_doc.run_ncr_rate,"comparison operators reversed (6 sites, isolated copy)","status=Yellow insufficient=False metric=4 open of an audited cohort of 20 nonconformances, 14 issued this peri",status=None insufficient=True metric=Awaiting an audited nonconformance cohort: the open backlog is carried,YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A4.5,models_doc.run_weather_impact,"comparison operators reversed (4 sites, isolated copy)","status=Amber insufficient=False metric=6 weather days lost, 27% of available float consumed",status=None insufficient=True metric=A negative count of lost days is not a measurable weather impact,YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A4.6,models_doc.run_co_frequency,"comparison operators reversed (7 sites, isolated copy)","status=Amber insufficient=False metric=7 change orders, scope growth: +4.3%","status=Red insufficient=False metric=7 change orders, scope growth: +0%",YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A4.7,models_doc.run_dispute_escalation,"comparison operators reversed (4 sites, isolated copy)","status=Amber insufficient=False metric=Dispute escalation index: 0.65 (document risk, request count and chang",status=None insufficient=True metric=Insufficient data: a document risk score was reported as a negative fi,YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A4.8,models_doc.run_subcontractor_performance,"comparison operators reversed (7 sites, isolated copy)","status=Green insufficient=False metric=Subcontractor compliance: 8200% (3 issues in OAC minutes, 9 outstandin","status=Red insufficient=False metric=Subcontractor compliance: 8200%, from subcontractor performance report",YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A4.9,models_doc.run_procurement_lead_time,"comparison operators reversed (8 sites, isolated copy)","status=None insufficient=True metric=More long-lead items are recorded delayed (3) than at risk (2), and a ","status=None insufficient=True metric=No long-lead items are recorded, so there is no set to measure disrupt",YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A5.1,models.run_dsm,,status=None insufficient=True metric=Insufficient data: no dependency matrix has been established for this ,,NO,YES,8be8ec8b0e4f56a7935ed621e11564e5a065f5904bf9e8af557baa66ccb56b63,8be8ec8b0e4f56a7935ed621e11564e5a065f5904bf9e8af557baa66ccb56b63,UNCONDITIONAL_ABSTENTION_NO_FAULT_POSSIBLE
A5.2,models_doc.run_sensitivity_analysis,"comparison operators reversed (5 sites, isolated copy)",status=Amber insufficient=False metric=Top risk driver: DocRisk (sensitivity: 35%),"status=None insufficient=True metric=The document risk score falls outside the range a share can occupy, so",YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A5.3,models_doc.run_tornado_diagram,"comparison operators reversed (11 sites, isolated copy)",status=Amber insufficient=False metric=Top risk: Document Risk (35% impact),status=None insufficient=True metric=No risk ranking is measurable: the document risk score falls outside t,YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A5.4,models_doc.run_scenario_modeling,"comparison operators reversed (13 sites, isolated copy)",status=None insufficient=True metric=The decision information provided does not say which version of the re,status=None insufficient=True metric=No positive budget at completion is recorded to place the decision out,YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A5.5,models_doc.run_rework_feedback,"comparison operators reversed (4 sites, isolated copy)",status=Red insufficient=False metric=Rework feedback index: 0.48 (CPI degradation + RFI + CO combined),"status=None insufficient=True metric=A reported count is negative, which is not a count.",YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A5.6,models_doc.run_queueing_bottleneck,"comparison operators reversed (1 sites, isolated copy)",status=Green insufficient=False metric=The busiest queue is running at 0.44 of the service its 2 servers can ,status=Red insufficient=False metric=The busiest queue is running at 0.44 of the service its 2 servers can ,YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A5.7,models_doc.run_agent_supply_chain,"comparison operators reversed (3 sites, isolated copy)",status=Yellow insufficient=False metric=1 of 8 supply chain agents are disrupted at the last of 12 time steps ,status=Green insufficient=False metric=1 of 8 supply chain agents are disrupted at the last of 12 time steps ,YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A5.8,models_doc.run_discrete_event_sim,"comparison operators reversed (4 sites, isolated copy)",status=Yellow insufficient=False metric=DES throughput: 0.857 (17% interruption rate),"status=None insufficient=True metric=Schedule performance is recorded as zero or below, which is not a perf",YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A6.1,models_doc.run_quality_compliance,"comparison operators reversed (8 sites, isolated copy)","status=Green insufficient=False metric=Quality compliance: 86/100, 5 deficiencies noted","status=None insufficient=True metric=No items were recorded as inspected, so no pass rate can be measured",YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A6.2,models_doc.run_safety_performance,"comparison operators reversed (6 sites, isolated copy)","status=Green insufficient=False metric=Safety: 2 incidents in OAC records, OSHA rate 2.1",status=None insufficient=True metric=Insufficient data: the safety incident rate was reported as a negative,YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A6.3,models_doc.run_environmental_compliance,"comparison operators reversed (5 sites, isolated copy)",status=Amber insufficient=False metric=Environmental compliance: 75%,status=None insufficient=True metric=A compliance rate of 75 per cent is outside the range a proportion of ,YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
A6.4,models_doc.run_contractor_performance,"comparison operators reversed (5 sites, isolated copy)","status=Red insufficient=False metric=Ratings: overall 0, schedule 0, cost 0 (worst 0/5)",status=None insufficient=True metric=A performance rating falls outside the five-point scale the evaluation,YES,YES,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,9ed4dd8de16a75356cb9a22676f0c9b695f8f0acb8a76a2825381948369a0f05,PROVEN
B1.1,models_decision.run_conservative_dominance,"every branch guard inverted (1 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED KeyError,YES,YES,cad526ba4a466ba3361929defc844d74d16e20f19f35eda7e1d9f8e37ab9327b,cad526ba4a466ba3361929defc844d74d16e20f19f35eda7e1d9f8e37ab9327b,PROVEN
B1.2,models_gov.run_weighted_voting,"every branch guard inverted (6 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED KeyError,YES,YES,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,PROVEN
B1.3,models_gov.run_majority_rules,"every branch guard inverted (5 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED KeyError,YES,YES,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,PROVEN
B1.4,models_gov.run_worst_n_of_m,"every branch guard inverted (8 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED KeyError,YES,YES,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,PROVEN
B2.1,models_gov.run_dst,"every branch guard inverted (11 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED TypeError,YES,YES,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,PROVEN
B2.10,models_fuzzy.run_pythagorean_fuzzy,"comparison operators reversed (4 sites, isolated copy)",status=Amber insufficient=False metric=PFS: μ=0.23 ν=0.51 π=0.88,status=Green insufficient=False metric=PFS: μ=0.48 ν=0.95 π=0,YES,YES,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,PROVEN
B2.11,models_fuzzy.run_picture_fuzzy,"comparison operators reversed (3 sites, isolated copy)",status=Amber insufficient=False metric=PicFS: +0.26 00 -0.48 r0.26,status=Green insufficient=False metric=PicFS: +0.26 00 -0.48 r0.26,YES,YES,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,PROVEN
B2.12,models_fuzzy.run_hesitant_fuzzy,"comparison operators reversed (3 sites, isolated copy)","status=Amber insufficient=False metric=HFS: avg membership 0.33, hesitancy 0.13","status=Green insufficient=False metric=HFS: avg membership 0.33, hesitancy 0.13",YES,YES,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,PROVEN
B2.13,models_fuzzy.run_type2_fuzzy,"comparison operators reversed (4 sites, isolated copy)","status=Red insufficient=False metric=T2FS: centroid 0.26, FOU 0.04","status=Yellow insufficient=False metric=T2FS: centroid 0.26, FOU 0.04",YES,YES,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,PROVEN
B2.14,models_fuzzy.run_maximum_entropy,"comparison operators reversed (9 sites, isolated copy)",status=Amber insufficient=False metric=MaxEnt: Amber (entropy 0.76),status=Green insufficient=False metric=MaxEnt: Green (entropy 0),YES,YES,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,PROVEN
B2.15,models_fuzzy.run_possibility_theory,"comparison operators reversed (1 sites, isolated copy)","status=Amber insufficient=False metric=Possibility: Amber (Π=1, N=0.7)","status=Green insufficient=False metric=Possibility: Green (Π=0.32, N=0.02)",YES,YES,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,PROVEN
B2.16,models_fuzzy.run_spherical_fuzzy,"comparison operators reversed (4 sites, isolated copy)",status=Red insufficient=False metric=SFS: μ=0.38 ν=0.59 π=0.71,status=Green insufficient=False metric=SFS: μ=0.54 ν=0.84 π=0,YES,YES,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,PROVEN
B2.17,models_fuzzy.run_fermatean_fuzzy,"comparison operators reversed (4 sites, isolated copy)",status=Amber insufficient=False metric=FFS: μ=0.44 ν=0.55 π=0.9,DID NOT TERMINATE within the bound,YES,YES,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,PROVEN
B2.18,models_fuzzy.run_marcos,"comparison operators reversed (7 sites, isolated copy)",status=Yellow insufficient=False metric=MARCOS score: 0.642 (utility vs ideal: 0.81),status=None insufficient=True metric=Insufficient data: upload required documents,YES,YES,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,PROVEN
B2.19,models_fuzzy.run_critic_topsis,"every branch guard inverted (2 sites, isolated copy)",status=None insufficient=True metric=The decision information provided does not say which version of the re,status=None insufficient=True metric=Insufficient data: upload required documents,YES,YES,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,057600ff4f5f3156bf70b3b7732575874d71aa3df30cb5be741c687822870c90,PROVEN
B2.2,models_evc.run_rough_sets,"every branch guard inverted (7 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED TypeError,YES,YES,c0a7a673765214dc42f10e4f1a2c2673d3019564d70c8be9151a59a9753c5ce8,c0a7a673765214dc42f10e4f1a2c2673d3019564d70c8be9151a59a9753c5ce8,PROVEN
B2.3,models_evc.run_neutrosophic,"every branch guard inverted (13 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED TypeError,YES,YES,c0a7a673765214dc42f10e4f1a2c2673d3019564d70c8be9151a59a9753c5ce8,c0a7a673765214dc42f10e4f1a2c2673d3019564d70c8be9151a59a9753c5ce8,PROVEN
