key,value,source_file,source_location,module_id,occurrence_count,duplicate,alias_or_historical,evidence,result
Hesitant_Fuzzy,"designed perturbations, not elicited or observed hesitant assessments",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1402 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Type2_Fuzzy,membership intervals that are designed constants,assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1403 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Maximum_Entropy,"entropy over designed state probabilities; measures the lookup, not the project",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1404 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Possibility_Theory,fixed mappings from raw metrics; no governed possibility distribution,assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1405 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Spherical_Fuzzy,algebraically bounded but fixed memberships on raw unqualified inputs,assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1406 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Fermatean_Fuzzy,"formula-shaped with designed memberships, no empirical or elicitation basis",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1407 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Modification_Governance,a raw modification count; not a frequency without a denominator,assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1408 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Constraint_Satisfaction,"an explainable four-rule checklist, not a constraint-satisfaction solver",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1409 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
WhatIf_Scenario_Matrix,four deterministic EAC variants; not an action-by-scenario matrix or optimiser,assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1410 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Portfolio_Outlier,an empirical CPI and SPI percentile rank; small-n behaviour and bands unvalidated,assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1411 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
