archive,path_within_archive,bytes,data_rows,columns,sha256
package_B,package_B_reference_training_decisions/README.md,575,,,689cb54a81ecf9e029f4903b526ac30f5b268cc5600654b7afe1a6b5a1d4188c
package_B,package_B_reference_training_decisions/B3_decision_optimization/action_scenario_outcomes.csv,83932,360,16,035d87cc8c7709a4c1fb2fca4a7e17df2f56b32aca97edc49b90b08440655a64
package_B,package_B_reference_training_decisions/B3_decision_optimization/actions.csv,17482,72,18,2d88e07af6e56d103c6e9a9c01b9cd14522b18dbedd43269f60b4b09527004fc
package_B,package_B_reference_training_decisions/B3_decision_optimization/alternative_criteria_matrix.csv,16103,72,14,a49dc64e6c4dec1237c2db35a353121a20bf64e90f59e6f8d5c4066754bd18b6
package_B,package_B_reference_training_decisions/B3_decision_optimization/constraints.csv,8668,36,12,060db0dffd923b64befad723a96219d77666677bbcb0828e8399574091acc29b
package_B,package_B_reference_training_decisions/B3_decision_optimization/criteria.csv,13813,60,13,ab1528b495987be1c6bbab1274e184027856487a2fb0ebaf5b8508ccde1e6d19
package_B,package_B_reference_training_decisions/B3_decision_optimization/decision_problems.csv,2925,12,15,16104d84d9a20a02c80aef06af8b1a607a715028eecb7982114e4654468e0beb
package_B,package_B_reference_training_decisions/B3_decision_optimization/ground_truth_decisions.csv,6428,12,18,3a3cd46c99c591a16283897810a1a3cc6688494c4ab99dc5da717b5435bef8d6
package_B,package_B_reference_training_decisions/B3_decision_optimization/lp_models.json,8170,,,4569c32763c929e148fd68fb4ba638313d465e0c0f4fc1b9339b2e3c46367710
package_B,package_B_reference_training_decisions/B3_decision_optimization/payoff_matrices.csv,74715,360,12,977e10202f0d7bf91f437ff6df873476c97203e3dde9b1db0375dd31059f9037
package_B,package_B_reference_training_decisions/B3_decision_optimization/scenarios.csv,14500,60,15,b9b7830b38ddb733316ce52e1d566f2c9ec08d9baac86ec3dbe3671381e709b0
package_B,package_B_reference_training_decisions/B3_decision_optimization/sensitivity_cases.csv,26332,120,13,2bfa67cc02038ef1835bec381af29f6d3c9bd1fae27a9d4aa7c3db582fced12e
package_B,package_B_reference_training_decisions/B1_reference_population/analogous_pairs.csv,25878,120,13,e0316536bb664b62f83672aea5a70d04cf1e564e61bd26d40048f43ed16c0f11
package_B,package_B_reference_training_decisions/B1_reference_population/anomaly_labels.csv,68025,360,10,972a2b7b9f10d63055abb33f75304a8de51354b5a659a90232fab4bc161e8e85
package_B,package_B_reference_training_decisions/B1_reference_population/ground_truth_model.json,859,,,5a38be2595f91e28e24c8544fddd097b31f595e052630ba51bee5e44b83e149a
package_B,package_B_reference_training_decisions/B1_reference_population/inflation_index.csv,359814,1536,13,64a29f920e80c3a0b1a5173b18a66d473ccc58ca25837bb852dc7709d92b98d2
package_B,package_B_reference_training_decisions/B1_reference_population/parametric_cost_training.csv,102840,360,20,b6d48c3429118c3ebb8ea055e7742dbc0a0f591957eeb20a17912d24f10b5cf5
package_B,package_B_reference_training_decisions/B1_reference_population/reference_class_membership.csv,83800,360,11,b4a1798386cde9b5257d66c5587a60e0415fb00eb0287a3852e4dc85347772b4
package_B,package_B_reference_training_decisions/B1_reference_population/reference_outcomes.csv,81501,360,14,23c850946211263c9137e842d34238da3934cb0b68ddf6b79ec10d3c8a9ab35a
package_B,package_B_reference_training_decisions/B1_reference_population/reference_project_periods.csv,664424,2880,18,4d428876e173816e9fc24530c94c91c7fc6adf20ca5a89e1f687f923316b03f1
package_B,package_B_reference_training_decisions/B1_reference_population/reference_projects.csv,122306,360,27,eb28eb400381196324a503a9e142b7b57d0ce9237ebc9f0a4c4ebdc2c50c1366
package_B,package_B_reference_training_decisions/B1_reference_population/rough_set_decision_table.csv,76297,360,14,07c010314576d3214750788960cfa8385cfbc4cfa76eb662b00de3657ca6b693
package_B,package_B_reference_training_decisions/B1_reference_population/split_manifest.csv,70859,360,10,a366774df5053701b10012d7acfcda39e046047914d15d48ec8e423a4606d5bf
package_B,package_B_reference_training_decisions/B2_expert_epistemic/belief_rules.json,7680,,,b8dce333b9ae0041c3e02c3014d829bffe0dbaec5af2ba1b4eb63cda88b34670
package_B,package_B_reference_training_decisions/B2_expert_epistemic/ds_mass_assignments.csv,78307,360,14,5c9c1f625c4be1062ff3b4236a3fde5bbdbd4cf9d215702c22bb91f2e4f6798a
package_B,package_B_reference_training_decisions/B2_expert_epistemic/epistemic_ground_truth.json,5259,,,d0c3efa1400817778139891496b3390c6ccc58932e83729aed37c18dafa4aeff
package_B,package_B_reference_training_decisions/B2_expert_epistemic/epistemic_scenarios.csv,5471,24,12,9aac84ed41ff4fe03ec58ecebcbb1bce88ecc048d71135e4b9fb75471120e6fc
package_B,package_B_reference_training_decisions/B2_expert_epistemic/expert_profiles.csv,3214,15,12,8c7ad9797d51144b4cbeec3770c458a6709a474394bfa131a1189177904fa286
package_B,package_B_reference_training_decisions/B2_expert_epistemic/fuzzy_memberships.csv,101780,360,18,eb49d2c7a2ceda44c3b07d025e6d95575114b501d95b960ea87595dd632ae5b3
package_B,package_B_reference_training_decisions/B2_expert_epistemic/plts_assessments.csv,79218,360,14,1f67f3d2e432f1d1c51f26ffbfcec3e8d3cd2a3e13383a30e88d9d6de9016f98
package_B,package_B_reference_training_decisions/B2_expert_epistemic/possibility_distributions.csv,77787,360,14,73287705a500075243605fbd3ba8e6559428d7a86d41cb839e60606308e947c6
package_B,package_B_reference_training_decisions/B2_expert_epistemic/z_number_assessments.csv,90536,360,14,fd7bc6ff975c317827171a72bb97a267a77ef4abf4b471948ddad346fc0e2f26
package_C,CHECKSUMS.sha256,11434,,,5841ab16e8b3cd6c2eccbd0a2ef6f778c3f79c1658aae962b98a8217e494db85
package_C,README.md,1205,,,91c1a44607a0e27c6dbfe78d4a5c7cbb30cafb9cc52d9e7806d229f310a9d4c1
package_C,VALIDATION_SUMMARY.md,15398,,,bb263dda6449e4fbca2ea2a10d34e43ee31106d09dba4d74779d32e0ecc039ee
package_C,data_dictionary.csv,176439,1046,6,6247e783edb483c15d29c6937f282bf187d17f75bb351b8641c09fd29dd25f18
package_C,module_asset_map_package_C.csv,2940,8,14,f2281fd71fcc6c5fe88a4e556dd312f0df605a3b8b6ddf7ec3d3b2169f85d209
package_C,package_summary.xlsx,22499,,,9f59327bc99c614b091710037a24db040c048218dec7282e25e8f1e9da043673
package_C,package_C_optional_activation_lab/README.md,387,,,50c47e3c3b5e96589e0a11d41496f1858ac5e895a49162418bbd8256506a915e
package_C,package_C_optional_activation_lab/activation_benchmark_plan.csv,3232,8,13,3d3858f20af01b7d4be273484760290f097fd1f4feff5c835e41dbbd328294a3
package_C,package_C_optional_activation_lab/activation_candidates.csv,2744,8,13,1ff7759e9b82c5401e360e8709e25d5f1cfcda81228e33663b2697f5615df586
package_C,package_C_optional_activation_lab/hypersoft_approximation.csv,30079,144,14,4130c674013349ceae7a0ad420f009a7dd288a22509b91c909876b46c624e3e3
package_C,package_C_optional_activation_lab/hypersoft_parameters.csv,1995,10,9,18784092efa2dbb16357b1dcb4e86e999fba2a30e4e17ade3207cf85b405acdc
package_C,package_C_optional_activation_lab/hypersoft_universe.csv,869,4,9,be481ccd4f0f393f952551c8a701ddd7eabc7d3e7fb5220f309e6af6274a8985
package_C,package_C_optional_activation_lab/parametric_cost_benchmark.csv,479,1,14,bacee7443d2387bcd83268bdaa5a3a527bd3c886d1b05589ba461744978f2dc4
package_C,package_C_optional_activation_lab/plithogenic_appurtenance.csv,9682,48,11,51e0ab8bce3aab36c075b5e213c9fb0af97fdfec2015b9bbdf3d9197a9ac0e9e
package_C,package_C_optional_activation_lab/plithogenic_attributes.csv,2385,12,11,5db19fa59e36625b888099218d261902ad3b68b81f9fc3f2294a34173c81da01
package_C,package_C_optional_activation_lab/plithogenic_contradictions.csv,6917,36,11,6414f0b95f14f5504a4d07fc5693078574f3f0c67452d89391f733d85f819b7d
package_C,package_C_optional_activation_lab/quantum_model_parameters.json,364,,,c83e3c093beb4dee3b26a8a9b317958a91d218eaa1632ca2fe9d747ad8a6065a
package_C,package_C_optional_activation_lab/quantum_order_effects.csv,231622,1200,11,66e2aeaaf9ca1fba49c1af6b5cc2ae81f7d6ce2768a8e6f6bc4f293c9e4882d5
package_C,package_C_optional_activation_lab/reuse_manifest.csv,1935,8,11,d77fcec19c2fa361646a873f16bd9b9e2002ef2db9b69d4f3487ec0a3af60257
