priority,module_id,module_name,category,scientific_disposition,voting_status,operational_activation,reason_for_priority,required_action,finding_summary
P0D,ARCH.1,Category 9 qualification gate,architecture,MISSING_CANONICAL_DATA_STRUCTURE,n/a,n/a,"the Category 9 eligibility gate does not exist: the signal package is marked unqualified and Categories 6, 7, 8 and 10 read raw values. The bypass is disclosed on the data, which is materially better than a hidden one, but the gate itself is absent",Build the eligibility gate so a versioned qualified signal package stands between project evidence and the categories that consume it,"the Category 9 eligibility gate does not exist: the signal package is marked unqualified and Categories 6, 7, 8 and 10 read raw values. The bypass is disclosed on the data, which is materially better than a hidden one, but the gate itself is absent"
P0D,ARCH.2,Evidence lineage in the combination rule,architecture,MISSING_CANONICAL_DATA_STRUCTURE,n/a,n/a,"the evidence combination rule has no lineage argument, so one body of evidence presented twice sharpens belief from 0.70 to 0.93. Latent today because only one lineage votes, live the moment a second is admitted",Carry lineage on evidence and refuse to combine two transforms of one body of evidence as independent sources,"the evidence combination rule has no lineage argument, so one body of evidence presented twice sharpens belief from 0.70 to 0.93. Latent today because only one lineage votes, live the moment a second is admitted"
P1,1.11,ICE Ratio,1,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,"P3: rename to an internal EAC-formula divergence index, or ingest a genuinely independent estimate.","The division is correct and identical forecasts give exactly one. The independence claim is what fails. Both quantities are deterministic functions of the same four inputs: budget over cost index, and actual cost plus remaining budgeted work. The independence test was run explicitly, perturbing the shared cost index and showing one forecast moves while the other cannot, and confirming no independent-source field exists anywhere on the result. A reconciliation index needs two analytically or provenance-independent estimates; this has one input vector and two formulas. The module carries no proxy qualifier."
P1,1.5,ARIMA CPI Forecast,1,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,"P3: either add a proxy qualifier naming what it computes, or build the identification, diagnostics and interval the registered name implies.","What runs is a single autoregressive coefficient on first differences, estimated by one lag-one ratio and clamped to plus or minus 0.9, with the forecast being the last observation plus phi times the last difference. A constant series correctly forecasts itself and the domain guards hold. But the result object carries no differencing order, no moving-average terms, no identification or model-selection rule, no residual diagnostics and no forecast interval, so the declared ARIMA(p,d,q) contract is not represented. The module carries NO proxy qualifier, so it presents under the full canonical name while implementing a fixed AR(1)-on-differences heuristic."
P1,1.6,Earned Schedule,1,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,"P3 now, P1 if the module is ever brought into voting: either rename to a progress ratio or ingest a planned-value curve.","Earned Schedule requires the cumulative planned-value curve and an interpolation into it. The module computes actual percent complete over planned percent complete, which the supervisory specification states is not Earned Schedule. The discriminating test was run: the canonical measure moves by more than a tenth when the planned-value curve is re-shaped at constant earned value and actual time, and the implemented measure cannot move at all because no curve reaches it. No proxy qualifier is carried, so the module presents under the canonical name."
P1,10.1,Multi-Objective Optimization,10,METHOD_LABEL_MISMATCH,non-voting,DISABLED_UNSAFE,the implementation performs a materially different method from the registered name,"Remains disabled and non-voting. A laboratory result is not permission to activate. P3 on the naming; a real implementation is a new build, not a rename.","Concept-only and short-circuited before its formula, which was proved on a complete input. The formula it would run normalises the cost index, the schedule index and one minus document risk and reports their arithmetic mean, which specification 10.1 states in terms is not multi-objective optimisation. There is no decision variable, candidate intervention, constraint, feasible region or horizon: there is nothing to optimise over, only a description of the current state. Averaging is precisely the operation that destroys the trade-off information the method exists to expose, and the field carrying the average is named pareto_score although it has no relation to Pareto dominance, which the independent oracle establishes on the specification's own four-point set. Calling the lowest of three descriptive scores a binding constraint attaches an optimisation term to a quantity that constrains nothing."
P1,10.4,What-If Scenario Matrix,10,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,"P1. Carry candidate actions with identity as the rows and scenarios as the columns, or rename the module for the earned-value range analysis it performs and move it to Category 5.","The domain guards here are the most thorough in the category and all hold: a zero or negative index, a non-positive budget, negative earned value or actual cost, and earned value exceeding the budget are each refused rather than forecast from. The four forecasts are exact and the reported range widens correctly as cost performance falls. But the four rows are 'Optimistic', 'Base', 'Pessimistic' and 'Recovery', which are all FUTURE STATES of the cost index rather than actions anyone could take, and each is a different arithmetic transformation of the same three earned-value figures. Specification 10.4 states that several EAC formulas with no action identity are not an action-by-scenario decision matrix, and separates this category from Category 5 on exactly this point. The consequence reaches further than the name: the matrix that specification 10.7 requires be preserved for regret analysis is never produced."
P1,10.5,Decision Sensitivity Matrix,10,METHOD_LABEL_MISMATCH,non-voting,DISABLED_UNSAFE,the implementation performs a materially different method from the registered name,Remains disabled and non-voting. The reported sentence should not survive a rebuild in its present form even if the module stays disabled.,"Concept-only and short-circuited before its formula. The laboratory oracle located the exact weight at which two alternatives change places and confirmed the ranking really differs on the two sides of it, which is what decision sensitivity establishes. Production does none of that: the formula it would run ranks the absolute deviation of the cost index from one, the same for the schedule index, and the document risk score times fifty. Specification 10.5 states in terms that ranking current deviations without perturbing a decision model is not decision sensitivity. No parameter is perturbed, no ranking is recomputed and no decision exists to be sensitive to anything. The sentence shown to a reader claims a small change in the top driver most changes the governance recommendation, which is a causal claim about a recommendation the module never evaluates. The 50 multiplier that sets the three drivers' relative weight has no source."
P1,10.6,Pareto Frontier Analysis,10,METHOD_LABEL_MISMATCH,non-voting,DISABLED_UNSAFE,the implementation performs a materially different method from the registered name,Remains disabled and non-voting. The Pareto vocabulary should not be applied to a single project even while the module is disabled.,"Concept-only and short-circuited before its formula. Dominance was verified independently on the specification's four-point set, including permutation invariance and the duplicate-point case the specification asks for, and a single point is correctly trivially nondominated. Production evaluates three booleans on ONE project and reports it as efficient, dominated or requiring a trade-off according to how many hold. Specification 10.6 states in terms that threshold booleans over one project are not Pareto analysis. Dominance is a relation BETWEEN alternatives and there is only ever one alternative, so nothing can dominate anything; the word dominated is being used in a different sense from the method's, and the reader is told the project is Pareto-dominated. The 0.95 and 0.30 boundaries have no source."
P1,2.10,Schedule Risk Analysis P80,2,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,P1. Either build the schedule simulation over a real network or rename the module for the deterministic uplift it performs. The 1.28 constant should be corrected or documented whichever route is taken.,"The domain guards are sound: a zero index no longer raises and loses the project's whole result, a negative index no longer reports a delay below zero days and bands Green, and completion outside nought to one hundred is refused. The P80 is not below the P50 and the delay grows as performance falls. But there is no activity network, no duration distribution, no iteration count and no sample. The P80 is the P50 multiplied by one plus max(0.05, 1 minus SPI) times 0.5 times 1.28, which is a deterministic z-score uplift driven by the schedule index. Specification 2.10 states in terms that this is not Schedule Risk Analysis P80. The 1.28 is the normal ninetieth-percentile deviate, not an eightieth. An independent simulation of the specification's own Uniform(0,10) case converged to the analytic 8 within a tolerance frozen beforehand, showing what the canonical method produces and this one does not."
P1,2.11,Critical Path Index,2,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,"P1. Compute the critical path from a network, or rename the module for the composite schedule index it publishes and disclose that its two terms share one lineage.","An independent implementation of the forward and backward passes reproduced the specification's network exactly: finish at day six, one day of total float on A, none on B or C, B and C critical. Production performs none of that. Its index is the mean of the progress ratio and the schedule index, and specification 2.11 states in terms that a weighted combination of the schedule index and progress is not a critical-path calculation. No activity, logic, float or path appears in the input or the output. Both terms of the mean derive from the same earned-value evidence, so averaging them is not two independent readings but one reading counted twice. Its domain guards are sound and its monotonicity holds, which is why this is a labelling finding and not an arithmetic one."
P1,2.7,Milestone Trend Analysis,2,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,"P1. Carry the baseline milestone date and measure slip against it, retaining the drift measure separately if it is wanted. Require three or more snapshots for a trend claim.","Milestones are matched by a stable identity across periods, unmatched names invent no movement, a single snapshot abstains, and one badly slipping milestone is prevented from hiding inside the average. But the movement measured is the last forecast less the PREVIOUS FORECAST, whereas specification 2.7 defines slip as the forecast less the BASELINE. A milestone that slipped thirty-one days and then held steady reports a mean slip of zero and bands Green. No baseline milestone date is an input at all, and two snapshots cannot support the regression slope the specification names as the trend summary. The implemented quantity, period-over-period forecast drift, is legitimate; the registered name means something else."
P1,3.6,Cost Risk Analysis P80,3,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,P1. Either build the cost simulation over a risk register or rename the module for the deterministic uplift it performs. Correct or document the 1.28 constant either way.,"The crash that lost every project-level result to an exception on a zero cost index is fixed, negative indices and non-positive budgets abstain, and the reported sign now follows the figure rather than a hard-coded plus. The forecast is monotone in cost performance. But there is no risk register, no component distribution, no dependency structure, no iteration count and no sample. The P80 is budget over the cost index multiplied by one plus max(0.03, absolute one minus CPI) times 0.5 times 1.28, a deterministic uplift of the current index, which specification 3.6 states in terms is not Cost Risk Analysis P80. The 1.28 is the normal ninetieth-percentile deviate rather than an eightieth. An independent simulation of the specification's own Bernoulli cost model converged to the analytic mean of 110 and the correct P80 of 120 under a frozen quantile convention, showing what the canonical method yields and this one does not."
P1,3.8,Parametric Cost Index,3,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,"Remains disabled and non-voting. A laboratory result is not permission to activate. If the module is ever wanted, it must be rebuilt around measurable drivers and calibrated coefficients, not renamed.","The module is one of the eight concept-only methods and is short-circuited before its formula is reached, which was proved on a complete input. Its activation state is the concept-only one and it does not vote, and this run does not change that. What the formula WOULD compute, read from source, is the ratio of budget over cost index to actual cost plus budget less earned value: two earned-value forecasts of the same project divided by each other. Specification 3.8 states in terms that comparing two EAC formulas is not parametric estimating. No driver, coefficient, intercept or design matrix exists, and both forecasts are transformations of one earned-value input vector, so the ratio is one body of evidence divided by itself. The canonical model was verified independently in the laboratory at the specification's own worked figures, including refusal of a nonconforming design matrix."
P1,4.10,Specification Conflict Density,4,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,"P1. Either identify verified conflicts against a governed exposure unit and retain their evidence locations, or rename the module for the risk-weighted request-volume index it computes.","The guards are sound and the substitution that used to report the unweighted document risk under this name when no requests existed is gone: with no requests the module now abstains on absent exposure. A document risk score outside nought to one is refused rather than multiplied through into the band ladder, and the figure is capped so the ladder is never fed an out-of-range quantity. But the measure is not a density. The quantity is the document risk score times the request count over the square root of the request count, which reduces to the risk score times the square root of the count, and specification 4.10 names this exact form and states in terms that it is not a specification conflict density. It has the wrong DIRECTION as well as the wrong structure: a density falls as exposure rises, and this rises with the request count until the cap intervenes. No individual conflict is identified, so no conflicting evidence locations are retained, and no governed exposure unit exists."
P1,4.7,Dispute Escalation Index,4,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,"P3. Rename to the project-stress proxy the specification permits, or carry actual claim and dispute state evidence on a versioned governed stage ladder.","The missingness correction here is exemplary and was verified exhaustively: all three sources are required, so an identical project can no longer read three bands better for withholding its request and change order logs, and renormalising over the present terms was correctly refused as the fix because it would let removing a high term improve the reading in a subtler form. A reported count of zero is evidence and is distinguished from a log that was never read. The sources the reading rests on are listed on the output. But no dispute, claim or determination evidence exists anywhere. The index is a weighted sum of a document risk score, a request count capped at twenty and a change order count capped at ten, and specification 4.7 states in terms that request and change counts alone do not establish a dispute stage. The requirement that missing dispute evidence cannot improve the condition cannot even be expressed, because no dispute evidence is representable. The module's own qualifier calls it a proxy; the registered name does not."
P1,5.2,Sensitivity Analysis,5,IMPLEMENTATION_DEFECT,non-voting,ADVISORY_ONLY,a canonical method is represented and implemented incorrectly in non-voting analytical evidence,"P1. Perturb all three inputs and recompute, or report only the driver that is perturbed. Until then the top driver and the band are not sensitivity results.","One of the three drivers is a genuine local sensitivity: the cost index is perturbed by plus and minus 0.05 and the forecast at completion recomputed, normalised by the base forecast. That is real and should be said. The other two are not perturbed at all: the schedule driver is the absolute deviation of the schedule index from one, halved, and the document driver is the risk score itself. Specification 5.2 says in terms not to call current badness a sensitivity unless an input is perturbed and the output recomputed. Worse than the labelling, the three figures are on three different scales, and the 0.5 multiplier on the schedule driver is the only thing setting their relative standing, so both the reported top driver and the band, which reads the maximum, are determined by an uncited scaling choice rather than by sensitivity. The oracle's elasticity is dimensionless precisely so a cross-input ranking means something. The guards are sound: an absent document risk score is required rather than read as zero, which would demote the driver, and the undefined division points are refused."
P1,5.5,Rework Feedback Loop,5,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,P1. Either build the stock and flow accounting or rename the module for the composite rework-pressure index it computes. Source the weights and caps either way.,"The best property here is a corrected one and it holds: an absent request or change order count is required rather than contributing exactly zero, which is the same contribution a perfect term makes, so missing evidence can no longer buy a better reading, and renormalising over the present terms was correctly refused as the fix. Negative counts are refused and the caps behave as declared. But the quantity is a weighted sum of three capped current values and specification 5.5 states in terms that a weighted cost index, request and change score is not a feedback simulation. No stock, flow, time step or feedback exists: nothing accumulates and nothing feeds back. The weights of 0.3, 0.3 and 0.4 and the caps of thirty and fifteen have no source. The oracle demonstrates the accounting the method requires, including an equilibrium that holds exactly and an error rate that amplifies the stock, neither of which this module can express."
P1,5.8,Discrete Event Simulation,5,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,P1. Either build the event schedule or rename the module for the throughput index it computes from the two indices.,"The refusal behaviour is correct: with no planned progress the progress ratio is not substituted as exactly one, the value of a project running precisely to plan, a reported progress of ten thousand per cent is refused, and a schedule index at or below zero is refused. The index is bounded in nought to one and monotone. But nothing is simulated. The module computes one over one plus an interruption term built from two earned-value indices, and specification 5.8 states in terms that a closed-form progress ratio is not discrete event simulation. There is no entity, event, simulation clock, resource, queue, service duration or termination condition anywhere. The 0.5 weight is a literal with no source. The independent oracle reproduces the specification's own two-job schedule exactly, including the simultaneous-event policy and the proof that the resource is released, which is what the method would require."
P1,6.1,Conservative Dominance,6,IMPLEMENTATION_DEFECT,non-voting,ADVISORY_ONLY,a canonical method is represented and implemented incorrectly in non-voting analytical evidence,P0B in the Run-18 queue. A lone Red currently selects routine early warning rather than escalation.,"THE DEFINING PROPERTY DOES NOT HOLD. Conservative dominance is the worst credible qualified signal. Production escalates only when two signals are Red, or when a breached control chart coincides with a Red forecast; a single Red signal among three Greens returns Amber. The specification's own sentence is that one severe qualified signal cannot disappear inside an average, and here it disappears into a three-arm ladder. What DOES hold: the result is permutation invariant across signal slots, monotone non-decreasing as one signal worsens, two Reds do escalate, an absent signal does not read Green, an unknown string does not read Green, and the module refuses entirely without a package. The module is non-voting, but it is the input to the governance layer's authority and action selection."
P1,6.2,Weighted Voting,6,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,"P2 for weight provenance, P3 for the label. Category 6 must synthesise already qualified signal states and must not vote on raw cost, schedule or document-risk values. All four ensembles read the assembled primary signals directly, so the Qualified Evidence boundary is not enforced.","The canonical form is a weighted ordinal severity score. Production instead accumulates weight into per-band buckets and reports whichever BAND holds the most weight, which is a weighted plurality, not a weighted score: no score field exists on the result. The weights 1.5, 1.0, 0.6 and 1.5 are bare literals with no source, no version and no provenance field. Every simulation module contributes its own 0.6 regardless of whether it is a fresh observation or another transform of the same cost index, and the lineage test confirmed that duplicating one signal moves the tally. One genuinely good property: an unrecognised status casts no vote at all."
P1,6.4,Worst-N-of-M,6,IMPLEMENTATION_DEFECT,non-voting,ADVISORY_ONLY,a canonical method is represented and implemented incorrectly in non-voting analytical evidence,"P0B in the Run-18 queue: adverse evidence is diluted by the arrival of unrelated benign evidence. Category 6 must synthesise already qualified signal states and must not vote on raw cost, schedule or document-risk values. All four ensembles read the assembled primary signals directly, so the Qualified Evidence boundary is not enforced.","This is not Worst-N-of-M and it does not collapse to Conservative Dominance either. N is never predeclared; the rule fires Red when the Red COUNT reaches ceil(0.3 M) and Amber when the Amber count reaches ceil(0.4 M). Because the bar is proportional to M, enlarging M with benign evidence raises it: three signals carrying one Red report Red, and adding a single Green module to the same unchanged adverse finding downgrades it to Yellow. That was demonstrated directly. Under any genuine worst-N-of-M rule the selected worst N are unchanged by adding a benign signal, so the answer cannot improve. All-Green correctly gives Green and unknown statuses are dropped from the denominator rather than diluting it."
P1,7.10,Pythagorean Fuzzy Sets,7,IMPLEMENTATION_DEFECT,non-voting,ADVISORY_ONLY,a canonical method is represented and implemented incorrectly in non-voting analytical evidence,"P1. Compute the hesitancy from the adjusted pair that is actually reported, as the spherical module does. Then source the piecewise map.","The admissibility constraint itself is correct and enforced by renormalisation, and it was verified to hold across twenty-seven input combinations. The defect is in a reported quantity. The hesitancy is computed from the PRE-adjustment membership pair and then reported beside the POST-adjustment pair, so the three numbers a reader is shown are not a Pythagorean triple: at a cost and schedule index of 0.95 the squared sums across document risk 0, 0.5 and 1.0 are 1.01, 0.91 and 0.87 rather than 1. The visible symptom is that the reported hesitancy does not move at all while the pair beside it moves. Compare the spherical module in the same file, which applies its renormalisation AFTER the document risk adjustment and whose reported triple therefore does satisfy its identity. Every degree this module uses is derived from the same cost index, schedule index and document risk score by a piecewise map of literals with no elicitation, calibration or source. That is the general Category 7 position the specification sets out: passing the algebra does not establish that the inputs to the algebra are calibrated."
P1,7.14,Maximum Entropy,7,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,"P1. Either express the evidence as moment constraints and maximise entropy subject to them, or rename the module for the entropy measurement it performs.","The entropy arithmetic is correct: the reported probabilities are a proper distribution, the reported entropy is their Shannon entropy normalised by the uniform case, it lies in nought to one, and the reported status is the most probable outcome. But nothing is maximised. The module reads a hard-coded probability vector off a threshold, adjusts two entries by document risk times uncited constants, renormalises and measures the entropy of the result. Specification 7.14 states in terms that calculating the entropy of an arbitrary hard-coded vector is entropy MEASUREMENT and not maximum entropy INFERENCE. No constraint is expressed and no optimisation occurs. The independent oracle shows the method's actual answer under normalisation alone, the uniform distribution, which this module can never return."
