module_id,canonical_name,current_canonical_route,execution_state,qualification_state,required_structure,structure_supplied_on_corpus,computed,abstained,abstention_reason,calibration_status,empirical_validation_status,voting,project_status_influence,evidence_lineage_state,final_defensibility_statement,faults,result
A2.5,Float Consumption Rate,app.simulation.models_ext.run_float_consumption,ABSTAINS,ADVISORY_ONLY,scheduleNetwork,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A2.6,S-Curve Deviation,app.simulation.models_ext.run_scurve_deviation,ABSTAINS,ADVISORY_ONLY,timePhasedBaseline,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A2.7,Milestone Trend Analysis,app.simulation.models_ext.run_milestone_trend,ABSTAINS,ADVISORY_ONLY,milestoneForecastHistory,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A2.8,Look-Ahead Schedule Health,app.simulation.models_ext.run_lookahead_health,ABSTAINS,ADVISORY_ONLY,lookAheadSchedule,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A2.9,Resource Loading Index,app.simulation.models_ext.run_resource_loading,ABSTAINS,ADVISORY_ONLY,resourceProfile,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A3.1,Reference Class Forecasting,app.simulation.models.run_rcf,ABSTAINS,ADVISORY_ONLY,referenceClassPopulation,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A3.2,Contingency Burn Rate,app.simulation.models_ext.run_contingency_burn,ABSTAINS,ADVISORY_ONLY,none,n/a,NO,YES,missing_required_input,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,the current production runner computes the canonical method from the governed evidence the platform already holds,NONE,PASS
A3.3,Labor Productivity Index,app.simulation.models_ext.run_labor_productivity,ABSTAINS,ADVISORY_ONLY,productionOutputRecord,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A3.5,Overhead Absorption Rate,app.simulation.models_ext.run_overhead_absorption,ABSTAINS,ADVISORY_ONLY,overheadAllocationBase,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_ESTABLISHED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A3.6,Cost Risk Analysis P80,app.simulation.models_ext.run_cost_risk,ABSTAINS,ADVISORY_ONLY,costRiskModel,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_ESTABLISHED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A3.7,Analogous Estimating Ratio,app.simulation.models_ext.run_analogous_estimating,ABSTAINS,ADVISORY_ONLY,analogEstimate,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A3.8,Parametric Cost Index,app.simulation.models_ext.run_parametric_cost,ABSTAINS,DISABLED_UNSAFE,parametricCostModel,NO - the controlled corpus carries no governed structure,NO,YES,"Parametric Cost Index is disabled: it is a concept-only module with no production implementation of the analytical structure its name claims. Not executed, not voting, excluded fro",NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_NOT_APPLICABLE,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",NONE,PASS
A3.9,Inflation Adjustment Index,app.simulation.models_ext.run_inflation_adjustment,ABSTAINS,ADVISORY_ONLY,externalCostIndex,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_ESTABLISHED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A4.1,Document Risk Score,none: declared in the registry and implemented by no runner,SUPPLIED_NOT_COMPUTED,ADVISORY_ONLY,documentRiskEvidence,NO - the controlled corpus carries no governed structure,NO,NO,,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,the platform consumes a governed supplied value rather than computing the value as an analytical module,NONE,PASS
A4.10,Specification Conflict Density,app.simulation.models_doc.run_spec_conflict_density,ABSTAINS,ADVISORY_ONLY,specificationConflictRegister,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A4.2,RFI Velocity,app.simulation.models_doc.run_rfi_velocity,ABSTAINS,ADVISORY_ONLY,rfiEventLog,NO - the controlled corpus carries no governed structure,NO,YES,Insufficient data: upload required documents,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A4.3,Submittal Rejection Rate,app.simulation.models_doc.run_submittal_rejection,ABSTAINS,ADVISORY_ONLY,submittalDecisionRegister,NO - the controlled corpus carries no governed structure,NO,YES,Insufficient data: upload required documents,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A4.4,NCR Rate,app.simulation.models_doc.run_ncr_rate,ABSTAINS,ADVISORY_ONLY,auditedNonconformanceCohort,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A4.5,Weather Day Impact,app.simulation.models_doc.run_weather_impact,ABSTAINS,ADVISORY_ONLY,weatherImpactEvents,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A4.6,Change Order Frequency,app.simulation.models_doc.run_co_frequency,ABSTAINS,ADVISORY_ONLY,changeEventRegister,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_ESTABLISHED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A4.7,Dispute Escalation Index,app.simulation.models_doc.run_dispute_escalation,ABSTAINS,ADVISORY_ONLY,claimDisputeRegister,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A4.8,Subcontractor Performance,app.simulation.models_doc.run_subcontractor_performance,ABSTAINS,ADVISORY_ONLY,subcontractorAssessments,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A4.9,Procurement Lead Time Monitor,app.simulation.models_doc.run_procurement_lead_time,ABSTAINS,ADVISORY_ONLY,procurementItems,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A5.1,DSM Rework Propagation,app.simulation.models.run_dsm,ABSTAINS,ADVISORY_ONLY,dsmDependencyModel,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A5.2,Sensitivity Analysis,app.simulation.models_doc.run_sensitivity_analysis,ABSTAINS,ADVISORY_ONLY,sensitivityModel,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_ESTABLISHED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A5.3,Tornado Risk Ranking,app.simulation.models_doc.run_tornado_diagram,ABSTAINS,ADVISORY_ONLY,sensitivityModel,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_ESTABLISHED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A5.4,Scenario Modeling,app.simulation.models_doc.run_scenario_modeling,ABSTAINS,ADVISORY_ONLY,scenarioSet,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A5.5,Rework Feedback Loop,app.simulation.models_doc.run_rework_feedback,ABSTAINS,ADVISORY_ONLY,systemDynamicsModel,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A5.6,Queueing Theory Bottleneck,app.simulation.models_doc.run_queueing_bottleneck,ABSTAINS,ADVISORY_ONLY,queueStructure,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A5.7,Agent-Based Supply Chain,app.simulation.models_doc.run_agent_supply_chain,ABSTAINS,ADVISORY_ONLY,abmStructure,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A5.8,Discrete Event Simulation,app.simulation.models_doc.run_discrete_event_sim,ABSTAINS,ADVISORY_ONLY,desProcessModel,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A6.1,Quality Compliance Index,app.simulation.models_cat89.run_A6_1,COMPUTES,ADVISORY_ONLY,qualityRequirementRegister,YES - assembled from the project's own extracted evidence,NO,NO,n/a,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A6.2,Safety Performance Index,app.simulation.models_cat89.run_A6_2,COMPUTES,ADVISORY_ONLY,safetyPerformanceRecord,YES - assembled from the project's own extracted evidence,YES,NO,n/a,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A6.3,Environmental Compliance Rate,app.simulation.models_cat89.run_A6_3,COMPUTES,ADVISORY_ONLY,auditedPermitCompliance,YES - assembled from the project's own extracted evidence,NO,NO,n/a,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A6.4,Contractor Performance Assessment Signal,app.simulation.models_cat89.run_A6_4,ABSTAINS,ADVISORY_ONLY,contractorAssessmentRecord,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B1.1,Conservative Dominance,app.simulation.models_decision.run_conservative_dominance,ABSTAINS,ADVISORY_ONLY,none,n/a,NO,YES,Insufficient data: upload required documents,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,the current production runner computes the canonical method from the governed evidence the platform already holds,NONE,PASS
B1.2,Weighted Voting,app.simulation.models_gov.run_weighted_voting,ABSTAINS,ADVISORY_ONLY,signalWeightPolicy,NO - the controlled corpus carries no governed structure,NO,YES,Insufficient data: upload required documents,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B1.3,Majority Rules,app.simulation.models_gov.run_majority_rules,ABSTAINS,ADVISORY_ONLY,none,n/a,NO,YES,Insufficient data: upload required documents,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,the current production runner computes the canonical method from the governed evidence the platform already holds,NONE,PASS
B1.4,Worst-N-of-M,app.simulation.models_gov.run_worst_n_of_m,ABSTAINS,ADVISORY_ONLY,none,n/a,NO,YES,Insufficient data: upload required documents,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,the current production runner computes the canonical method from the governed evidence the platform already holds,NONE,PASS
B2.1,Dempster-Shafer,app.simulation.models_cat7.run_dst_evidence_combination,ABSTAINS,ADVISORY_ONLY,evidenceMassFunctions,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.10,Pythagorean Fuzzy Sets,app.simulation.models_cat7.run_pythagorean_fuzzy,ABSTAINS,ADVISORY_ONLY,pythagoreanFuzzyAssessment,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
