module_id,module_name,browser_code_path,server_code_path,prior_divergence,live_browser_computation_removed,server_value_source,parity_test,result
A4.1,Document Risk Score,none,server/app/simulation/ (registry short circuit or canonical.py),no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A4.2,RFI Velocity,assets/js/simulations.js:runRFIVelocity,server/app/simulation/models_doc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A4.3,Submittal Rejection Rate,assets/js/simulations.js:runSubmittalRejection,server/app/simulation/models_doc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A4.4,NCR Rate,assets/js/simulations.js:runNCRRate,server/app/simulation/models_doc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A4.5,Weather Day Impact,none,server/app/simulation/models_doc.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A4.6,Change Order Frequency,none,server/app/simulation/models_doc.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A4.7,Dispute Escalation Index,assets/js/simulations.js:runDisputeEscalation,server/app/simulation/models_doc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A4.8,Subcontractor Performance,assets/js/simulations.js:runSubcontractorPerformance,server/app/simulation/models_doc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A4.9,Procurement Lead Time Monitor,assets/js/simulations.js:runProcurementLeadTime,server/app/simulation/models_doc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A4.10,Specification Conflict Density,none,server/app/simulation/models_doc.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A5.1,DSM Rework Propagation,assets/js/simulations.js:runDSM,server/app/simulation/models.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A5.2,Sensitivity Analysis,assets/js/simulations.js:runSensitivityAnalysis,server/app/simulation/models_doc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A5.3,Tornado Risk Ranking,none,server/app/simulation/models_doc.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A5.4,Scenario Modeling,assets/js/simulations.js:runScenarioModeling,server/app/simulation/models_doc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A5.5,Rework Feedback Loop,assets/js/simulations.js:runReworkFeedback,server/app/simulation/models_doc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A5.6,Queueing Theory Bottleneck,none,server/app/simulation/models_doc.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A5.7,Agent-Based Supply Chain,none,server/app/simulation/models_doc.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A5.8,Discrete Event Simulation,assets/js/simulations.js:runDiscreteEventSim,server/app/simulation/models_doc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A6.1,Quality Compliance Index,assets/js/simulations.js:runQualityCompliance,server/app/simulation/models_doc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A6.2,Safety Performance Index,assets/js/simulations.js:runSafetyPerformance,server/app/simulation/models_doc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A6.3,Environmental Compliance Rate,assets/js/simulations.js:runEnvironmentalCompliance,server/app/simulation/models_doc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A6.4,Contractor Performance Score,assets/js/simulations.js:runContractorPerformance,server/app/simulation/models_doc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B1.1,Conservative Dominance,none,server/app/simulation/models_decision.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B1.2,Weighted Voting,assets/js/simulations.js:runWeightedVoting,server/app/simulation/models_gov.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B1.3,Majority Rules,assets/js/simulations.js:runMajorityRules,server/app/simulation/models_gov.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B1.4,Worst-N-of-M,assets/js/simulations.js:runWorstNofM,server/app/simulation/models_gov.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.1,Dempster-Shafer,none,server/app/simulation/models_gov.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.2,Rough Sets,assets/js/simulations.js:runRoughSets,server/app/simulation/models_evc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.3,Neutrosophic Logic,assets/js/simulations.js:runNeutrosophic,server/app/simulation/models_evc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.4,Interval Fuzzy Sets,assets/js/simulations.js:runIntervalFuzzy,server/app/simulation/models_evc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.5,Z-numbers,assets/js/simulations.js:runZNumbers,server/app/simulation/models_evc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.6,PLTS,assets/js/simulations.js:runPLTS,server/app/simulation/models_evc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.7,Plithogenic Sets,assets/js/simulations.js:runPlithogenic,server/app/simulation/models_evc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.8,Belief Rule Base,none,server/app/simulation/models_evc.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.9,Quantum Probability,assets/js/simulations.js:runQuantumProbability,server/app/simulation/models_evc.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.10,Pythagorean Fuzzy Sets,assets/js/simulations.js:runPythagoreanFuzzy,server/app/simulation/models_fuzzy.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.11,Picture Fuzzy Sets,assets/js/simulations.js:runPictureFuzzy,server/app/simulation/models_fuzzy.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.12,Hesitant Fuzzy Sets,assets/js/simulations.js:runHesitantFuzzy,server/app/simulation/models_fuzzy.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.13,Type-2 Fuzzy Sets,assets/js/simulations.js:runType2Fuzzy,server/app/simulation/models_fuzzy.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.14,Maximum Entropy,assets/js/simulations.js:runMaximumEntropy,server/app/simulation/models_fuzzy.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.15,Possibility Theory,assets/js/simulations.js:runPossibilityTheory,server/app/simulation/models_fuzzy.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.16,Spherical Fuzzy Sets,assets/js/simulations.js:runSphericalFuzzy,server/app/simulation/models_fuzzy.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.17,Fermatean Fuzzy Sets,assets/js/simulations.js:runFermateanFuzzy,server/app/simulation/models_fuzzy.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.18,MARCOS Ranking,assets/js/simulations.js:runMARCOS,server/app/simulation/models_fuzzy.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.19,CRITIC-TOPSIS,assets/js/simulations.js:runCRITIC_TOPSIS,server/app/simulation/models_fuzzy.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B2.20,Hypersoft Sets,assets/js/simulations.js:runHypersoftSets,server/app/simulation/models_fuzzy.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B3.1,ABM Governance Layer,none,server/app/simulation/models_decision.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B3.2,FAR Threshold Monitor,assets/js/simulations.js:runFARThreshold,server/app/simulation/models_gov.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
