relative_path,package,bytes,sha256,rows,columns,executable_bit
package_A_project_structures/ccpm_buffers.csv,package_A_project_structures,30805,2c548fa342e13b282a38234584a461cf882a13126c5d54cd1b2f4d825631f8c6,108,18,no
package_A_project_structures/ccpm_chain_activities.csv,package_A_project_structures,15468,dec6a74e7b82f9252db6e8e2297d3680aff7f8b355ff695a412005b2e9766d24,72,13,no
package_A_project_structures/ccpm_chains.csv,package_A_project_structures,5065,f506a9e3562c8b65164e95f93e4824fc0a6db001e4b550e34ec1ed59afe6ec49,18,17,no
package_A_project_structures/ccpm_ground_truth.csv,package_A_project_structures,8084,adedbc297afe78d3b7cdd472c2c2c538397669dd2ffe15a6d0232bbc2e0d4986,36,13,no
package_A_project_structures/claims.csv,package_A_project_structures,9438,472e80afbd4205f04448b95055a4f1fabba8859741a43f7ed0a9e306dc693a94,36,16,no
package_A_project_structures/cost_correlations.csv,package_A_project_structures,125516,cb07f5b5b2f5637c417df863dfe0d7101a845a3814ad4a4195d3fd9bc697fb7f,600,11,no
package_A_project_structures/cost_elements.csv,package_A_project_structures,14643,c10873a6f98ce7dff7ea5c692b9d677aa0b73734b418e3dad1d163cd21bac093,60,14,no
package_A_project_structures/cost_risk_events.csv,package_A_project_structures,8788,adc48c9e7a1a10f087d9e0620d32599ed37730d12a40448f8cce09e7bca82c4f,36,14,no
package_A_project_structures/cost_risk_ground_truth.csv,package_A_project_structures,1603,cbc177d48b09b7455eaa0bafaa7c9784c2c15151efdd80daa0251c8bc00692f2,6,13,no
package_A_project_structures/des_entities.csv,package_A_project_structures,26007,cb8d56ef02364d4ec785237fb87079c12ab504a6fb6e9c89266c34a1b90883ae,120,11,no
package_A_project_structures/des_events.csv,package_A_project_structures,155594,6c00dc5ab34685e3868183dee6dd317911ad26a916b72428bb508c2f2b5f587a,480,19,no
package_A_project_structures/des_ground_truth.csv,package_A_project_structures,2065,cae2e070da14b0bd320bd1db1c19833cdde6038a9ac1530ec3255a4d04ffabea,6,13,no
package_A_project_structures/dispute_events.csv,package_A_project_structures,24162,3046e2f5535f5511b89d30ef2fb4c2511f59087656ee58d9adc986fd45613405,108,13,no
package_A_project_structures/dispute_ground_truth.csv,package_A_project_structures,7619,1cdc54df7343b7379722bd35585e42105625c694c235730313724fc9ce29d456,36,12,no
package_A_project_structures/dsm_edges.csv,package_A_project_structures,12960,0ed76510fe7b9352bfe057e9b5ad9e7ea9d52f0737ff8ac7b4e91f7f8680f106,54,13,no
package_A_project_structures/dsm_ground_truth.csv,package_A_project_structures,15887,20eeca495f8fe15af5a4c14eef58ed660527d6e06c3c234647a3e86d250cbd80,36,14,no
package_A_project_structures/dsm_nodes.csv,package_A_project_structures,10242,e7ab6b54ba32d0fe52ad48ce8e5b805ed604da48943ab1d3b31e713409d35a51,48,11,no
package_A_project_structures/environmental_assessments.csv,package_A_project_structures,84764,e14b3ebc3188b21e8b4b1d0be68ba9a7eaeb3272bd09e0877c8a46077f6ee231,288,15,no
package_A_project_structures/environmental_ground_truth.csv,package_A_project_structures,7563,6fe21159a8efea642a2a112fdf4e0c561d69eed2f36d568ab641bf30204c70da,36,17,no
package_A_project_structures/environmental_requirements.csv,package_A_project_structures,14085,c3f5cff4d766a017c0d51e8894d606d3de59642c0950273b057e7d95c7784dbb,48,16,no
package_A_project_structures/environmental_violations.csv,package_A_project_structures,7977,05e1d9a12bf863fae279acc4354a401800e9614a1926dae2748188de66ab8cda,28,17,no
package_A_project_structures/lob_ground_truth.csv,package_A_project_structures,12803,4fda0de4559681186c0addd2a6406df43a311b0d7ba4c3d05c25fa68be7e8809,54,15,no
package_A_project_structures/lob_work_packages.csv,package_A_project_structures,112590,298c99846b2dac149d1791a333e2028926b2450d639fb20487447f8ab903d004,432,20,no
package_A_project_structures/ncr_events.csv,package_A_project_structures,18141,075fcbc194f3112f8a638d744cfa74b70b0ae7d7ec5892973677fb8e8e002c6c,69,16,no
package_A_project_structures/ncr_ground_truth.csv,package_A_project_structures,8402,c720eb3dd25f6ab9899bd64ef7aaef7f0464415e2abaf2147032a57d21ae4354,36,19,no
package_A_project_structures/projects.csv,package_A_project_structures,2014,f0704e415cc141abca807bd189be09b93d296c4d06323099f5c5a583bff2af02,6,18,no
package_A_project_structures/quality_audits.csv,package_A_project_structures,8080,330c995b81313ec4357cd14ca4c0226692f6c2eba83effa483437800973bf14f,36,16,no
package_A_project_structures/queue_events.csv,package_A_project_structures,65291,33e7aebc87b9957eb439a083693b95ed47c29c4b280b9c0b460499d25d278c2a,240,17,no
package_A_project_structures/queue_ground_truth.csv,package_A_project_structures,1713,007f2cfd6f912a20c94295a2f3b9206dd2d9c007c685f82f4531546c24d0800d,6,16,no
package_A_project_structures/reporting_periods.csv,package_A_project_structures,8072,c7876526b231a3dda15e02fa7616f2adc9d13e07a795d7e8c96a7f6bcb52f9fe,36,14,no
package_A_project_structures/schedule_activities.csv,package_A_project_structures,21733,0a1b8f7236b12dc0226439cc39ee0683ae6d13071508647240e887397debfe43,72,22,no
package_A_project_structures/schedule_dependencies.csv,package_A_project_structures,16191,f713e7ba63e5040a7b2087d4ed7b988715c28cfb6ea720e473a1a9811bb881b7,78,12,no
package_A_project_structures/schedule_ground_truth.csv,package_A_project_structures,14024,af21088aa125b45a68806eb594b8b47fdfe67f750a71d45755c070e8a21e1c45,36,21,no
package_A_project_structures/schedule_status.csv,package_A_project_structures,112957,9fddd1105f563e5145e73bff32311015fa3b62d7f807771af4c648ac56af2223,432,19,no
package_A_project_structures/specification_conflicts.csv,package_A_project_structures,17607,d0ed700b7d2bede853ca635bc2a7e8b6a9b9fa0ab86a70a8955a858d67fbf9d1,72,16,no
package_A_project_structures/specification_exposure.csv,package_A_project_structures,1343,ee02fae58f20c4617d7df8ef88a3a95e14c549732cba7d676c3afb5e3d6adba6,6,11,no
package_A_project_structures/specification_ground_truth.csv,package_A_project_structures,1334,f35ef5e94716c343543bd3617dee75195ec004fc12e34b7f52bdae542a2523f7,6,11,no
package_A_project_structures/system_dynamics_parameters.csv,package_A_project_structures,4051,20003f41ee70152ce953f76c0d345748277107a3959b08695e716a481a265611,18,11,no
package_A_project_structures/system_dynamics_timeseries.csv,package_A_project_structures,17117,53959c70dbd2a2d4367dee1b6bc36207ba1c4d62ccbbce86ed5aec4c29c6aa3b,72,15,no
package_A_project_structures/weather_events.csv,package_A_project_structures,16227,bd1eb4c74f8d0f1df3cf7b2c7bbb6cfe1c3a193c38a26774e6bddcda7c4bbedb,72,14,no
package_B_reference_training_decisions/B1_reference_population/analogous_pairs.csv,package_B_reference_training_decisions,26118,acbd68d6d926821630424cf2fcea7cf70c845a9abf9273b34007f79221a5a3e8,120,13,no
package_B_reference_training_decisions/B1_reference_population/anomaly_labels.csv,package_B_reference_training_decisions,68745,845ce06ad40e417f23c1643d2b1318660a56de21fa914af33705c0582d99fb08,360,10,no
package_B_reference_training_decisions/B1_reference_population/ground_truth_model.json,package_B_reference_training_decisions,859,5a38be2595f91e28e24c8544fddd097b31f595e052630ba51bee5e44b83e149a,,,no
package_B_reference_training_decisions/B1_reference_population/inflation_index.csv,package_B_reference_training_decisions,362886,b8634c0dfc695be2f59bd07db51787c04dd6b2454de09a6096c8bd5302f3ca2c,1536,13,no
package_B_reference_training_decisions/B1_reference_population/parametric_cost_training.csv,package_B_reference_training_decisions,103560,5205723da9d414a0c40b31f415fd959ce3b926a93b5871427ceea03b940097b4,360,20,no
package_B_reference_training_decisions/B1_reference_population/reference_class_membership.csv,package_B_reference_training_decisions,84520,fa08918bdc1ce80ba8e4f142a33735a4636fe1b86079a75b032c19f3dbfbad84,360,11,no
package_B_reference_training_decisions/B1_reference_population/reference_outcomes.csv,package_B_reference_training_decisions,82221,a37f79806751252a76d716cd54f2a50feae993235d50e013ed6244d81faadc70,360,14,no
package_B_reference_training_decisions/B1_reference_population/reference_project_periods.csv,package_B_reference_training_decisions,670184,7aed6574f1e8c35bcdd77976314e1ee1e03b36ea56531067fbbccf2b77196a70,2880,18,no
package_B_reference_training_decisions/B1_reference_population/reference_projects.csv,package_B_reference_training_decisions,123026,2d2762cec93fba60e037d1151da3d427429bf94341ec5f3d498f41928eef641f,360,27,no
package_B_reference_training_decisions/B1_reference_population/rough_set_decision_table.csv,package_B_reference_training_decisions,77017,1e1f891888200432c4429289a7b07183a3db1d00fef131ce2cd42e6d173549fd,360,14,no
package_B_reference_training_decisions/B1_reference_population/split_manifest.csv,package_B_reference_training_decisions,71579,ce6bb5a0a2500fc6d4d7c67a5391ea978d9bac3903026125f72a9d1976bc5995,360,10,no
package_B_reference_training_decisions/B2_expert_epistemic/belief_rules.json,package_B_reference_training_decisions,7680,2e26085628e0dac2c2d8179e8defd8954c4a29b7cda05061431920ccfc95d43c,,,no
package_B_reference_training_decisions/B2_expert_epistemic/ds_mass_assignments.csv,package_B_reference_training_decisions,79027,58270bc14522164c69aa4b3f581390ee6fe105b8682cad586c8fa2d0efb3bee3,360,14,no
package_B_reference_training_decisions/B2_expert_epistemic/epistemic_ground_truth.json,package_B_reference_training_decisions,5259,d0c3efa1400817778139891496b3390c6ccc58932e83729aed37c18dafa4aeff,,,no
package_B_reference_training_decisions/B2_expert_epistemic/epistemic_scenarios.csv,package_B_reference_training_decisions,5519,7e5c91ca6974f6ac83b0ef2949f9c175b1d4b53d9e45ba21b17bb147c9f9ff03,24,12,no
package_B_reference_training_decisions/B2_expert_epistemic/expert_profiles.csv,package_B_reference_training_decisions,3244,9bd8ea8f2d1886b6c5213588e119c466380bd11a6ea5473c7db2877fb76e2115,15,12,no
package_B_reference_training_decisions/B2_expert_epistemic/fuzzy_memberships.csv,package_B_reference_training_decisions,102500,3b297a4984a9061b1b7fd4787814dd226053419335e2835a193df811d426d870,360,18,no
package_B_reference_training_decisions/B2_expert_epistemic/plts_assessments.csv,package_B_reference_training_decisions,79938,ed9d7568e65782b11f1749304386b587a8ab2ea17cceb7ffb62daa4ca14179ba,360,14,no
package_B_reference_training_decisions/B2_expert_epistemic/possibility_distributions.csv,package_B_reference_training_decisions,78507,aee5dce2d95246529134aeafed1351514068f2b4cb9798f03847a9d59ac7ca6a,360,14,no
package_B_reference_training_decisions/B2_expert_epistemic/z_number_assessments.csv,package_B_reference_training_decisions,91256,b84ee81b44a421bb86c1c012980304d1ed7fd338ade84642b8bdfb93e9ec35e3,360,14,no
package_B_reference_training_decisions/B3_decision_optimization/action_scenario_outcomes.csv,package_B_reference_training_decisions,84652,ac8ccc7dc30111458cc696e96090dbca3f5c7811b682572be39c6c4e8f2a1d6d,360,16,no
package_B_reference_training_decisions/B3_decision_optimization/actions.csv,package_B_reference_training_decisions,17626,1f556de0bef49afb78306a0b30eae160291c4b0870134f84ad00edf9b4c0eb24,72,18,no
package_B_reference_training_decisions/B3_decision_optimization/alternative_criteria_matrix.csv,package_B_reference_training_decisions,16247,902df15fcf72a8142be23481fb338573c3d583d86f0137bfbbe07e84ee2ce8e2,72,14,no
package_B_reference_training_decisions/B3_decision_optimization/constraints.csv,package_B_reference_training_decisions,8740,06040340d5ee3002108140476bb4c3eaf9b1b779327ce56351648f2bf7163d0e,36,12,no
package_B_reference_training_decisions/B3_decision_optimization/criteria.csv,package_B_reference_training_decisions,13933,c3b595c88b9d7402301f4a4ff4b6823161acba8d71d492af615434db353e6038,60,13,no
package_B_reference_training_decisions/B3_decision_optimization/decision_problems.csv,package_B_reference_training_decisions,2949,f8a75a751d9c57fff65a73ac5142e2c52502a7d303f90a19eca8f1b64884f303,12,15,no
package_B_reference_training_decisions/B3_decision_optimization/ground_truth_decisions.csv,package_B_reference_training_decisions,6452,3540bfb7416dc685f4d09bffc592f1eee8f66f7643957bef8bc1798716abeb66,12,18,no
package_B_reference_training_decisions/B3_decision_optimization/lp_model_schema.json,package_B_reference_training_decisions,317,e1bfa8c054a574b0c6fb1e733073bcedb4d6c9c959735821954cb457306b4816,,,no
package_B_reference_training_decisions/B3_decision_optimization/lp_models.json,package_B_reference_training_decisions,24183,0da158ceb33107723a2c8bb6f3e735dc9ce75e0936975e1b7b1b74a1d33c52b7,,,no
package_B_reference_training_decisions/B3_decision_optimization/payoff_matrices.csv,package_B_reference_training_decisions,75435,fe0c068bf9e671f4478ea578315747c1a2a357ad37894cd9e58eb24fdf002e2b,360,12,no
package_B_reference_training_decisions/B3_decision_optimization/scenarios.csv,package_B_reference_training_decisions,13969,0258e893c3d85e29d7d9d2d6bb56d352654fe80cca3ff7aef1f951afee2ab377,60,15,no
package_B_reference_training_decisions/B3_decision_optimization/sensitivity_cases.csv,package_B_reference_training_decisions,26572,ad780b3d34d82004a16559f2f33c50d09ba459130714acdd14d420e128f6bd49,120,13,no
package_B_reference_training_decisions/PACKAGE_CHECKSUMS.sha256,package_B_reference_training_decisions,3741,804496f48fe61fb1a24a5458f89280621f0a43fe6f9f6fe959e41df325686671,,,no
package_B_reference_training_decisions/PACKAGE_MANIFEST.csv,package_B_reference_training_decisions,4000,8e54a40b68f7a80053fc27113451b9b0b48337ac1b99f84788959fc3520628fa,33,4,no
package_B_reference_training_decisions/README.md,package_B_reference_training_decisions,575,689cb54a81ecf9e029f4903b526ac30f5b268cc5600654b7afe1a6b5a1d4188c,,,no
package_C_optional_activation_lab/PACKAGE_CHECKSUMS.sha256,package_C_optional_activation_lab,1279,58604a685c1294577b318b154dbe4240d8105fa3a2b9412375cc4720c165310a,,,no
package_C_optional_activation_lab/PACKAGE_MANIFEST.csv,package_C_optional_activation_lab,1326,d4125f4ee3401b449b42b4d678bab5a25eecaf9998df565fd2a2ea7d834c022f,13,4,no
package_C_optional_activation_lab/README.md,package_C_optional_activation_lab,387,50c47e3c3b5e96589e0a11d41496f1858ac5e895a49162418bbd8256506a915e,,,no
package_C_optional_activation_lab/activation_benchmark_plan.csv,package_C_optional_activation_lab,3248,15296e6d2d47176327af84305d720cdd7d802dd3b093e46657d58ded52e78163,8,13,no
package_C_optional_activation_lab/activation_candidates.csv,package_C_optional_activation_lab,2816,cd92ab009feafdb371e9ca05d78ea1e685ba49fd8109df6f744f190994cb09b0,8,14,no
package_C_optional_activation_lab/hypersoft_approximation.csv,package_C_optional_activation_lab,30367,2570d4744a3a594aca88caadb5c4f5ff92432953c174fababd33e44033f8f841,144,14,no
package_C_optional_activation_lab/hypersoft_parameters.csv,package_C_optional_activation_lab,2015,95671439605f24dc108da3a46cdb68e535a9d3eab27fba204419c6b5b6371859,10,9,no
package_C_optional_activation_lab/hypersoft_universe.csv,package_C_optional_activation_lab,877,6911aee5bf5bf25ab3de0b856ef4c518ceae547c653711415992ea9f812aa92b,4,9,no
package_C_optional_activation_lab/parametric_cost_benchmark.csv,package_C_optional_activation_lab,481,ea32c8bb8bad9b85dee7291b83509e4b0df718b0fdcb6cfa038b1dc2be916633,1,14,no
package_C_optional_activation_lab/plithogenic_appurtenance.csv,package_C_optional_activation_lab,9778,f8edd65df217ec017ee607d95ca18da7c5f8e096b01bcf8cbcdc25ffc987e9b7,48,11,no
package_C_optional_activation_lab/plithogenic_attributes.csv,package_C_optional_activation_lab,2409,37177aa2a4f462dbd7baab85b56164f64ffa11183e1c1200ece0095085fc9be3,12,11,no
package_C_optional_activation_lab/plithogenic_contradictions.csv,package_C_optional_activation_lab,6989,e17446537d0528ca9af62027b0c7bbcc1be5af4959bf4cff23a593012cd33ff1,36,11,no
package_C_optional_activation_lab/quantum_model_parameters.json,package_C_optional_activation_lab,364,c83e3c093beb4dee3b26a8a9b317958a91d218eaa1632ca2fe9d747ad8a6065a,,,no
package_C_optional_activation_lab/quantum_order_effects.csv,package_C_optional_activation_lab,234022,51aa85d32398fb6f0e976e6bab319ea5fa96c5413517cb790b3e9de296b4afb8,1200,11,no
package_C_optional_activation_lab/reuse_manifest.csv,package_C_optional_activation_lab,2007,013dfa23ddc584829876a3827ef844312e0b9c126b28b0c0857c9e624cac0152,8,12,no
package_summary.xlsx,ROOT,42308,a5b303f69a59c4d9386a36128faf6de817ecb01af1379256cd1681fb8c985537,,,no
requirements-lock.txt,ROOT,73,f9629d7a362f98c27fe7c7075e5fac3a9bcd273b286ad4157f78d6c26f150415,,,no
schemas/schema_catalog.json,schemas,187976,a15640ef9ef8129b3d149ce6d59da71c79d90e19c35ef1fb155da44fe13be7d2,,,no
validation_report.json,ROOT,92436,2e8cdd04521a9ee52772f5e06e4f4bd16a09daabe2fc247b5a9b5055f636c421,,,no
