area,check,result,detail
ccpm,buffers_recomputed_from_RSS_PERT_variance_z1645,PASS,18 chains; []
ccpm,flat_15pct_sizing_absent,PASS,[]
ccpm,buffer_rows_agree_with_chain_sizing,PASS,[]
abm,exists:agent_decision_rules.csv,PASS,
abm,exists:agents.csv,PASS,
abm,exists:agent_state_history.csv,PASS,
abm,exists:abm_rule_ground_truth.csv,PASS,
abm,agent_rule_fk,PASS,
abm,history_rule_branch_resolves,PASS,576 state rows against 3 declared branches
abm,every_condition_and_action_is_a_json_object,PASS,6 objects parsed
abm,branch_reproduced_from_condition_json,PASS,576 rows replayed; []
abm,note_every_declared_branch_is_exercised,FAIL,declared but never applied: ['LOW_INVENTORY_RESTOCK']
abm,branch_counts_recomputed,PASS,12 ground-truth rows; [] extra=[]
dsm,alias_assigns_package_A,PASS,['A']
dsm,asset_map_assigns_package_A,PASS,['A']
dsm,package_A_readme_states_DSM,PASS,
dsm,audit_resolution_states_DSM_in_A,PASS,
dsm,dsm_files_live_in_package_A,PASS,
lp,schema_version_0_2,PASS,
lp,twelve_models,PASS,12
lp,all_models_machine_readable,PASS,[]
lp,all_models_solved_independently_match_ground_truth,PASS,12 models solved; []
aliases,literature_ids_unique,PASS,
aliases,code_ids_unique,PASS,
aliases,mapping_is_one_to_one,PASS,39 rows
aliases,maps:7.19->B2.19,PASS,B2.19
aliases,maps:4.4->A4.4,PASS,A4.4
aliases,maps:8.8->A6.3,PASS,A6.3
aliases,asset_map_agrees_with_alias_table,PASS,[]
aliases,every_asset_map_module_has_an_alias,PASS,[]
aliases,every_run8_bucket345_module_has_an_alias_row,FAIL,"11 modules in scope; not mapped: ['A1.1', 'A5.4']"
provenance,every_record_marked_synthetic,PASS,92 csv files; []
privacy,no_personal_identifiers_in_any_csv,PASS,[]
privacy,json_files_scanned,PASS,
privacy,no_executable_or_secret_files,PASS,[]
splits,360_reference_projects,PASS,360
splits,manifest_covers_every_project,PASS,
splits,manifest_agrees_with_inline_split,PASS,
splits,each_project_in_exactly_one_split,PASS,
splits,no_duplicate_feature_vector_crosses_a_split,PASS,6 features; 0 crossing vectors
splits,no_analog_is_drawn_from_the_locked_holdout,PASS,120 pairs; []
splits,no_holdout_to_holdout_analogous_pair,PASS,[]
splits,analog_direction_is_always_into_development,PASS,"[('LOCKED_HOLDOUT', 'DEVELOPMENT'), ('VALIDATION', 'DEVELOPMENT')]"
splits,derived_split_agrees:reference_project_periods.csv,PASS,[]
splits,derived_split_agrees:parametric_cost_training.csv,PASS,[]
splits,derived_split_agrees:rough_set_decision_table.csv,PASS,[]
