module_id,module_name,category,run18_track,final_disposition
7.15,Possibility Theory,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.16,Spherical Fuzzy Sets,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.17,Fermatean Fuzzy Sets,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.18,MARCOS Ranking,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.19,CRITIC-TOPSIS,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
7.20,Hypersoft Sets,7,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
8.1,ABM Governance Layer,8,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
8.2,FAR Threshold Monitor,8,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
8.3,OMB A-11 Check,8,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
8.4,EVM Reporting Threshold,8,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
8.5,Contract Modification Frequency,8,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
10.1,Multi-Objective Optimization,10,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
10.2,Linear Programming,10,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
10.3,Constraint Satisfaction Analysis,10,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
10.4,What-If Scenario Matrix,10,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
10.5,Decision Sensitivity Matrix,10,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
10.6,Pareto Frontier Analysis,10,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
10.7,Regret Minimization Index,10,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
9.1,Missing Data Index,9,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
9.2,Data Timeliness Score,9,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
9.3,Source Reliability Weighting,9,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
9.4,Audit Trail Completeness,9,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
9.5,Information Completeness Ratio,9,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
9.6,Cross-document Consistency Score,9,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
9.7,Reporting Frequency Index,9,OUTSTANDING_79,NOT_REACHED_IN_THIS_RUN
PH.1,Isolation Forest,PH,PRIOR_21_REEXECUTED,METHOD_PASS_CALIBRATION_PENDING
PH.2,Portfolio Outlier Detection,PH,PRIOR_21_REEXECUTED,CORRECT_PROXY_ONLY
PH.3,Signal Trajectory Classifier,PH,PRIOR_21_REEXECUTED,CORRECT_PROXY_ONLY
PH.4,Cross-project Pattern Detector,PH,PRIOR_21_REEXECUTED,OWNER_DECISION_REQUIRED
PH.5,Anomaly Score,PH,PRIOR_21_REEXECUTED,IMPLEMENTATION_DEFECT
