canonical_id,registry_id,module,structure,structure_in_words,source_type,production_writer_or_intake,production_consumer,project_supplied_derived_historical_elicited_or_research_only,production_reachable,real_corpus_populated,parameter_provenance_present,behaviour_when_absent,pass_fail
7.7,B2.7,Plithogenic Sets,plithogenicLabStructure,"a laboratory structure of attributes, their values, appurtenance and contradiction degrees",RESEARCH_ONLY_LAB_STRUCTURE,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.7's runner,research-only,yes,False,no,no operational result at all,PASS
7.8,B2.8,Belief Rule Base,beliefRuleBase,"a belief rule base: the antecedent reference states, the rule and attribute weights, and the belief distribution each rule concludes",EXPERT_ELICITATION,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.8's runner,elicited,yes,False,no,abstains,PASS
7.9,B2.9,Quantum Probability,the assembled governed signals,the project's governed signals,RESEARCH_ONLY_LAB_STRUCTURE,server/app/simulation/signal_package.py build_signals + adapt (the assembled signal package),server/app/simulation/canonical_v5.py via B2.9's runner,research-only,yes,False,no,no operational result at all,PASS
7.10,B2.10,Pythagorean Fuzzy Sets,pythagoreanFuzzyAssessment,an assessment stated as a membership and a non-membership degree whose squares together do not exceed one,EXPERT_ELICITATION,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.10's runner,elicited,yes,False,no,abstains,PASS
7.11,B2.11,Picture Fuzzy Sets,pictureFuzzyAssessment,"an assessment stated as positive, neutral and negative degrees that together do not exceed one",EXPERT_ELICITATION,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.11's runner,elicited,yes,False,no,abstains,PASS
7.12,B2.12,Hesitant Fuzzy Sets,hesitantFuzzyAssessment,an assessment stated as the set of degrees the assessors actually gave,EXPERT_ELICITATION,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.12's runner,elicited,yes,False,no,abstains,PASS
7.13,B2.13,Type-2 Fuzzy Sets,type2FuzzyAssessment,a membership with an explicit lower and upper bound at each point considered,EXPERT_ELICITATION,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.13's runner,elicited,yes,False,no,abstains,PASS
7.14,B2.14,Maximum Entropy,maximumEntropyProblem,"a set of states the project may be in, and the constraints the evidence places on them",PROJECT_DATA_OBJECT,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.14's runner,project supplied,yes,False,no,abstains; infeasible constraints are named,PASS
7.15,B2.15,Possibility Theory,possibilityAssessment,a possibility distribution over the states the project may be in,EXPERT_ELICITATION,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.15's runner,elicited,yes,False,no,abstains,PASS
7.16,B2.16,Spherical Fuzzy Sets,sphericalFuzzyAssessment,"an assessment stated as membership, non-membership and hesitancy degrees whose squares together do not exceed one",EXPERT_ELICITATION,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.16's runner,elicited,yes,False,no,abstains,PASS
7.17,B2.17,Fermatean Fuzzy Sets,fermateanFuzzyAssessment,an assessment stated as a membership and a non-membership degree whose cubes together do not exceed one,EXPERT_ELICITATION,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.17's runner,elicited,yes,False,no,abstains,PASS
7.18,B2.18,MARCOS Ranking,decisionAlternatives,"an explicit decision problem: the alternatives being compared, the criteria they are compared on, and which way each criterion is better",DECISION_ALTERNATIVES_OBJECT,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.18's runner,project supplied,yes,False,no,abstains,PASS
7.19,B2.19,CRITIC-TOPSIS,decisionAlternatives,"an explicit decision problem: the alternatives being compared, the criteria they are compared on, and which way each criterion is better",DECISION_ALTERNATIVES_OBJECT,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.19's runner,project supplied,yes,False,no,abstains,PASS
7.20,B2.20,Hypersoft Sets,hypersoftLabStructure,"a laboratory structure of attributes, the disjoint value sets of each, and a mapping for every combination of those values",RESEARCH_ONLY_LAB_STRUCTURE,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.20's runner,research-only,yes,False,no,no operational result at all,PASS
