module_id,module_name,category,run19_disposition
10.1,Multi-Objective Optimization,10,METHOD_LABEL_MISMATCH
10.2,Linear Programming,10,MISSING_CANONICAL_DATA_STRUCTURE
10.3,Constraint Satisfaction Analysis,10,CORRECT_PROXY_ONLY
10.4,What-If Scenario Matrix,10,METHOD_LABEL_MISMATCH
10.5,Decision Sensitivity Matrix,10,METHOD_LABEL_MISMATCH
10.6,Pareto Frontier Analysis,10,METHOD_LABEL_MISMATCH
10.7,Regret Minimization Index,10,CORRECT_ABSTENTION
9.1,Missing Data Index,9,CORRECT_PROXY_ONLY
9.2,Data Timeliness Score,9,IMPLEMENTATION_DEFECT
9.3,Source Reliability Weighting,9,PARAMETER_PROVENANCE_BLOCKED
9.4,Audit Trail Completeness,9,MISSING_CANONICAL_DATA_STRUCTURE
9.5,Information Completeness Ratio,9,CORRECT_PROXY_ONLY
9.6,Cross-document Consistency Score,9,METHOD_LABEL_MISMATCH
9.7,Reporting Frequency Index,9,IMPLEMENTATION_DEFECT
PH.1,Isolation Forest,PH,METHOD_PASS_CALIBRATION_PENDING
PH.2,Portfolio Outlier Detection,PH,CORRECT_PROXY_ONLY
PH.3,Signal Trajectory Classifier,PH,CORRECT_PROXY_ONLY
PH.4,Cross-project Pattern Detector,PH,OWNER_DECISION_REQUIRED
PH.5,Anomaly Score,PH,IMPLEMENTATION_DEFECT
