consumer_category,module,registry_identity,production_entry_point,actual_runner,raw_input_attempted,category9_assessment_reached,qualified_evidence_constructed,qualification_state,lineage_state,consumer_executed,raw_bypass,ledger_source,ledger_disposition,simulation_version,status
Evidence Combination,B2.14,Maximum Entropy,registry.run_module,app.simulation.models_cat7.run_maximum_entropy,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.15,Possibility Theory,registry.run_module,app.simulation.models_cat7.run_possibility_theory,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.16,Spherical Fuzzy Sets,registry.run_module,app.simulation.models_cat7.run_spherical_fuzzy,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.17,Fermatean Fuzzy Sets,registry.run_module,app.simulation.models_cat7.run_fermatean_fuzzy,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.18,MARCOS Ranking,registry.run_module,app.simulation.models_cat7.run_marcos,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.19,CRITIC-TOPSIS,registry.run_module,app.simulation.models_cat7.run_critic_topsis,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.2,Rough Sets,registry.run_module,app.simulation.models_cat7.run_rough_sets_classification,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.20,Hypersoft Sets,registry.run_module,app.simulation.models_cat7.run_hypersoft_sets,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,CANONICAL_V5_LAYER,DISABLED_NOT_EXECUTED,sim-2026.08-v19,PASS
Evidence Combination,B2.3,Neutrosophic Logic,registry.run_module,app.simulation.models_cat7.run_neutrosophic_logic,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.4,Interval Fuzzy Sets,registry.run_module,app.simulation.models_cat7.run_interval_fuzzy_sets,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.5,Z-numbers,registry.run_module,app.simulation.models_cat7.run_z_numbers,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.6,PLTS,registry.run_module,app.simulation.models_cat7.run_plts,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.7,Plithogenic Sets,registry.run_module,app.simulation.models_cat7.run_plithogenic_sets,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,CANONICAL_V5_LAYER,DISABLED_NOT_EXECUTED,sim-2026.08-v19,PASS
Evidence Combination,B2.8,Belief Rule Base,registry.run_module,app.simulation.models_cat7.run_belief_rule_base,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.9,Quantum Probability,registry.run_module,app.simulation.models_cat7.run_quantum_probability,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,CANONICAL_V5_LAYER,DISABLED_NOT_EXECUTED,sim-2026.08-v19,PASS
Regulatory & Authority Thresholds,B3.1,Agent-Based Governance Model,registry.run_module,app.simulation.models_cat89.run_B3_1,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Regulatory & Authority Thresholds,B3.2,FAR/Agency EVMS Applicability Monitor,registry.run_module,app.simulation.models_cat89.run_B3_2,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Regulatory & Authority Thresholds,B3.3,Versioned A-11 Capital Programming Conformance Check,registry.run_module,app.simulation.models_cat89.run_B3_3,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Regulatory & Authority Thresholds,B3.4,EVMS Reporting Compliance Monitor,registry.run_module,app.simulation.models_cat89.run_B3_4,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Regulatory & Authority Thresholds,B3.5,Contract Modification Governance Check,registry.run_module,app.simulation.models_cat89.run_B3_5,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Decision Optimization,B4.1,Multi-Objective Optimization,registry.run_module,app.simulation.models_gov.run_multi_objective,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,,DISABLED_NOT_EXECUTED,sim-2026.08-v19,PASS
Decision Optimization,B4.2,Linear Programming,registry.run_module,app.simulation.models_gov.run_linear_programming,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,,DISABLED_NOT_EXECUTED,sim-2026.08-v19,PASS
Decision Optimization,B4.3,Constraint Satisfaction Analysis,registry.run_module,app.simulation.models_gov.run_constraint_satisfaction,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_ESTABLISHED_DEPENDENT,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Decision Optimization,B4.4,What-If Scenario Matrix,registry.run_module,app.simulation.models_gov.run_whatif_matrix,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Decision Optimization,B4.5,Decision Sensitivity Matrix,registry.run_module,app.simulation.models_gov.run_decision_sensitivity,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,,DISABLED_NOT_EXECUTED,sim-2026.08-v19,PASS
Decision Optimization,B4.6,Pareto Frontier Analysis,registry.run_module,app.simulation.models_gov.run_pareto_frontier,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,,DISABLED_NOT_EXECUTED,sim-2026.08-v19,PASS
Decision Optimization,B4.7,Regret Minimization Index,registry.run_module,app.simulation.models_gov.run_regret_minimization,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
