project_id,claim_id,notice_id,claim_type,claim_value_usd,submitted_day,current_stage,unresolved_age_days,adjudication_status,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-WTR,PRJ-WTR-CLM-02,PRJ-WTR-CLM-02-N,DELAY,875000.0,91,NOTICE,169,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,89b4c4b1333c44912772cbb11badc1fc9b8e5ed01c16bbbb6ea92b461e150f14
PRJ-WTR,PRJ-WTR-CLM-03,PRJ-WTR-CLM-03-N,PAYMENT,1137500.0,117,CLAIM_SUBMITTED,143,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5a0c8a3f23116033ae954c2d7f1bd0564488df6322289e0249e6b5b81fb0c847
PRJ-WTR,PRJ-WTR-CLM-04,PRJ-WTR-CLM-04-N,DESIGN_CHANGE,1400000.0,143,NEGOTIATION,117,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5802e381952787f44b94943929007933de51821aa1687454484bcbe08aed2c2d
PRJ-WTR,PRJ-WTR-CLM-05,PRJ-WTR-CLM-05-N,DIFFERING_SITE,1662500.0,169,MEDIATION,91,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,172a2eca8b2718c0caf75ef49a2f8ae51dfe77192dffd25dba942d8099bdf883
PRJ-WTR,PRJ-WTR-CLM-06,PRJ-WTR-CLM-06-N,DELAY,1925000.0,195,ADJUDICATION,65,PENDING_DECISION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,032119c2aa63c07a3b8fb4f75285abfcfc21fd772673153aa48d03b211d49102
PRJ-RAL,PRJ-RAL-CLM-01,PRJ-RAL-CLM-01-N,DIFFERING_SITE,1096200.0,78,NOTICE,236,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0132c79ebc233c13a697da595797ded4d389239bef1392e4af86ba24073b37ad
PRJ-RAL,PRJ-RAL-CLM-02,PRJ-RAL-CLM-02-N,DELAY,1566000.0,109,CLAIM_SUBMITTED,205,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c31e0d5a40a98ca2607b5193148f34013d08a74b3fca505858b301ede29a63bc
PRJ-RAL,PRJ-RAL-CLM-03,PRJ-RAL-CLM-03-N,PAYMENT,2035800.0,141,NEGOTIATION,173,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,18c9f992e256e0428c82397abd01c065bbd6601438d25d5ed64f131957dd930e
PRJ-RAL,PRJ-RAL-CLM-04,PRJ-RAL-CLM-04-N,DESIGN_CHANGE,2505600.0,172,MEDIATION,142,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ec491a4fcc3a2cc92b73a753f91444cd85622e7da40c78430e8ede24c8e198e9
PRJ-RAL,PRJ-RAL-CLM-05,PRJ-RAL-CLM-05-N,DIFFERING_SITE,2975400.0,204,ADJUDICATION,110,PENDING_DECISION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,bce9cc0123259be1c3d11eacf100e38eb58d792f54cf49aec20126d32f2b097d
PRJ-RAL,PRJ-RAL-CLM-06,PRJ-RAL-CLM-06-N,DELAY,3445200.0,235,ADJUDICATION,79,PENDING_DECISION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,52a042e2c62ca95fc67f205ba9b6a788109eac4710ad9762f3e7e0fd308a223b
PRJ-DCT,PRJ-DCT-CLM-01,PRJ-DCT-CLM-01-N,DIFFERING_SITE,848400.0,66,NOTICE,201,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,92273ea1c04f0ccbb9df2ae02ef2bda1974d7c9c046f6c5f1361db3c1d43f24d
PRJ-DCT,PRJ-DCT-CLM-02,PRJ-DCT-CLM-02-N,DELAY,1212000.0,93,NOTICE,174,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,85049ba9431d0b72f332f4bd6027e7678980f13c4cf7c73c86bf372bc934d698
PRJ-DCT,PRJ-DCT-CLM-03,PRJ-DCT-CLM-03-N,PAYMENT,1575600.0,120,CLAIM_SUBMITTED,147,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,55e4f108b56d69c7ecd3b0a8e0b793c091311bcb77d051102a110a267436a03a
PRJ-DCT,PRJ-DCT-CLM-04,PRJ-DCT-CLM-04-N,DESIGN_CHANGE,1939200.0,146,NEGOTIATION,121,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2332e745d45a0895df75b86c312d07b763fcf65b7eb4ceda841fa58f1f636004
PRJ-DCT,PRJ-DCT-CLM-05,PRJ-DCT-CLM-05-N,DIFFERING_SITE,2302800.0,173,MEDIATION,94,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,899079b1d0f102869e74284b4cdb708c03c39bbd14dcd3363d97667a2c6b5f7f
PRJ-DCT,PRJ-DCT-CLM-06,PRJ-DCT-CLM-06-N,DELAY,2666400.0,200,ADJUDICATION,67,PENDING_DECISION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f60e700dba2b920bd08257eb45c0141256435dfe037ff5ed7723d4895976b282
