project_id,period_id,applicable_requirements,applicable_requirements_assessed,compliant_requirements,noncompliant_requirements,unassessed_requirements,environmental_compliance_rate,severe_noncompliances,overdue_corrective_actions,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-DCT,P05,7,7,6,1,0,0.85714286,0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a5178f48b2d157bb5327e1b7dbfe105416daec7bcbfd53211cb7917b8554ae0d
PRJ-DCT,P06,7,7,6,1,0,0.85714286,0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e7785dd102f88fb923d52aa35862c3f22bf21a78f4a021e6e627f9d77a212c88
PRJ-HSP,P01,8,8,5,3,0,0.625,1,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,55563c207d1ffc9d747fb4d8557d00ac7b60718cd7d3a611d9fe057f5e3c118e
PRJ-HSP,P02,8,8,7,1,0,0.875,1,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,81642c37c4b9e217b786bfaa3b51aa7cebbe164520872c2efa10f2db8bcc83d6
PRJ-HSP,P03,8,8,8,0,0,1.0,0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,71510d71212d60b62db90e5818b13b5550bb74c86d65a35369ac3268d7d90076
PRJ-HSP,P04,8,8,5,3,0,0.625,1,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5daf17654053fb87f395df20f356993479ffe32735914c5662ba8ed0b78686cb
PRJ-HSP,P05,8,8,8,0,0,1.0,0,6,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2b9e2d34e00a69ae00cf063f5587d3392ac8cfe284dce692f891215cd2322862
PRJ-HSP,P06,8,8,8,0,0,1.0,0,6,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,653aee674c6bb99af94ca42186f5579454758f1a57c5a5f9545d679ffed9978f
PRJ-HWY,P01,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2198c608e546ee65dd4634e2b60f8740dafe0ef717c54a47a48b11db5d958d62
PRJ-HWY,P02,8,7,6,1,1,0.85714286,1,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9bf31bdedb630b85f92a97542fd7948b3e058e4679cd37d4529051f13e265ce7
PRJ-HWY,P03,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d5d173f14f99bb1b92d348c348933b04e4753e2ed1d4e7fc723c7733d395a99b
PRJ-HWY,P04,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,491a7db74017f9265206423bf141c5b09c01443e66855a6f472883e24734ecea
PRJ-HWY,P05,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d887b82e2787afb72391a269fbca097401f9c3094c56b2fe09eb4ea0319fb97e
PRJ-HWY,P06,8,8,6,2,0,0.75,1,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ccb14e20a4fcdf8886889270bd68392b2244dfac4839d1b426560943da301bae
PRJ-RAL,P01,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8f1f290dbbac2b61e8dce8d496a63331da565444309ee4d19c212f0ae0bd3930
PRJ-RAL,P02,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4444d5ae018309461b220a23614cba70ccf4b7272e54031653c700cc931947cb
PRJ-RAL,P03,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f76bb4d0618ee13c6c5da9ed1b07f06a06350380151e0fc1816b683ed1a80904
PRJ-RAL,P04,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,88eec43498fae8a12c7a6d175acc692ca34750acae51f3af329d744f8289e7c0
PRJ-RAL,P05,8,8,6,2,0,0.75,1,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0132de509c3b488f427c3adbd5df819f5b71c8878eb4dbd4a6012560fc9e9222
PRJ-RAL,P06,8,8,8,0,0,1.0,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,78e45c9afbd4e92116bd715a1ba9bebfa04b8425228ac56542a35ae8d46ec930
PRJ-WTR,P01,8,7,7,0,1,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e24d88e2e8acee63b04826fe759be37a8cf980d3d6f0055fcaaa83608c874ea9
PRJ-WTR,P02,8,7,6,1,1,0.85714286,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7ea8b677b24a2c24cca7a3be55dfa08b6ab493588e1c61bd7c2e9286d672cb8d
PRJ-WTR,P03,8,7,7,0,1,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,51c6bfe95e37dfc989f9046843909b040bcfea027b56450a8f811c32e9fb60b3
PRJ-WTR,P04,8,8,6,2,0,0.75,1,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b4b22010974da60661e43e120f527254072e1aeb9dfea8707179dee31ced328f
PRJ-WTR,P05,8,8,8,0,0,1.0,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,efe70f8a941a3c281b88491e05a25d7502dc73459f78401004450d46193a9d02
PRJ-WTR,P06,8,8,7,1,0,0.875,1,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4c26c888e02ad4c44bc72c947d48d3846b3a2fcea774d07296d8b8a2626dfc26
