project_id,cost_element_id,cost_element_name,low_cost_usd,most_likely_cost_usd,high_cost_usd,correlation_group,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-HWY,PRJ-HWY-CE-01,DESIGN,32342124.72,33947858.42,36867374.24,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f9d44be734276c30359563fc43aabdcb10181d5ce46da0c3fc3a2a345072b413
PRJ-HWY,PRJ-HWY-CE-02,GENERAL_CONDITIONS,10685381.57,11346906.21,12549678.26,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,336209a2533461a536f9469dd996e6747967204a16138a7471b50811a17a44c5
PRJ-HWY,PRJ-HWY-CE-03,CIVIL,9877123.38,10612574.81,11949759.24,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,96ca75fa34b01a6aefa2ec04d5fe973f49ba5ee3ba6034b99cce09095e07956e
PRJ-HWY,PRJ-HWY-CE-04,STRUCTURE,4909557.63,5338216.4,6117596.0,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ae1b769a5e7cb50d6c92e52ea7617509b8bb6899792886ccd066d6ab946bdf89
PRJ-HWY,PRJ-HWY-CE-05,ENVELOPE,27553422.74,28921405.2,31408646.05,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,11e54fded6e28e4e4ebdf32a0905c3718dcd6d92788f836c31ca3a092f048204
PRJ-HWY,PRJ-HWY-CE-06,MEP,14925048.38,15849047.87,17529046.94,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,46ab9f01a0b75370c96fb54e6f7d0f17b67f644d8650cfc2ce8581a5bdcbf3c8
PRJ-HWY,PRJ-HWY-CE-07,SYSTEMS,12921687.79,13883837.75,15633201.3,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c9ab0c8747ea9c074846edf5c7c481d9edd949106fb00946d95cc4502d4fbf4a
PRJ-HWY,PRJ-HWY-CE-08,PROCUREMENT,41701991.32,45343037.21,51963120.64,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e0822ee0b8bbe5f1f72ed5eef67f887246cd3539934627554577cc5e4cf2f95d
PRJ-HWY,PRJ-HWY-CE-09,COMMISSIONING,16883111.67,17721330.61,19245365.04,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,42f76e76ec8211237a6f7fa25651af32fe711c64dad4c05fc75a9ae610ef6e55
PRJ-HWY,PRJ-HWY-CE-10,CONTINGENCY,25459599.23,27035785.53,29901578.8,CG-4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,bc985af10131ee5da749c20f0b9a8fc6aee3db23210b6aea4129188bf18d5470
PRJ-HSP,PRJ-HSP-CE-01,DESIGN,25675228.14,27161649.4,29864233.51,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b9fcd07bdbba7a6834005c1398de5efd9bdc873ddfd29b4d44baeb82cb0b141f
PRJ-HSP,PRJ-HSP-CE-02,GENERAL_CONDITIONS,63365601.22,67823286.74,75928169.5,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ddd7a44f6d8909ea00d428b6a5672639fbaca3ebfc3e6822d12a3131eb2fe1fd
PRJ-HSP,PRJ-HSP-CE-03,CIVIL,53974617.52,58459957.78,66615121.89,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,bd0b91a2dbafed9d56b5795dcb0820ac81e68c7b62899b161723a4a746392e1f
PRJ-HSP,PRJ-HSP-CE-04,STRUCTURE,6624149.04,7261131.83,8419282.36,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ecfd9655b15ecf569cc4c1034a687aeeac31ac04e1e84bfb966963ee8c6fcea7
PRJ-HSP,PRJ-HSP-CE-05,ENVELOPE,42550769.58,45014170.04,49493079.96,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,753416c7ed4306db3b8b085aaa5e7480c1fad56b93445994bbf70e1d0be17580
PRJ-HSP,PRJ-HSP-CE-06,MEP,123293530.57,131967065.98,147737130.37,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a50af46e8b4ba474ed67ccda3b6b62f35436a4d32ef316a36cf2245e18f68838
PRJ-HSP,PRJ-HSP-CE-07,SYSTEMS,22677210.87,24561707.91,27988066.16,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,623e353f5f72187fcc48c3bc60f88f172aef2a5bf3831c9fc84b7421d0dfbf59
PRJ-HSP,PRJ-HSP-CE-08,PROCUREMENT,40282592.96,44156195.18,51199108.31,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c8112c0758a65c8e49d703c507cb5280484ec54ea4b0ba0f5ff04e93df60ec25
PRJ-HSP,PRJ-HSP-CE-09,COMMISSIONING,45661125.65,48304594.59,53110901.76,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f6874d030493a93cad815f2ed60daf269b4ce559650f39fb44723b6e5ae64b4a
PRJ-HSP,PRJ-HSP-CE-10,CONTINGENCY,4942539.5,5290240.56,5922424.3,CG-4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d8e1c1bf3e387be4f78c9e09a375c8050f9e28352eb188d796d46ab4accd87c0
PRJ-WTR,PRJ-WTR-CE-01,DESIGN,9767563.12,10217116.24,11034485.54,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,35d4ac0cd7872bad10732028f200178c9025797810ad74a473c0df150ef1a2b2
PRJ-WTR,PRJ-WTR-CE-02,GENERAL_CONDITIONS,19411429.08,20541194.8,22595314.28,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,419db6a9a5555030d3396b3415e096bc35fb8dae103a92c044a13f9fac12ee66
PRJ-WTR,PRJ-WTR-CE-03,CIVIL,6204525.14,6642960.53,7440115.8,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,38350c2ec581e9238d010188f48692cdc5b2ab8771c62e8047966565be62b9dc
PRJ-WTR,PRJ-WTR-CE-04,STRUCTURE,8828077.36,9564547.52,10903584.17,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6ea1b027891b0e8a78030dc485f6438488f1861ad68b6a56ea67c1dabfa4b57a
PRJ-WTR,PRJ-WTR-CE-05,ENVELOPE,1157696.61,1210979.71,1307858.09,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9d17728c321528575d2fe4e0e005eeec6f8be84fa383a9b82178466ef3a32be7
PRJ-WTR,PRJ-WTR-CE-06,MEP,10319513.0,10920119.58,12012131.54,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6dc51d70da519e86775c07f118740ab388f445e42235086917177bb698d10798
PRJ-WTR,PRJ-WTR-CE-07,SYSTEMS,11066340.35,11848330.14,13270129.76,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fe52c56e382792bcfe2b5c449c304af6147ebd97d693872dc559566417a165a6
PRJ-WTR,PRJ-WTR-CE-08,PROCUREMENT,33121635.84,35884762.56,40908629.31,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,867576c98671a8a080b43c0ca0e31813c0ab6b507d121284c3e1e2d3f325f231
PRJ-WTR,PRJ-WTR-CE-09,COMMISSIONING,32813262.53,34323496.37,37069376.08,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1e17421ac7248244e0e347b89dc2ec05c984c5d6a8848ef694f6c04749e3d434
PRJ-WTR,PRJ-WTR-CE-10,CONTINGENCY,31984935.46,33846492.55,37231141.81,CG-4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6451fc29fad25ece2d50de4ba0e309b339f5e208765d5c1b4a94c6a08dfceda9
PRJ-RAL,PRJ-RAL-CE-01,DESIGN,9708913.74,10226367.96,11167193.81,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7b7fa2af3f5bc20b781cc885a5bad7fcba1dd1af69caba87378763b8743d1b6d
PRJ-RAL,PRJ-RAL-CE-02,GENERAL_CONDITIONS,8720106.59,9292526.21,10333289.14,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,87b9a3a54b6dd5114ae8e0e20bebe0cbd9294d66579053dce306d95131830241
PRJ-RAL,PRJ-RAL-CE-03,CIVIL,49117955.96,52963075.22,59954201.15,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,329ff4eb08a0dbbd8a795c736d88a2cffad1005bd41017de3feb94df16ab43ed
PRJ-RAL,PRJ-RAL-CE-04,STRUCTURE,64567790.18,70458086.19,81167715.29,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fd9e2a727cd89d4cbee0d80c0d3ec9230b458cded56d167958e390096e03b33f
PRJ-RAL,PRJ-RAL-CE-05,ENVELOPE,26429916.87,27838547.36,30399693.72,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,34a400d309611b8c137d7f7337e9ba9d2eef5744dcbc93b410bf3de90d0b9269
PRJ-RAL,PRJ-RAL-CE-06,MEP,6373369.81,6791741.06,7552416.06,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1daf60c362040e6700027cc75beee431d86fa9a9aa21afaab242b0abafefe42d
PRJ-RAL,PRJ-RAL-CE-07,SYSTEMS,38259593.91,41254683.97,46700302.25,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4c0ab95dc2e9d05ab54e7b2cb289fbac43b670bf6be3d42b8e04c643aaf15e7c
PRJ-RAL,PRJ-RAL-CE-08,PROCUREMENT,20972402.38,22885642.05,26364259.64,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,970b32f5fa0b0fbd08e7e701c400119580c72fd7d590db3e29e4e2a3bb2c4a7f
PRJ-RAL,PRJ-RAL-CE-09,COMMISSIONING,10171414.86,10713518.92,11699162.66,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ba00aecfa7be68789caca096bb6ffc1f4c0e3b94acfa2047f11250d5e85349bb
PRJ-RAL,PRJ-RAL-CE-10,CONTINGENCY,35261141.1,37575811.07,41784301.9,CG-4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9cd51967baa1ff499bbb4d84e9a9ce192935144da4a1b9c265f578e4a7799314
PRJ-DCT,PRJ-DCT-CE-01,DESIGN,20054561.56,20995693.53,22706842.55,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e41070ad61abd52b97996375afe450c74fcc7af0e28be9433521a48cb72e4f6f
PRJ-DCT,PRJ-DCT-CE-02,GENERAL_CONDITIONS,43791788.44,46381008.22,51088680.56,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,32aac83467094e8bf18786d51af76a2218e41e1c89f2e6ada8d9224b7e0cea40
PRJ-DCT,PRJ-DCT-CE-03,CIVIL,3146910.96,3372262.39,3781992.27,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e5e92af7fbbde06658ba51a720c58229a995afe861babe81aff7e713c6b0c4db
PRJ-DCT,PRJ-DCT-CE-04,STRUCTURE,46628370.47,50563472.73,57718204.12,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,79932d42ede16d560f06c53fd042b6b95619422e299ff58f77d58865f9f2a2d5
PRJ-DCT,PRJ-DCT-CE-05,ENVELOPE,22766553.43,23834955.3,25777504.16,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b4b86e8005266ea0823ac07caca981a2097f455014f21416aaf0ad1559cf675d
PRJ-DCT,PRJ-DCT-CE-06,MEP,38252326.21,40514021.45,44626194.63,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b7741bab314061cc210c48eb0f1fe5ccfa0412315f1b99eb9d21d02b22896b45
PRJ-DCT,PRJ-DCT-CE-07,SYSTEMS,7439629.15,7972383.69,8941028.31,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,40da5ecf8dd01b06c990cd8cf2001bd08b4b205b34c5c3143aacf3fda67abbd3
PRJ-DCT,PRJ-DCT-CE-08,PROCUREMENT,5162812.97,5598517.6,6390707.84,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9868dc441dc6f2f92f23d4853b5b3a29d2112ac05577c6a6a1ac03b02d0f5bf3
PRJ-DCT,PRJ-DCT-CE-09,COMMISSIONING,22368990.03,23418734.82,25327361.71,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,acd0e0a042794bdd9622cac9fe22d4262ab253a819855370beb30b3517d95252
PRJ-DCT,PRJ-DCT-CE-10,CONTINGENCY,16380445.12,17348950.26,19109868.72,CG-4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,afa3da459c86d5ed8316992c8ae7eb677cb39fb61d4333ea7d68bd2c8e50e5bb
