project_id,period_id,violation_id,assessment_id,requirement_id,severity,identified_date,corrective_due_date,corrective_close_date,status,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-DCT,P05,PRJ-DCT-ENV-03-P05-V,PRJ-DCT-ENV-03-P05,PRJ-DCT-ENV-03,MEDIUM,2026-11-23,2026-12-23,2026-12-23,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1e259a1c96dd7363e69a0c6942a64b5d8c6c55fe0299bbcf7e09c22178bf8074
PRJ-DCT,P06,PRJ-DCT-ENV-04-P06-V,PRJ-DCT-ENV-04-P06,PRJ-DCT-ENV-04,MEDIUM,2027-01-07,2027-02-06,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fb2538336714024ae173cad60f59ec89b3801ec72a8475dfc654824d5551f30a
PRJ-HSP,P01,PRJ-HSP-ENV-02-P01-V,PRJ-HSP-ENV-02-P01,PRJ-HSP-ENV-02,HIGH,2026-04-09,2026-05-09,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ec5b3dc02c05ecba230717489ce9510c91686932dc08d9c3e0d956e61d2c006a
PRJ-HSP,P01,PRJ-HSP-ENV-03-P01-V,PRJ-HSP-ENV-03-P01,PRJ-HSP-ENV-03,MEDIUM,2026-04-09,2026-05-09,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2278b09699dfe049d4d755624d3b70d2fc751b03d7c4bfd150583daafda4ae2f
PRJ-HSP,P01,PRJ-HSP-ENV-04-P01-V,PRJ-HSP-ENV-04-P01,PRJ-HSP-ENV-04,MEDIUM,2026-04-09,2026-05-09,2026-04-18,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5199908d99beca5760242c25f6ebe8c46452f4d082ba89bd20a8bbbe12244697
PRJ-HSP,P02,PRJ-HSP-ENV-08-P02-V,PRJ-HSP-ENV-08-P02,PRJ-HSP-ENV-08,CRITICAL,2026-06-05,2026-06-19,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,21499a6d3e2aca3c94e36e0099833f45c353f052ebe2fcff9e8e4c70bdd66532
PRJ-HSP,P04,PRJ-HSP-ENV-03-P04-V,PRJ-HSP-ENV-03-P04,PRJ-HSP-ENV-03,MEDIUM,2026-09-27,2026-10-27,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3cd3786f243f8132613ecc7f47d94df3385331f0b86e66587c59664f2712ad30
PRJ-HSP,P04,PRJ-HSP-ENV-04-P04-V,PRJ-HSP-ENV-04-P04,PRJ-HSP-ENV-04,MEDIUM,2026-09-27,2026-10-27,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ceed1c6715d4e180af5f6fcd4ecf220ca1a2e3eb9f43fc74599fa581759eef83
PRJ-HSP,P04,PRJ-HSP-ENV-08-P04-V,PRJ-HSP-ENV-08-P04,PRJ-HSP-ENV-08,CRITICAL,2026-09-27,2026-10-11,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,324b2c0c5a8d943a898c81d85e292ade4bcde1fa9e5b11c26cbe53474a0ebbb4
PRJ-HWY,P02,PRJ-HWY-ENV-06-P02-V,PRJ-HWY-ENV-06-P02,PRJ-HWY-ENV-06,CRITICAL,2026-05-03,2026-05-17,2026-05-18,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,49d884d7df3c999e7ebea74ece5974dea03e61e2d7057ee03c0c0a50184d6d4b
PRJ-HWY,P06,PRJ-HWY-ENV-03-P06-V,PRJ-HWY-ENV-03-P06,PRJ-HWY-ENV-03,MEDIUM,2026-11-24,2026-12-24,2026-12-05,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,635fccce544934d95dc30f7b7bec303d902347849b786d7faee1170f382af835
PRJ-HWY,P06,PRJ-HWY-ENV-07-P06-V,PRJ-HWY-ENV-07-P06,PRJ-HWY-ENV-07,HIGH,2026-11-24,2026-12-24,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,da45442a661d32640cf2f529cba1458016a709f49fffc55d7fe93ad33f671517
PRJ-RAL,P05,PRJ-RAL-ENV-04-P05-V,PRJ-RAL-ENV-04-P05,PRJ-RAL-ENV-04,MEDIUM,2026-12-11,2027-01-10,2027-01-10,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,67ba0617865948d60b55b024a2a1be9407c2cfff911e4d79506676d5674ade3c
PRJ-RAL,P05,PRJ-RAL-ENV-06-P05-V,PRJ-RAL-ENV-06-P05,PRJ-RAL-ENV-06,CRITICAL,2026-12-11,2026-12-25,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d6520feb199285bf6cfa642480954902c9d839fc700492db7b5be0aeaf71d072
PRJ-WTR,P02,PRJ-WTR-ENV-04-P02-V,PRJ-WTR-ENV-04-P02,PRJ-WTR-ENV-04,MEDIUM,2026-05-29,2026-06-28,2026-06-16,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c223035d33701a4ec6bdb4e376d1a2fe31f3728bd9ca5b38e68bd58539c99f38
PRJ-WTR,P04,PRJ-WTR-ENV-03-P04-V,PRJ-WTR-ENV-03-P04,PRJ-WTR-ENV-03,MEDIUM,2026-08-24,2026-09-23,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6d1f3bac70baef27e1a2a07fb37974e952d61f60c771b278c8c5cab4ce4ff32d
PRJ-WTR,P04,PRJ-WTR-ENV-07-P04-V,PRJ-WTR-ENV-07-P04,PRJ-WTR-ENV-07,HIGH,2026-08-24,2026-09-23,2026-09-03,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c8c25553c899780e9b33445092c4bba3803535dae09a76f25e33e621069127f1
PRJ-WTR,P06,PRJ-WTR-ENV-01-P06-V,PRJ-WTR-ENV-01-P06,PRJ-WTR-ENV-01,HIGH,2026-11-19,2026-12-19,2026-12-22,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9197147fd8960ac5d77f274e61eab63fd2f1a241644b8059fed05aacc18c07f9
