project_id,period_id,ncr_issued_to_date,ncr_closed_to_date,ncr_open_at_cutoff,ncr_overdue_at_cutoff,cumulative_inspections,ncr_incidence_per_100_inspections,closure_ratio,open_ratio,overdue_open_ratio,mean_open_age_days,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-DCT,P05,10,7,3,1,142,7.04225352,0.7,0.3,0.33333333,21.66666667,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,dac43c5d2b52d2ae1fa569026b36ea48de0349111146551c2252c1ae90ab0886
PRJ-DCT,P06,12,10,2,2,181,6.62983425,0.83333333,0.16666667,1.0,76.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,55ef05cfa398a3376a0f54085aa9f159d1ee477f1be8f7593427c610ba24bf17
PRJ-HSP,P01,2,1,1,0,25,8.0,0.5,0.5,0.0,9.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,222042afd419de05c74fafc6ecd6b945f102664c8c53cfba88e8446b9d7abb92
PRJ-HSP,P02,3,2,1,0,51,5.88235294,0.66666667,0.33333333,0.0,11.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4cec7bcd6ed24bd734d689167aa591820d1504d85ae3d704bebc3b4e6273445e
PRJ-HSP,P03,3,3,0,0,79,3.79746835,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2bc2e4164053f06ad1741631cee33010023e72e94bf5c54e99d42dd76fd5cc40
PRJ-HSP,P04,5,4,1,0,110,4.54545455,0.8,0.2,0.0,10.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,53dccb1d39dd8c8c36503c0e9bb8042507611844c04dab8c4b03e6d2559331f0
PRJ-HSP,P05,9,6,3,2,145,6.20689655,0.66666667,0.33333333,0.66666667,12.33333333,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8eb12d0b06220c3407515b37f15e93921763ee51693b4568b7af58c2cf836887
PRJ-HSP,P06,12,8,4,2,185,6.48648649,0.66666667,0.33333333,0.5,38.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3f077172c41488495021762b036df42eb731dfaf62fc4a6628a038723f7e6d3b
PRJ-HWY,P01,1,0,1,0,25,4.0,0.0,1.0,0.0,9.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,92910020f687bbfd5749ec8d41b9192632f919e893bcddaad3da763d67af4057
PRJ-HWY,P02,2,1,1,0,52,3.84615385,0.5,0.5,0.0,9.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,562d894cea23197ba59cc618847ed2a78c8c7d4a43a105f0f4c190be499ea336
PRJ-HWY,P03,7,2,5,0,81,8.64197531,0.28571429,0.71428571,0.0,8.8,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ae95ca0537d1d80070344604c174b7b35044cf8ef4c8eed3236075d3a089f883
PRJ-HWY,P04,7,7,0,0,111,6.30630631,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,66fa7eed1c3bcbecb9a0af08a71fe910c9836e3ebb44286ec3f54c06349c06dc
PRJ-HWY,P05,15,11,4,0,144,10.41666667,0.73333333,0.26666667,0.0,6.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,59253f61329a52d41a1a147fcc685062c3ee41e2b1364b097682c4ef75f0d6fd
PRJ-HWY,P06,16,13,3,2,182,8.79120879,0.8125,0.1875,0.66666667,41.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0bdc90ccfc45c80c010af94a5248197a7436904238d314a6b63274b5138aec47
PRJ-RAL,P01,1,0,1,0,24,4.16666667,0.0,1.0,0.0,15.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c94cd3596f12f814c1664d48129f235e496f155a2d4e4fe83e90dbf1161e9268
PRJ-RAL,P02,2,2,0,0,48,4.16666667,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,89bd5228f940db14e297004a79a0dc9f967b487d820e99d501bb036269989916
PRJ-RAL,P03,2,2,0,0,79,2.53164557,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c4f04a2828c08c67244750a42972bdf367010cf4234c4aa49f105234c7129639
PRJ-RAL,P04,4,3,1,0,109,3.66972477,0.75,0.25,0.0,12.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,33bb389a0fd4b564f816549bfb0cc4ecc879f74d533adf7919eea10071dd9bbe
PRJ-RAL,P05,6,4,2,0,143,4.1958042,0.66666667,0.33333333,0.0,4.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8ca1aad6bb14738c2e3a8e2e3ef085f2c71a45fea7b573ca3f2d2f4b03d89dd6
PRJ-RAL,P06,13,9,4,0,180,7.22222222,0.69230769,0.30769231,0.0,9.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b600b62cd7ea1b3c5b654735b1a6f3a95e64cbf754992ffe953385221ec1ccd7
PRJ-WTR,P01,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,764e9168d5aa6fbcff61c2d01bced5749e65ea0ce290bef91611089f7f3d5ae9
PRJ-WTR,P02,1,0,1,0,49,2.04081633,0.0,1.0,0.0,17.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1d474367364e3f7db92f9d519072e3f799744a4b59abf37f872359c26a5cd8a8
PRJ-WTR,P03,3,2,1,0,76,3.94736842,0.66666667,0.33333333,0.0,10.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,95a5ff1ac097b9841c3f0e1c4b0aa0985cf7a41398765ecc93f45093cdee2559
PRJ-WTR,P04,5,4,1,0,106,4.71698113,0.8,0.2,0.0,8.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cdbf277b53b00fcc5e7677ac452dcc52b327a2440650c91783177de34290f52d
PRJ-WTR,P05,8,5,3,0,142,5.63380282,0.625,0.375,0.0,7.33333333,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,537ff99defb423529f7cd90436b292c2abc6baf41cd2e97c01cdfffec7a40686
PRJ-WTR,P06,10,8,2,1,182,5.49450549,0.8,0.2,0.5,30.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5ba41cc299a35e2b6406458fda4b39810eb432387f770e726cc6fa4278bd5e46
