project_id,claim_id,ground_truth_stage_index,ground_truth_escalation_severity,direct_dispute_evidence_present,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-HWY,PRJ-HWY-CLM-06,4,0.76864,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,81682ef285b98a785b55d10b94b75ef8cb32dfd0d8703f701f1fb5e13b21d69f
PRJ-HSP,PRJ-HSP-CLM-01,0,0.02373,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7d724ddf7f2c49b56c2d84885f5e32da662bc0beec54a4430a7cbbeb2287236d
PRJ-HSP,PRJ-HSP-CLM-02,1,0.2089,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,517354d15e9c91d232a2f8242c117b5a4a9e3745c94e54d36bd5ccf78ad1d9ad
PRJ-HSP,PRJ-HSP-CLM-03,2,0.39407,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,45a77775597a4d872a1ce8d76ded227b560ac93cd28e3ad0ca03cd0c652e1eb2
PRJ-HSP,PRJ-HSP-CLM-04,3,0.57924,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,21cd5c411c3bc7ec1d906f777473ff3593583084f45e1a02b6ab9ca38659c753
PRJ-HSP,PRJ-HSP-CLM-05,4,0.76441,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e246b7bb5058a139f3821b06f44ed778189122844b4a69bdb16c90e7e37a2bce
PRJ-HSP,PRJ-HSP-CLM-06,4,0.77458,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,eea98c223204087cfdab0f5023bc0fbdada1d3b6dcb95d9a80dbd8901d08f051
PRJ-WTR,PRJ-WTR-CLM-01,0,0.021,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,49c99fbce12bd2e167c07af188e0ca71dc986d957e89160ef9db909fbd08d9e6
PRJ-WTR,PRJ-WTR-CLM-02,0,0.03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,eff8d6de321e802ac4cc2b021cdea644ca55893a0a48d9a37acc0d827b5d9162
PRJ-WTR,PRJ-WTR-CLM-03,1,0.214,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,077f054a7eac9549a4392ca6a431e1139988342dd549462f46da274a6d21fdbe
PRJ-WTR,PRJ-WTR-CLM-04,2,0.398,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8fc145bf3b8e264dbd7963b0c9070e6cefb9d3d34e4ed5d07f8c89619dbdc340
PRJ-WTR,PRJ-WTR-CLM-05,3,0.582,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7ed661c5464261796768f99eb2d65b872f68223b7e64509799d37736a7a87c39
PRJ-WTR,PRJ-WTR-CLM-06,4,0.766,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d9f05269dd41b159cf2ee02ce397c96c6b75c83f9a0742c8dc3cc1f0a48fe9f6
PRJ-RAL,PRJ-RAL-CLM-01,0,0.02268,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5690983f792507a143ec1fa276a878cde23aa7550b93dce4da144bdb1f000fa3
PRJ-RAL,PRJ-RAL-CLM-02,1,0.2074,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e9932527828dbdca066f8b46a3a6bc46e74063e5bb16aff3de6b7d4757221a09
PRJ-RAL,PRJ-RAL-CLM-03,2,0.39212,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a979e680fbf26088ed92d455f72392f24efb1d702ef4d35f95912995fd113cdd
PRJ-RAL,PRJ-RAL-CLM-04,3,0.57684,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c4f0b9aa9764d1a96406e7e016ddf55cee413a859534a67ab14079c81dc9beec
PRJ-RAL,PRJ-RAL-CLM-05,4,0.76156,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7fbb4708da512df9406556412720bfe0e4e06fb65376e040d13919ad4c3acc09
PRJ-RAL,PRJ-RAL-CLM-06,4,0.77128,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2a7ac79dbcd2329f391bbdac081ec9ba3a863bc80650afa1098db8031d4d0c5a
PRJ-DCT,PRJ-DCT-CLM-01,0,0.02121,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a28fc7fa07086755272cbcaaf069c445126cd17850fb28d7f16828de572cb0a1
PRJ-DCT,PRJ-DCT-CLM-02,0,0.0303,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,37be3f23cdaf1fff5d593f127532cf83584365f66c99044d0d7ae37fe9011a33
PRJ-DCT,PRJ-DCT-CLM-03,1,0.21439,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,78faf01ac24805e12a34297288b212e78bf4798209ce3a6e6f8a54cec220ccf3
PRJ-DCT,PRJ-DCT-CLM-04,2,0.39848,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6b1b719f10defb7d1defadba631d6c45d6850697d76c193753e1f6ebede5990e
PRJ-DCT,PRJ-DCT-CLM-05,3,0.58257,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9d9238594cc50595e9b58976412d174be6457ee135add5cb96b93cf3018e8af3
PRJ-DCT,PRJ-DCT-CLM-06,4,0.76666,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f411aa52706b28d40312b0ff3652f2d638712053767b8649cfecd7789c4c9d74
