project_id,period_id,audit_id,audit_date,inspections_completed,work_packages_audited,total_findings,critical_findings,new_ncr_count,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-DCT,P06,PRJ-DCT-P06-QA,2027-01-07,39,13,2,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cc7e4be2b825c64695403f82810628244b4992d3b3fe157ac2118ab8554a6b40
PRJ-HSP,P01,PRJ-HSP-P01-QA,2026-04-09,25,8,2,1,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,01cc40b8e7e9b083c42e18ecf1a75d70a7d524f186ad4a2306750ed765141711
PRJ-HSP,P02,PRJ-HSP-P02-QA,2026-06-05,26,8,3,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,19fefc96845a88cb0908ddebaca70a00eac833ec7b05478c86d0b9643ca73b6a
PRJ-HSP,P03,PRJ-HSP-P03-QA,2026-08-01,28,9,0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,38e8d9ee57b1966ff401406dba8f21be4d940d9af892130cf8a5519c23ae2217
PRJ-HSP,P04,PRJ-HSP-P04-QA,2026-09-27,31,10,3,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,52aadc114c29380b9eb8b1c84c7f83f1aa48b129a44509f243fdbf95d836a885
PRJ-HSP,P05,PRJ-HSP-P05-QA,2026-11-23,35,11,6,2,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,20b49d61cfe9701532314ac6e6d0796ae977ed8e1c132474e21d4c0a2e1b8f93
PRJ-HSP,P06,PRJ-HSP-P06-QA,2027-01-20,40,13,5,0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,51abec2868f03a88531611aca3b61679b55d8fd83d15eaab874aaad14a4ad939
PRJ-HWY,P01,PRJ-HWY-P01-QA,2026-03-13,25,8,3,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8c19d54e8c0fbd1562fff3ea5a2a4a62995fa59d7b28993de87b231705fa31d4
PRJ-HWY,P02,PRJ-HWY-P02-QA,2026-05-03,27,9,1,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,df4b04d7412346e75a779f8cb56bef2241c7718ebc363025ec55bbbe562d9c74
PRJ-HWY,P03,PRJ-HWY-P03-QA,2026-06-23,29,9,6,0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7ad476872904311e87c0403f4f3f853e33df84b5c69c10a635789e423a37fc89
PRJ-HWY,P04,PRJ-HWY-P04-QA,2026-08-13,30,10,1,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ec082ba079c934858e0fab808e4794ef8957a1e4ca8fbff9a079a1c9aba4d59a
PRJ-HWY,P05,PRJ-HWY-P05-QA,2026-10-03,33,11,9,0,8,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e284da33b686d4468d23cf9280db6485436fe02fc17544b5673f7234325aef11
PRJ-HWY,P06,PRJ-HWY-P06-QA,2026-11-24,38,12,2,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cd4e1fe9d5554d50a94511cab0698f7c60903567012fa00d66040e56fcfd1edc
PRJ-RAL,P01,PRJ-RAL-P01-QA,2026-05-16,24,8,2,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,afb181c446084ff6bc27e9bcd4931f521201556d4ac2d563f7dc96a6a74c5c73
PRJ-RAL,P02,PRJ-RAL-P02-QA,2026-07-07,24,8,3,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,20059eff46fd37b0a90f601c130fbb87cebb67ee21b66898eca9e60e60dde18f
PRJ-RAL,P03,PRJ-RAL-P03-QA,2026-08-29,31,10,2,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,76ffdfe23c9a7b3dfb74c4ef1f7e6a0d45bcfdc629d7042febb68104356c8ec4
PRJ-RAL,P04,PRJ-RAL-P04-QA,2026-10-20,30,10,4,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4bc3b56e95868639a62c7e6f5bc85d94cd79bec19baed238f62f58b9a5d96ab8
PRJ-RAL,P05,PRJ-RAL-P05-QA,2026-12-11,34,11,4,1,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,be0e502dfd4d97527faf27150cf50484a9b8aca14ac622eb722479abb44f2ea2
PRJ-RAL,P06,PRJ-RAL-P06-QA,2027-02-02,37,12,8,0,7,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c86af68c535ee24701f788e81463d849e8aba84b074bdb814b91ab66c0cbd8bd
PRJ-WTR,P01,PRJ-WTR-P01-QA,2026-04-16,21,7,0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9332b12ed0eedd5019a7d5666a70c1098925ca0d3b702e28f985ea40df3f7edb
PRJ-WTR,P02,PRJ-WTR-P02-QA,2026-05-29,28,9,3,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3f49c278c9e2e6274a03bdba7c1f3097dcc67028dca0fbffd1f37681a54be1d0
PRJ-WTR,P03,PRJ-WTR-P03-QA,2026-07-12,27,9,3,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a5d9c318e18d9e4e5e5fc593cf634da9f9b95e0b6d9befbf323f67b2e4a6283b
PRJ-WTR,P04,PRJ-WTR-P04-QA,2026-08-24,30,10,3,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,85b98d28471ff98fac5784fd6205557ded7021263770e3ee0f9dcae54420ace8
PRJ-WTR,P05,PRJ-WTR-P05-QA,2026-10-06,36,12,3,0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a146996aa72638c621b8c7666b4b39a2aaa92c40a30a8195a925856fcc00f596
PRJ-WTR,P06,PRJ-WTR-P06-QA,2026-11-19,40,13,4,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a7c6c33a7784e6835ea7363d878dcd9f90df05d6b182888a5f15174e4e06ac6e
