literature_module_id,code_module_id,module_name,category_number,category_name,synthetic_package,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
4.5,A4.5,Weather Day Impact,4,Document & Risk Signals,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6b7c3eed4d15f82c583b892dc1a25af5effa7dd55e7ab0741ed89515f5eaf60c
4.7,A4.7,Dispute Escalation Index,4,Document & Risk Signals,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,eb0dfbc9039d8c056b2e69fa57445535fd668612fb0240375acb50f97ef6a547
5.1,A5.1,DSM Rework Propagation,5,System Dynamics & Complexity,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,73dd662a02fe010871e4d05f60553c74ec73595d9dc4f28aa7b26312d52a1197
5.5,A5.5,Rework Feedback Loop,5,System Dynamics & Complexity,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5386652d77a653af78709ff3c49569c9e9390e4db8d461741a1a05e5a9d4bea8
5.6,A5.6,Queueing Theory Bottleneck,5,System Dynamics & Complexity,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9c45735c3bc1eb856d0231867f487b7b0c2bd859394063dc9ff0953a6a7c341f
5.7,A5.7,Agent-Based Supply Chain,5,System Dynamics & Complexity,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,27c85899ed2cacddc740f0909061078ca417558e11888558bbab798c1ca62fc9
5.8,A5.8,Discrete Event Simulation,5,System Dynamics & Complexity,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6b605f2ecde2047b999ce2a15a2b6c456233c69dfac1bdb07a8d042c41d2a7c2
7.12,B2.12,Hesitant Fuzzy Sets,7,Evidence Combination / Epistemic Uncertainty,B2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9f932fd025d9fcf0386cd1deb5b91987f6b8dc0e4f3a016ca8bbb69dbf6ed549
7.13,B2.13,Type-2 Fuzzy Sets,7,Evidence Combination / Epistemic Uncertainty,B2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,de91062af53761b6831e4479cd95829880e4cf46053931bacdf48d14d6199bbb
7.14,B2.14,Maximum Entropy,7,Evidence Combination / Epistemic Uncertainty,B2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c5d5af5100cf5de561a7ae409a4402a3ead09cd06fb328d718a84f320d375ebb
7.18,B2.18,MARCOS Ranking,7,Evidence Combination / Epistemic Uncertainty,B3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,684860e6bb77fa4b9823c7bc4755a2ef48ddef15ff47489031f577c418371316
7.19,B2.19,CRITIC-TOPSIS,7,Evidence Combination / Epistemic Uncertainty,B3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9a2e026d4954643b5705594ec978a01bdd036260f055857ffd8937fa2ef9506f
7.2,B2.2,Rough Sets,7,Evidence Combination / Epistemic Uncertainty,B1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a51997f3f69c1d0a7963f31e0bca35558be5075674bbb040c3561b7d2d0021ec
7.20,B2.20,Hypersoft Sets,7,Evidence Combination / Epistemic Uncertainty,C,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,dc967ceb669947cdb193231c204cbfce22ee4d6c5bd71fac03c8498945e568b0
7.5,B2.5,Z-numbers,7,Evidence Combination / Epistemic Uncertainty,B2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,08f995890576b2ccec4e4fcb2904c59dbebf8ff8248c8bafc081c03dcdd06390
7.6,B2.6,PLTS,7,Evidence Combination / Epistemic Uncertainty,B2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,70068a4dfb40efa7e6e88de82c4246bd771ceabd866e44d2efdb20762fe50df6
7.7,B2.7,Plithogenic Sets,7,Evidence Combination / Epistemic Uncertainty,C,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f1a064e25e4e3e7d53e46193b95286da5503a32228405bf46d28b11ac5b266e3
7.8,B2.8,Belief Rule Base,7,Evidence Combination / Epistemic Uncertainty,B2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c9d3ff7f994a305a67987b67c4cac88a697f1a23e7f8a6513e56e396e0a7b052
7.9,B2.9,Quantum Probability,7,Evidence Combination / Epistemic Uncertainty,C,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4053ede9df4dd434609c361674ba52e5702b82e6ed4840ff5fd622a4196aed41
8.8,A6.3,Environmental Compliance Rate,8,Governance & Compliance,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9d4095c4861b5ffbffb1c20764dc44fc83278066bd996262f5d53cd390e581eb
