attribute,value_a,value_b,contradiction_degree,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
SCHEDULE,SLOW,SLOW,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,51678343d9f2794746b29ff6f04114106d4adfe4840d10c9f5b4c3393bdec739
QUALITY,HIGH,HIGH,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cdd09e0e4a5fe16db7ea8a797220314b29eacda4204761f688c03ebc9007d3eb
QUALITY,HIGH,MEDIUM,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,05a813b045152c82d3976b49052a0ee5abd09ca88c2af188e42f9ebebde8dd2f
QUALITY,HIGH,LOW,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7d34192a1e882be6d562d29adac31fb34d6795adac2ea22f659f6b8e04e3037e
QUALITY,MEDIUM,HIGH,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8854c31be4430b5a5648a98b5562ba451d69018329c75c250e287d495a9d0e33
QUALITY,MEDIUM,MEDIUM,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dbdd9c5181fe9e34f255bbacb571d093bd401dd841ad5f2b27cbe87503e77b89
QUALITY,MEDIUM,LOW,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b34826ea0a85c733f75b697db351f15ffefaecfac2905031110a47e9b9922d3f
QUALITY,LOW,HIGH,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6fc38a53441e571c5a24db17d65e9ba8e1e2c9bdc237d937c421286ba609fd5b
QUALITY,LOW,MEDIUM,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ca762ab0106c5a8fb5663e5a3ac126b77f35eca93621c3c282c1e95fc62b06e0
QUALITY,LOW,LOW,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,990ad0ddd39cbbd2f41bd8416bd9a8586927de12c8eb3a325a46cbfb4a898576
RISK,LOW,LOW,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d6d5b03ea40d9029804a36adb25a28bc3900296ac7e9873085fd8433b6b98400
RISK,LOW,MEDIUM,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2760e25b9774148ea7c1dac619c31f265e31174867ea8951cd05724298c32bb4
RISK,LOW,HIGH,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9cb672888d7f14699fdd673cd39704844b8ce4d6f1b1df9eb49b7050264bef85
RISK,MEDIUM,LOW,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,83b52d3615e8761f1f4bda277d32fc94e99f18f7e47e7971a4976e1035488de0
RISK,MEDIUM,MEDIUM,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b51d7ec1c6ade82e7af0782f1b75c917137a82944b466fba082b75037a0c2e00
RISK,MEDIUM,HIGH,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3785e972cdf83e5820cac4e4f6d9288b44e1c255698030339befc6c68d720a12
RISK,HIGH,LOW,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a70e4b30f8dd2fad49bfe680c6371f25d4cb048012aad4ce406334b1d70e60e1
RISK,HIGH,MEDIUM,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d9ef36a21708cb66a08842cdf34994b00be7845afaccff89e28a0818c439482f
RISK,HIGH,HIGH,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1c296af6e04402b3a808cb5370980fa81aa0c42de4f3d1e51e186f93ee9eb7f1
