project_id,period_id,violation_id,assessment_id,requirement_id,severity,identified_date,corrective_due_date,corrective_close_date,status,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-DCT,P05,PRJ-DCT-ENV-03-P05-V,PRJ-DCT-ENV-03-P05,PRJ-DCT-ENV-03,MEDIUM,2026-11-23,2026-12-23,2026-12-23,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a6243819a65cb6fcd31d24f87b325d39d44be9e837cf6e5eb9ec2f680b4d94da
PRJ-DCT,P06,PRJ-DCT-ENV-04-P06-V,PRJ-DCT-ENV-04-P06,PRJ-DCT-ENV-04,MEDIUM,2027-01-07,2027-02-06,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ee2203558b45d27b8402ca0cc52e0ee6f96334fe93a118cdbce8ee2c1fe5ff77
PRJ-HSP,P01,PRJ-HSP-ENV-02-P01-V,PRJ-HSP-ENV-02-P01,PRJ-HSP-ENV-02,HIGH,2026-04-09,2026-05-09,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,19f6becd8fd4deca6a547c2e26af87ba63fb7a46e5eebf92944d8f37c09d255b
PRJ-HSP,P01,PRJ-HSP-ENV-03-P01-V,PRJ-HSP-ENV-03-P01,PRJ-HSP-ENV-03,MEDIUM,2026-04-09,2026-05-09,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,997363ab4af3f4bb68b1054b67a46c8d30e097cab0e136ee59cc0d127c2ee3d7
PRJ-HSP,P01,PRJ-HSP-ENV-04-P01-V,PRJ-HSP-ENV-04-P01,PRJ-HSP-ENV-04,MEDIUM,2026-04-09,2026-05-09,2026-04-18,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b23c674748f3dde9aeff36b30ba648f68b0db2ac73fb376086b00a1db542b102
PRJ-HSP,P02,PRJ-HSP-ENV-08-P02-V,PRJ-HSP-ENV-08-P02,PRJ-HSP-ENV-08,CRITICAL,2026-06-05,2026-06-19,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4697d09fdaac4c177fb6584520497d5881327359ea6399cb99a4d91264b21ae9
PRJ-HSP,P04,PRJ-HSP-ENV-03-P04-V,PRJ-HSP-ENV-03-P04,PRJ-HSP-ENV-03,MEDIUM,2026-09-27,2026-10-27,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fc2e8822db3e52bddb65cfba1bbd77af370f5c6c3ffc1e9617fe2ed1397afb25
PRJ-HSP,P04,PRJ-HSP-ENV-04-P04-V,PRJ-HSP-ENV-04-P04,PRJ-HSP-ENV-04,MEDIUM,2026-09-27,2026-10-27,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5f9cb47d4f9e9d0f9d62fc803c0f201f71d5b4358ce501d5d551e8f27dd95dec
PRJ-HSP,P04,PRJ-HSP-ENV-08-P04-V,PRJ-HSP-ENV-08-P04,PRJ-HSP-ENV-08,CRITICAL,2026-09-27,2026-10-11,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5ea1538c26709b0d60f20e1f984b97151005dbcc336f46dc50f6b48bb37e39cd
PRJ-HWY,P02,PRJ-HWY-ENV-06-P02-V,PRJ-HWY-ENV-06-P02,PRJ-HWY-ENV-06,CRITICAL,2026-05-03,2026-05-17,2026-05-18,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0731aeb9fee26fbaf3bdf5ccc0620f2dabf6a750eee90c03c73d8f7ffec8ad61
PRJ-HWY,P06,PRJ-HWY-ENV-03-P06-V,PRJ-HWY-ENV-03-P06,PRJ-HWY-ENV-03,MEDIUM,2026-11-24,2026-12-24,2026-12-05,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5f9bc28eada29a10932cefcccefb6c93cce18dc33f9cd9d1706c30f6572b6fe5
PRJ-HWY,P06,PRJ-HWY-ENV-07-P06-V,PRJ-HWY-ENV-07-P06,PRJ-HWY-ENV-07,HIGH,2026-11-24,2026-12-24,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,43e74c2f9d68a825dbf086de7f3a34a421576fe212c6bc3bfc16fac84f9d4937
PRJ-RAL,P05,PRJ-RAL-ENV-04-P05-V,PRJ-RAL-ENV-04-P05,PRJ-RAL-ENV-04,MEDIUM,2026-12-11,2027-01-10,2027-01-10,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bef9e3b898ad6ca1a8be6e5cfbf549adc5350aac230e9f877211696d0a1e05e8
PRJ-RAL,P05,PRJ-RAL-ENV-06-P05-V,PRJ-RAL-ENV-06-P05,PRJ-RAL-ENV-06,CRITICAL,2026-12-11,2026-12-25,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2b97941697e7c70b75d988bcf7fab63236f67b7816a33698b2fbc24256274ebd
PRJ-WTR,P02,PRJ-WTR-ENV-04-P02-V,PRJ-WTR-ENV-04-P02,PRJ-WTR-ENV-04,MEDIUM,2026-05-29,2026-06-28,2026-06-16,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,253100853ad74ccfa64589c9db262272cc9b0a22d335ddef0ad86c3ae98fbc55
PRJ-WTR,P04,PRJ-WTR-ENV-03-P04-V,PRJ-WTR-ENV-03-P04,PRJ-WTR-ENV-03,MEDIUM,2026-08-24,2026-09-23,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f1956fd0013e1aea788b2fed2c011a67bd2e26f67efa6f88afd865c77ea961f5
PRJ-WTR,P04,PRJ-WTR-ENV-07-P04-V,PRJ-WTR-ENV-07-P04,PRJ-WTR-ENV-07,HIGH,2026-08-24,2026-09-23,2026-09-03,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,135ce4fc5f96089d11064690be59e3afa522be065e196b3a64563131b240a21c
PRJ-WTR,P06,PRJ-WTR-ENV-01-P06-V,PRJ-WTR-ENV-01-P06,PRJ-WTR-ENV-01,HIGH,2026-11-19,2026-12-19,2026-12-22,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fee02483517fae45aa9b38eeb025fb2768db563fb343d4b81305762ef5b8fd24
