project_id,period_id,ncr_issued_to_date,ncr_closed_to_date,ncr_open_at_cutoff,ncr_overdue_at_cutoff,cumulative_inspections,ncr_incidence_per_100_inspections,closure_ratio,open_ratio,overdue_open_ratio,mean_open_age_days,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-HWY,P01,1,0,1,0,25,4.0,0.0,1.0,0.0,9.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,749ff28087f1e8a9d6d52c02c41f53d9c7d2d03143581f0e651bbb4b168f41af
PRJ-HWY,P02,2,1,1,0,52,3.84615385,0.5,0.5,0.0,9.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,14ad5dcbefcf74ca85428cb4931e04b41e9fe676f65d0604be6455e3dad8354d
PRJ-HWY,P03,7,2,5,0,81,8.64197531,0.28571429,0.71428571,0.0,8.8,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a6aa7cf28dbb4b8974b8036fef2b3b707106959644085701e1eddf859af3e354
PRJ-HWY,P04,7,7,0,0,111,6.30630631,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7bd1d96396c0f3964c7d7350a9004ce428e6633502becad95bfad6002303ad78
PRJ-HWY,P05,15,11,4,0,144,10.41666667,0.73333333,0.26666667,0.0,6.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,07be356d359e9b389360e78d9c073fdaee123da29b510448f68c20b4ac0ca522
PRJ-HWY,P06,16,13,3,2,182,8.79120879,0.8125,0.1875,0.66666667,41.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d435885b36473d35e91b0a9b9b86a28fba9619ed26b34970c5dfbf6aa50b5bce
PRJ-RAL,P01,1,0,1,0,24,4.16666667,0.0,1.0,0.0,15.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a9523cdb8fa1e8527ef4fe839b72320fe43f501d6214685107d0d698ed4593f0
PRJ-RAL,P02,2,2,0,0,48,4.16666667,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a0d7541b1ae9d5fce3664c9dfeee6ce04f12c8e7fcba19610a8e3c959ee32f93
PRJ-RAL,P03,2,2,0,0,79,2.53164557,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9977e3bf607ba5b1e6657ca65713f005499f28fa103fc2a6328435fe3c6d5120
PRJ-RAL,P04,4,3,1,0,109,3.66972477,0.75,0.25,0.0,12.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d1527e6a0583976020bdd85bf0bdf22bfc7993a078bef0661178469bbd6a2ac3
PRJ-RAL,P05,6,4,2,0,143,4.1958042,0.66666667,0.33333333,0.0,4.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,168802d0a01863b94cbf94799e5b60fe2797591f7a4d928af6e06e09744301f1
PRJ-RAL,P06,13,9,4,0,180,7.22222222,0.69230769,0.30769231,0.0,9.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,37996885735647e9f9effb2e2dc2835261a35ea4abf25dfa01e6fd9903ce5b85
PRJ-WTR,P01,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,450cb9ea6fbd0bda03645ee1e731c6fa6abc87878301bde3a14875ab104ac0b0
PRJ-WTR,P02,1,0,1,0,49,2.04081633,0.0,1.0,0.0,17.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cf07bf94ee528cf83a573c50e2fab4a7e7b9c7582b0df5fa89a46d68c9400a85
PRJ-WTR,P03,3,2,1,0,76,3.94736842,0.66666667,0.33333333,0.0,10.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e0897d8ed01ef0edbaf14afcec57f7c7c1128bcba7b6c1abbb969aaf89e071ac
PRJ-WTR,P04,5,4,1,0,106,4.71698113,0.8,0.2,0.0,8.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2fbe789f4aecb708eac0956d520163d096046826c6b22605de0746d65ffa6e2f
PRJ-WTR,P05,8,5,3,0,142,5.63380282,0.625,0.375,0.0,7.33333333,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1710be1051ee3f7b36d01b21bec728a2a52929a15f31fd9ae2d7a754c1191cfd
PRJ-WTR,P06,10,8,2,1,182,5.49450549,0.8,0.2,0.5,30.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ccf356bcd59d1aeb6e21834af870ca42c538041b07bce47b0c8323363c7dc137
