project_id,cost_element_id,cost_element_name,low_cost_usd,most_likely_cost_usd,high_cost_usd,correlation_group,cost_distribution_type,distribution_parameterisation,dependence_model,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-HWY,PRJ-HWY-CE-04,STRUCTURE,4909557.63,5338216.4,6117596.0,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f0062a4ef3755b86b3e0e6b7672f30be67fb3911b169c0e691a992c564b6efc0
PRJ-HWY,PRJ-HWY-CE-05,ENVELOPE,27553422.74,28921405.2,31408646.05,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,189d83d86e75e097700d6e32d57275e3e643e5f520bbe6710ce420e684781074
PRJ-HWY,PRJ-HWY-CE-06,MEP,14925048.38,15849047.87,17529046.94,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3db6d3fc3a70f40531172932ce92624536c175b9d00a77512cf57ed954ebca52
PRJ-HWY,PRJ-HWY-CE-07,SYSTEMS,12921687.79,13883837.75,15633201.3,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7009bdd11574bb5eed0e65745212274ad2cd8b99b8d55ea5aec3340b074835bb
PRJ-HWY,PRJ-HWY-CE-08,PROCUREMENT,41701991.32,45343037.21,51963120.64,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,35484dbeb124c20ff93b5f9683c64952310abe2730e7120834724bad2762dad9
PRJ-HWY,PRJ-HWY-CE-09,COMMISSIONING,16883111.67,17721330.61,19245365.04,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,79dedd2a7370e3d2af66684095efb3d79058571f6c654f7f6c10114079664658
PRJ-HWY,PRJ-HWY-CE-10,CONTINGENCY,25459599.23,27035785.53,29901578.8,CG-4,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,205005ec85c7f8da4898fbd9e2844ffec43f8f79f5679fb26488346254a85424
PRJ-HSP,PRJ-HSP-CE-01,DESIGN,25675228.14,27161649.4,29864233.51,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,04c81eba9abcaccd1ee91209bca78732a6b8b051a4d8657b6eb9c61f79dc86b8
PRJ-HSP,PRJ-HSP-CE-02,GENERAL_CONDITIONS,63365601.22,67823286.74,75928169.5,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d11792e67be8717f78ec61c176af8e6e346dfe3003cb7fac5436751a7cf51fb5
PRJ-HSP,PRJ-HSP-CE-03,CIVIL,53974617.52,58459957.78,66615121.89,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c97e13b8a581a6cefdab97186efb6453954375b83987a3b45c95c8f57ae7bc69
PRJ-HSP,PRJ-HSP-CE-04,STRUCTURE,6624149.04,7261131.83,8419282.36,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b5961a240a5ad4d534077f3d06e341bcc507a6eba0abe2b236518dc682b1441f
PRJ-HSP,PRJ-HSP-CE-05,ENVELOPE,42550769.58,45014170.04,49493079.96,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,373dcf70496ed4ad79c5101d585073a867aa2433bed7ba71ca4521968ce34979
PRJ-HSP,PRJ-HSP-CE-06,MEP,123293530.57,131967065.98,147737130.37,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6cf1b616ece619a915b5157f67b120e7a74a345cb20ba4cee90ff8baae29ef37
PRJ-HSP,PRJ-HSP-CE-07,SYSTEMS,22677210.87,24561707.91,27988066.16,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dc0c0d30d10bc4487a37210b0db6e73757993b3e2832a2a6166a2abf30ba0e0c
PRJ-HSP,PRJ-HSP-CE-08,PROCUREMENT,40282592.96,44156195.18,51199108.31,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,aceb2ee975f7c49d4e5ae5bdcb9459ea44b64fb6e09e007226afca9354b668c4
PRJ-HSP,PRJ-HSP-CE-09,COMMISSIONING,45661125.65,48304594.59,53110901.76,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2db773eaaa787b83d0db955d7abf7ef99dc08312fbc34ee527668751d3c8ca85
PRJ-HSP,PRJ-HSP-CE-10,CONTINGENCY,4942539.5,5290240.56,5922424.3,CG-4,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bf6771ec4fa6dbf0ad42f2558cfc11642164102fa9d98c34b0bf2979d4108c67
PRJ-WTR,PRJ-WTR-CE-01,DESIGN,9767563.12,10217116.24,11034485.54,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4226f12a6966f46530e9fe7f8669a2d21c6e079d559f77ad8d3a3ad520c2c497
PRJ-WTR,PRJ-WTR-CE-02,GENERAL_CONDITIONS,19411429.08,20541194.8,22595314.28,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3c5f8a4051062ef14854f0b0e5183d33c3d1c4b21894009a7c7060b90ac71a2d
PRJ-WTR,PRJ-WTR-CE-03,CIVIL,6204525.14,6642960.53,7440115.8,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,03275b9515efde21f74c3e46216f29a0a4257e2513fa99f43ed9df7d4d1665c7
PRJ-WTR,PRJ-WTR-CE-04,STRUCTURE,8828077.36,9564547.52,10903584.17,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,088d1aa70c51ccc2aa2e592fbaee2349b1385b9106782d4622a7b502dc3b3ba0
PRJ-WTR,PRJ-WTR-CE-05,ENVELOPE,1157696.61,1210979.71,1307858.09,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,91c81ab4fcb3dcc87a1e229a23fc02cd8e2ef96c6681f86624f8b923c2c3d05c
PRJ-WTR,PRJ-WTR-CE-06,MEP,10319513.0,10920119.58,12012131.54,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4f2bf1ed63de18b39e18481cf4e62967f38374cea5999e0e3f9adf2d1d6a7257
PRJ-WTR,PRJ-WTR-CE-07,SYSTEMS,11066340.35,11848330.14,13270129.76,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9e6db142772dd64210b63bc331e48751cb36e426e6988333159cde63754afae1
PRJ-WTR,PRJ-WTR-CE-08,PROCUREMENT,33121635.84,35884762.56,40908629.31,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,94a834bbd05a3bdef11b0a12863ba132d352173e5c281b9e539aaefca4a4254d
PRJ-WTR,PRJ-WTR-CE-09,COMMISSIONING,32813262.53,34323496.37,37069376.08,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1d2c7dfe33ae0a5fb52ed7e0c6301e366c01a8585bb54acf15a35b8247882449
PRJ-WTR,PRJ-WTR-CE-10,CONTINGENCY,31984935.46,33846492.55,37231141.81,CG-4,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,aac8eb66864bf497f1e52540a4223122785a003f18b33102e8b608571cca50f2
PRJ-RAL,PRJ-RAL-CE-01,DESIGN,9708913.74,10226367.96,11167193.81,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,159c448973b48cb86324de4b77dc96ee3322bf1cef7b3329ef3dcc3907c23ac1
PRJ-RAL,PRJ-RAL-CE-02,GENERAL_CONDITIONS,8720106.59,9292526.21,10333289.14,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ac45fa15bf362226fd20bf32faf97462195d78d68590fcf09998fded822da27e
PRJ-RAL,PRJ-RAL-CE-03,CIVIL,49117955.96,52963075.22,59954201.15,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,db3d2301d786e95c1eaeb89b6919473e3c31d53357faee473f27e4c0f71041b6
PRJ-RAL,PRJ-RAL-CE-04,STRUCTURE,64567790.18,70458086.19,81167715.29,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1e04c1031e8ac79221e2d1c3dda7a13100a493637d5776ddce8e46d7e6647916
PRJ-RAL,PRJ-RAL-CE-05,ENVELOPE,26429916.87,27838547.36,30399693.72,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d6a8965bb1b32ed51a46e061d738dc59ddc2686479523b6c2af3b56938eb7c8c
PRJ-RAL,PRJ-RAL-CE-06,MEP,6373369.81,6791741.06,7552416.06,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ef731f1215d391a6b5239de91b105399050e331554362ee58d3096056a37e22a
PRJ-RAL,PRJ-RAL-CE-07,SYSTEMS,38259593.91,41254683.97,46700302.25,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,aaf0c50038684cc5bc47436894a9aa3ed8c9f64bfc1fe4f577bf80474087b589
PRJ-RAL,PRJ-RAL-CE-08,PROCUREMENT,20972402.38,22885642.05,26364259.64,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2568a70e6785f1cc2fee2f52968de1b49ae388c9a39c1ad9dcdd9216bbc9895f
PRJ-RAL,PRJ-RAL-CE-09,COMMISSIONING,10171414.86,10713518.92,11699162.66,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1b5bc22c6682f80e7f6f87625a293c75fd48b3ca106595486a42ce9af73b4f9b
PRJ-RAL,PRJ-RAL-CE-10,CONTINGENCY,35261141.1,37575811.07,41784301.9,CG-4,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7639ce525afec9dd5b766d29a2de8d497f6373bb3f5fad41c37a6fd35739affb
PRJ-DCT,PRJ-DCT-CE-01,DESIGN,20054561.56,20995693.53,22706842.55,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,028cb72d9da4be40cb1914b95685d2040b7d647b52b37028ab1753aa05cd18d4
PRJ-DCT,PRJ-DCT-CE-02,GENERAL_CONDITIONS,43791788.44,46381008.22,51088680.56,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,423496ad65906d6469fb4ed542e09538696faa5a9571808ac50add3d325e97c0
PRJ-DCT,PRJ-DCT-CE-03,CIVIL,3146910.96,3372262.39,3781992.27,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,795defaa2804ed7f181b8687ab26b668379653ccfe0c36b44c8c034a580c8fc4
PRJ-DCT,PRJ-DCT-CE-04,STRUCTURE,46628370.47,50563472.73,57718204.12,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,80a84a623052ca6f20e7775e0315e19aaf1d17a2a024204e52082091f49d0b96
PRJ-DCT,PRJ-DCT-CE-05,ENVELOPE,22766553.43,23834955.3,25777504.16,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1c090043be7c53430359c0fa0ee4bb7f5da1835163b080210bb6ddd93aece866
PRJ-DCT,PRJ-DCT-CE-06,MEP,38252326.21,40514021.45,44626194.63,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9288733b66129c849db52fba9e25ab7eb222bde830a3706f1db9d3e6fa94113c
PRJ-DCT,PRJ-DCT-CE-07,SYSTEMS,7439629.15,7972383.69,8941028.31,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c7e7df9da923eb3a5409e1694b42a47a64a5b294df48bad8b1cd4abc24224de1
PRJ-DCT,PRJ-DCT-CE-08,PROCUREMENT,5162812.97,5598517.6,6390707.84,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,59bca444027b67d8cd62f317894c12492e7748ba6fb0af4ce5f58690da582fd0
PRJ-DCT,PRJ-DCT-CE-09,COMMISSIONING,22368990.03,23418734.82,25327361.71,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,50a9ca2ee3ee189b9f2c1f0b67c3b50f3cbab7d78e2fddf52b1547e31f664cb6
PRJ-DCT,PRJ-DCT-CE-10,CONTINGENCY,16380445.12,17348950.26,19109868.72,CG-4,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2915fd50f5bcd8331ea966415844185dc05cbaa8b74f04dcf79d1a5a6ec36f27
