project_id,activity_id,activity_name,wbs_id,activity_type,baseline_duration_days,optimistic_duration_days,most_likely_duration_days,pessimistic_duration_days,calendar_id,resource_group,location_id,critical_chain_flag,ccpm_chain_id,ccpm_chain_type,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-A11,Integrated Testing,PRJ-AIR-WBS-11,TASK,30.3,22.278,30.3,38.001,CAL-5D,COMMISSIONING,LOC-05,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5fef3b1028efe5fb94dd3e93f44d257309140e887a09af00fb294409a36e822a
PRJ-AIR,PRJ-AIR-A12,Operational Readiness,PRJ-AIR-WBS-12,MILESTONE,13.8,10.543,13.8,18.751,CAL-5D,COMMISSIONING,LOC-06,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3d38b65601c4e4c7dc96f3ad615cc716b5fb512e5d047b56b1b1d67aba1da279
PRJ-HWY,PRJ-HWY-A01,Notice to Proceed,PRJ-HWY-WBS-01,MILESTONE,6.2,4.877,6.2,8.044,CAL-5D,DESIGN,LOC-01,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ae80cc0dd6f1c157ed75a6a33b833c9f2688e2c14fec8b9ee614078ab30bc018
PRJ-HWY,PRJ-HWY-A02,Traffic Control Design,PRJ-HWY-WBS-02,TASK,21.8,17.207,21.8,27.591,CAL-5D,DESIGN,LOC-02,False,PRJ-HWY-FC1,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2d13472fac35c0e068bf05fd21d0acb0a13ac1f648de5340e291980ed771501b
PRJ-HWY,PRJ-HWY-A03,Utility Relocation,PRJ-HWY-WBS-03,TASK,31.2,23.967,31.2,39.636,CAL-5D,PROCUREMENT,LOC-03,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8b7e5efa44df0af10d635e085307caf67e38610aaa0a922ea5fabdd71763611d
PRJ-HWY,PRJ-HWY-A04,Clearing and Earthwork,PRJ-HWY-WBS-04,TASK,21.5,17.11,21.5,26.802,CAL-5D,PROCUREMENT,LOC-04,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,657608bab725316cd384a40e7d0b1dd450c613829aee80ba2e9b2ceecf949b62
PRJ-HWY,PRJ-HWY-A05,Drainage,PRJ-HWY-WBS-05,TASK,27.4,21.335,27.4,35.088,CAL-5D,CIVIL,LOC-05,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,daed8823b4734be549bff10b49f175d1abc802dab90ab808ad0af0f5b3d06034
PRJ-HWY,PRJ-HWY-A06,Subgrade,PRJ-HWY-WBS-06,TASK,44.2,36.641,44.2,55.202,CAL-5D,CIVIL,LOC-06,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dc2065fa379999564d98a3a3ebad7899d659192f0a894867dcffe0e2335d15fe
PRJ-HWY,PRJ-HWY-A07,Structures,PRJ-HWY-WBS-07,TASK,32.7,25.19,32.7,41.311,CAL-5D,STRUCTURAL,LOC-01,False,PRJ-HWY-FC2,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,692d208e82d0ca45ab3d686c6fffcabd857fdcc06c2f3c8a299c8d4fc5c70374
PRJ-HWY,PRJ-HWY-A08,Base Course,PRJ-HWY-WBS-08,TASK,42.9,35.174,42.9,54.323,CAL-5D,STRUCTURAL,LOC-02,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b4ac37cd8194b65261cc9fcd8e17f2622a3f017b51e479e0d21487a20de2e6c6
PRJ-HWY,PRJ-HWY-A09,Paving,PRJ-HWY-WBS-09,TASK,34.4,26.078,34.4,43.75,CAL-5D,MEP,LOC-03,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4230243181098437c66dc6ec13a805bce1f7d020d2d3bb28dcd7cfef65cbc2dc
PRJ-HWY,PRJ-HWY-A10,ITS and Lighting,PRJ-HWY-WBS-10,TASK,35.7,28.337,35.7,44.886,CAL-5D,MEP,LOC-04,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9485569c3787f1baade7dd7d13870eb160bcb8a45345fb204f4f98191895b7b7
PRJ-HWY,PRJ-HWY-A11,Punch and Safety Review,PRJ-HWY-WBS-11,TASK,22.6,18.276,22.6,27.936,CAL-5D,COMMISSIONING,LOC-05,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,22f31d684eb2da2d4df457a20563791c55c3d2ce1597cd2f3b0e41bc181422cd
PRJ-HWY,PRJ-HWY-A12,Open to Traffic,PRJ-HWY-WBS-12,MILESTONE,12.5,9.672,12.5,16.433,CAL-5D,COMMISSIONING,LOC-06,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ce88c54ba4d04d6fbf085313e56c0ba284acb1d689d5fe2f6a263a9318493d78
PRJ-HSP,PRJ-HSP-A01,Notice to Proceed,PRJ-HSP-WBS-01,MILESTONE,6.7,5.347,6.7,8.392,CAL-5D,DESIGN,LOC-01,True,PRJ-HSP-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,401fbfd6f8c468ebd22c1afc7a125a5ef1e122d2dfaac28326d9750c8aa004fe
PRJ-HSP,PRJ-HSP-A02,Clinical Design Freeze,PRJ-HSP-WBS-02,TASK,19.4,15.148,19.4,25.01,CAL-5D,DESIGN,LOC-02,False,PRJ-HSP-FC1,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,26e6a0bda8ba4553a541ff523fc7f5748fae0820af47a7274f3355931b3300dc
PRJ-HSP,PRJ-HSP-A03,Long-Lead Equipment,PRJ-HSP-WBS-03,TASK,38.4,30.233,38.4,50.104,CAL-5D,PROCUREMENT,LOC-03,True,PRJ-HSP-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2c4006aa0e18566533edeb855e765ca3e9e4f21592046acd188f0ff71f13ee48
PRJ-HSP,PRJ-HSP-A04,Site and Excavation,PRJ-HSP-WBS-04,TASK,23.4,17.646,23.4,29.59,CAL-5D,PROCUREMENT,LOC-04,True,PRJ-HSP-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,590e38266aa22052aebd2a442d0ef7872ba660e7cabe3807f0a97b96a219f2a8
PRJ-HSP,PRJ-HSP-A05,Foundations,PRJ-HSP-WBS-05,TASK,34.3,27.698,34.3,43.854,CAL-5D,CIVIL,LOC-05,True,PRJ-HSP-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,254894dd85514435c3a697997f4e0c97aa1685cf7c89d8ff5310be6cabd70a4f
PRJ-HSP,PRJ-HSP-A06,Superstructure,PRJ-HSP-WBS-06,TASK,48.5,37.443,48.5,64.715,CAL-5D,CIVIL,LOC-06,True,PRJ-HSP-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1911dd50d848c81503340e53ccee505c3255166108dedbc28e82a3b02f628775
PRJ-HSP,PRJ-HSP-A07,Envelope,PRJ-HSP-WBS-07,TASK,33.4,25.493,33.4,42.95,CAL-5D,STRUCTURAL,LOC-01,False,PRJ-HSP-FC2,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,31853e8a58fa28e26f3bafdd70dde6fbc4e6f13d3d79e21e181ca884ac7ac394
PRJ-HSP,PRJ-HSP-A08,MEP and Medical Gas,PRJ-HSP-WBS-08,TASK,47.8,36.47,47.8,61.858,CAL-5D,STRUCTURAL,LOC-02,True,PRJ-HSP-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f1a746ddad4047c0d1ed2616dc0971adcf7411da4f56c83514ffe2f73e49be6f
PRJ-HSP,PRJ-HSP-A09,Interior Build-Out,PRJ-HSP-WBS-09,TASK,34.4,27.467,34.4,45.373,CAL-5D,MEP,LOC-03,True,PRJ-HSP-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fc04bf029e4b3f6fe77d515ea56bf65a5634c67a5e82b25cd5db93fc2e42d82d
PRJ-HSP,PRJ-HSP-A10,Equipment Install,PRJ-HSP-WBS-10,TASK,38.7,29.359,38.7,48.07,CAL-5D,MEP,LOC-04,True,PRJ-HSP-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,983b6c0c8c6074b146ef02bfa3079d983eaa9d5abc221c5d6f3767d69972aec6
PRJ-HSP,PRJ-HSP-A11,Commissioning,PRJ-HSP-WBS-11,TASK,26.4,21.337,26.4,34.202,CAL-5D,COMMISSIONING,LOC-05,True,PRJ-HSP-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,18f690f7d9fb683fed7a29c11be7a01c0bba5b060a0d83cdd3a04ca310da819a
PRJ-HSP,PRJ-HSP-A12,Occupancy Readiness,PRJ-HSP-WBS-12,MILESTONE,12.9,10.441,12.9,16.319,CAL-5D,COMMISSIONING,LOC-06,True,PRJ-HSP-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,30aecc991a8807eb5ad455f696849274c98cb94865213e6ade8ed1269335935e
PRJ-WTR,PRJ-WTR-A01,Notice to Proceed,PRJ-WTR-WBS-01,MILESTONE,3.4,2.694,3.4,4.484,CAL-5D,DESIGN,LOC-01,True,PRJ-WTR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ad774be2b8f57cddd7825c22c910c54be581e1316c531bfd036f9c919c2a981c
PRJ-WTR,PRJ-WTR-A02,Process Design,PRJ-WTR-WBS-02,TASK,17.4,13.284,17.4,22.516,CAL-5D,DESIGN,LOC-02,False,PRJ-WTR-FC1,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,faa252db883601e951be278a4ec7c9124aad4a8a7287f3cd2e349eb7933ea4de
PRJ-WTR,PRJ-WTR-A03,Equipment Procurement,PRJ-WTR-WBS-03,TASK,22.4,17.752,22.4,28.302,CAL-5D,PROCUREMENT,LOC-03,True,PRJ-WTR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,62e8495542bab03406b6a229afb9aa3bd192c786f8b2e1ac39fdf0fc654bf9cd
PRJ-WTR,PRJ-WTR-A04,Site Preparation,PRJ-WTR-WBS-04,TASK,17.6,13.158,17.6,23.155,CAL-5D,PROCUREMENT,LOC-04,True,PRJ-WTR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,96455497e8cdb15a6aa8d4fef2c0ffb3583822394714066bc7c9717f73c25b09
PRJ-WTR,PRJ-WTR-A05,Civil Basins,PRJ-WTR-WBS-05,TASK,24.3,18.623,24.3,31.373,CAL-5D,CIVIL,LOC-05,True,PRJ-WTR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ffc510d83338ac924f1a071708fb032e8997fc7d5ffdd491fde80c38f5a7da43
PRJ-WTR,PRJ-WTR-A06,Process Structures,PRJ-WTR-WBS-06,TASK,40.8,31.411,40.8,52.036,CAL-5D,CIVIL,LOC-06,True,PRJ-WTR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ac25e8f45d6606e306d1b70a839ac2d9d76de807814b42e63d86e6260ea711bb
PRJ-WTR,PRJ-WTR-A07,Piping,PRJ-WTR-WBS-07,TASK,29.8,22.697,29.8,38.081,CAL-5D,STRUCTURAL,LOC-01,False,PRJ-WTR-FC2,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,94f435a72fa4f9404433ddc38637868d338d76c789d5cbf1ceb288abe8424e7f
PRJ-WTR,PRJ-WTR-A08,Electrical and Controls,PRJ-WTR-WBS-08,TASK,38.6,29.92,38.6,48.089,CAL-5D,STRUCTURAL,LOC-02,True,PRJ-WTR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3a468a5dfde2747a749a1330a5457fb5e29941783078b1b5d97099a0f60040c9
PRJ-WTR,PRJ-WTR-A09,Equipment Installation,PRJ-WTR-WBS-09,TASK,27.5,20.685,27.5,34.96,CAL-5D,MEP,LOC-03,True,PRJ-WTR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c90340361aff32850f7b4f0080854c078ccc5f182968635e69f6ba60b6ddd115
PRJ-WTR,PRJ-WTR-A10,Startup Preparation,PRJ-WTR-WBS-10,TASK,31.0,24.744,31.0,38.801,CAL-5D,MEP,LOC-04,True,PRJ-WTR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,32c78a5c2573db2a4699a61de2d246947e8c91da97232e8e2492a747f8a6e855
PRJ-WTR,PRJ-WTR-A11,Performance Testing,PRJ-WTR-WBS-11,TASK,19.6,15.478,19.6,24.15,CAL-5D,COMMISSIONING,LOC-05,True,PRJ-WTR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,af5c247fe1f54b417f607709290d91deae0174f59d7e3e4b394f2d189c12aad1
PRJ-WTR,PRJ-WTR-A12,Beneficial Use,PRJ-WTR-WBS-12,MILESTONE,9.9,7.732,9.9,12.864,CAL-5D,COMMISSIONING,LOC-06,True,PRJ-WTR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6fb06574ce100f4bc35efecca19ec557ce3ee37cfbcedd4616532b14f4ea57d9
PRJ-RAL,PRJ-RAL-A01,Notice to Proceed,PRJ-RAL-WBS-01,MILESTONE,6.5,5.026,6.5,8.431,CAL-5D,DESIGN,LOC-01,True,PRJ-RAL-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e23eac47b3aff8b5185e4bfc9b88c4457b604a4dbff7f7ea51802c314334dc85
PRJ-RAL,PRJ-RAL-A02,Design and Interfaces,PRJ-RAL-WBS-02,TASK,20.7,16.413,20.7,26.744,CAL-5D,DESIGN,LOC-02,False,PRJ-RAL-FC1,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4f5f48c29d154903d07d7627b2df946fdd3fee26a300c42843cc6cd09fca436b
PRJ-RAL,PRJ-RAL-A03,Long-Lead Systems,PRJ-RAL-WBS-03,TASK,31.3,23.894,31.3,40.669,CAL-5D,PROCUREMENT,LOC-03,True,PRJ-RAL-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8049c2ff0ae00fb7b5c4e6dcbcf40fd212f436cb9527bac51b0a9cd686f6edbf
PRJ-RAL,PRJ-RAL-A04,Site and Access,PRJ-RAL-WBS-04,TASK,24.1,19.99,24.1,30.687,CAL-5D,PROCUREMENT,LOC-04,True,PRJ-RAL-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9c14178207319c0fc7a0470f008f3a62c8327e106e828a9e92071a7114c57cfc
PRJ-RAL,PRJ-RAL-A05,Foundations,PRJ-RAL-WBS-05,TASK,29.8,23.009,29.8,38.719,CAL-5D,CIVIL,LOC-05,True,PRJ-RAL-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0625500b9e52ab7124de6eef155457029b830d36e73e1e332559cc69310b663f
PRJ-RAL,PRJ-RAL-A06,Structural Works,PRJ-RAL-WBS-06,TASK,48.1,39.702,48.1,63.261,CAL-5D,CIVIL,LOC-06,True,PRJ-RAL-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,03a0bc3f68d2e5085a2a2175cd941ea0771ff5246aeea0aa7bc8467220f9c003
PRJ-RAL,PRJ-RAL-A07,Platforms and Track,PRJ-RAL-WBS-07,TASK,34.5,27.46,34.5,43.285,CAL-5D,STRUCTURAL,LOC-01,False,PRJ-RAL-FC2,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d1a1e9664be77260eda52741727da3090df94f3ab46f01fac52875aa0cdb0e6f
PRJ-RAL,PRJ-RAL-A08,Envelope,PRJ-RAL-WBS-08,TASK,40.9,31.103,40.9,52.76,CAL-5D,STRUCTURAL,LOC-02,True,PRJ-RAL-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d4111df0c95eba42685149d7c9ec59547c5a679023248902282195b92d5e2467
PRJ-RAL,PRJ-RAL-A09,Systems Integration,PRJ-RAL-WBS-09,TASK,31.9,25.894,31.9,40.719,CAL-5D,MEP,LOC-03,True,PRJ-RAL-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,438b238f4f7ccb61cfe409983ed45f14807f1be4d122fa32f920f4dde72f25cb
PRJ-RAL,PRJ-RAL-A10,Architectural Finish,PRJ-RAL-WBS-10,TASK,38.0,29.792,38.0,49.834,CAL-5D,MEP,LOC-04,True,PRJ-RAL-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,119c6595611fd0209c171493642433841febccfb44a31afbdb5a04c4f57be30a
PRJ-RAL,PRJ-RAL-A11,Testing,PRJ-RAL-WBS-11,TASK,21.8,17.417,21.8,28.492,CAL-5D,COMMISSIONING,LOC-05,True,PRJ-RAL-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6a1ef88aec39eab2b23a0542739616d119f21a702871a068eee4ceb50b993fc2
PRJ-RAL,PRJ-RAL-A12,Revenue Service Readiness,PRJ-RAL-WBS-12,MILESTONE,12.2,9.598,12.2,15.653,CAL-5D,COMMISSIONING,LOC-06,True,PRJ-RAL-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e11f615e3536098e73be5bf62dfddd488db3d018355499dc5cbd3839f408ced6
PRJ-DCT,PRJ-DCT-A01,Notice to Proceed,PRJ-DCT-WBS-01,MILESTONE,4.9,3.997,4.9,6.101,CAL-5D,DESIGN,LOC-01,True,PRJ-DCT-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5fd223b7a5ef15dc3b14abf0b7483541d1699b2616f1b15d632b42be581edfc0
PRJ-DCT,PRJ-DCT-A02,Design Release,PRJ-DCT-WBS-02,TASK,17.2,13.745,17.2,21.95,CAL-5D,DESIGN,LOC-02,False,PRJ-DCT-FC1,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,58cbfb7e05330c1c83c56008beaf9cbbd5dd78deb29216d011bebaf8d9caed97
