project_id,claim_id,ground_truth_stage_index,ground_truth_escalation_severity,direct_dispute_evidence_present,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-HWY,PRJ-HWY-CLM-05,3,0.58428,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dc1d276ef7ff95d5aea07e2579694a0f6c80152f04b634e8b3a7b1ed44418b82
PRJ-HWY,PRJ-HWY-CLM-06,4,0.76864,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6e7d779fccea2a5817d29c7e9f69dfada2ca77eccbf92cd2945952c1abc0003d
PRJ-HSP,PRJ-HSP-CLM-01,0,0.02373,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a2fece17833a8eda056c030844446a142c68d796174921b97f1a77d83d6a2d90
PRJ-HSP,PRJ-HSP-CLM-02,1,0.2089,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,06a55cc7f5f57e795742f9868c2787d6c01cd344d03ca488ee7bf24099ac93e8
PRJ-HSP,PRJ-HSP-CLM-03,2,0.39407,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0a6b922ede6d39f189f1022ad7aa02c82bdcac2377b1e66cb8bd565caec24e63
PRJ-HSP,PRJ-HSP-CLM-04,3,0.57924,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4c8232087709635611ff58964bea590107b29d127b4623ffaf131d2c8f1bdb5e
PRJ-HSP,PRJ-HSP-CLM-05,4,0.76441,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4ae4018a9b66e39250b769faca225ec69dc90e0bb54435096c26ba23b107e86d
PRJ-HSP,PRJ-HSP-CLM-06,4,0.77458,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,65c54bd73c48bf0b8d13ca70c30cc8fcef6f9cef0c626b7f1cfcd89668e2a2f4
PRJ-WTR,PRJ-WTR-CLM-01,0,0.021,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d571a145d7bf4d3a0405ff937b25e8cdd0c8dbd1ef73dda64b483da62505e98d
PRJ-WTR,PRJ-WTR-CLM-02,0,0.03,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dca1a9ea1062c84bd612040699a42f15fc1949c74dc27e1cde84a7665f064140
PRJ-WTR,PRJ-WTR-CLM-03,1,0.214,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9c119204656adb7d420adb504a6b17678a6c06d0beb89a2362b5dfb09f0750b3
PRJ-WTR,PRJ-WTR-CLM-04,2,0.398,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e9b2fa60f8d5ac63d06ce2f29af83f6213c6d3ba37fb3f1a393866a0b7efad31
PRJ-WTR,PRJ-WTR-CLM-05,3,0.582,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8c7a9947be8705855712f2617bed6b98ea725d4d2dde1ed909fe34a2c39f9eac
PRJ-WTR,PRJ-WTR-CLM-06,4,0.766,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8783296fcdbf42b7dd97783b61fbe459fbfcc5bbf6c2f614f7a8f457cd0904c5
PRJ-RAL,PRJ-RAL-CLM-01,0,0.02268,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cc774e3504ceb9e9ded74583c760e9410c4b8c80c71f862a297f7ba808cf7a6a
PRJ-RAL,PRJ-RAL-CLM-02,1,0.2074,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7a048db0a7dfd60f70b5e3d6cae6d893ddce286f87f9dc6c1dea7666f1405c5f
PRJ-RAL,PRJ-RAL-CLM-03,2,0.39212,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,58b7aba24f6cff562fb6407bb461b99f2943d2b6abd674d469abae67afdc58e0
PRJ-RAL,PRJ-RAL-CLM-04,3,0.57684,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ba8c81473221b638f698a0f3829a01a069a8062beaffdb34c987aaf7cc353508
PRJ-RAL,PRJ-RAL-CLM-05,4,0.76156,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dc6a657654c63a22b9ea413842ca5e944ad32039a8e28e48d26606bfb35460dd
PRJ-RAL,PRJ-RAL-CLM-06,4,0.77128,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,457c2354666d38930b09e1d93a4fbc529f8827959c8e01372bbb7023d6e70a9b
PRJ-DCT,PRJ-DCT-CLM-01,0,0.02121,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b8d83e7f1662b61bf80b7b41c11c0e62cfaa415b8f3203c8171d138d4c277a7a
PRJ-DCT,PRJ-DCT-CLM-02,0,0.0303,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8c32842b272f8e9829c0793c6c37729a6e222ed79597aa3fa0ddfc8e312b66b0
PRJ-DCT,PRJ-DCT-CLM-03,1,0.21439,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7da873cb6c10c8558db944db94be9100fabf48ec912bdfbeeeb14908dc48e673
PRJ-DCT,PRJ-DCT-CLM-04,2,0.39848,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4d60b0d45bf8c9fee910f1c18c2a56645cfabcaefc8fb01490dd729a6038ef82
PRJ-DCT,PRJ-DCT-CLM-05,3,0.58257,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0c68a068f754098c08da9e74ceb06b6edcb0363b463e72ba460a0c5aeb94f2e1
PRJ-DCT,PRJ-DCT-CLM-06,4,0.76666,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c6569eb206add9171d07c14f55ed18e5bbb89790d0383a0ff2e35e162c9e09e4
