project_id,requirement_id,requirement_code,requirement_name,permit_or_rule_source,jurisdiction,severity_if_breached,applicable,effective_date,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-DCT,PRJ-DCT-ENV-03,WASTE,Waste segregation and disposal,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,MEDIUM,True,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a8afcc59af2f5dc6cbd7b1290b5800737395859163511964ee2d5d7294770210
PRJ-DCT,PRJ-DCT-ENV-04,DUST,Dust and air-quality control,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,MEDIUM,True,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f9ee1af0e7f74469dec6a29380e12a1d0ce17e917abecdf2d6af464528c109c1
PRJ-DCT,PRJ-DCT-ENV-05,NOISE,Noise and work-hour control,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,LOW,True,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8f0d423bfb896a2ed82faeba35f35bca61db36e7eff45a599ae79df0e7f7cb2a
PRJ-DCT,PRJ-DCT-ENV-06,SPILL,Spill prevention and response,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,CRITICAL,True,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,369fdc1d0cee8f1eb3b6bcb38a379b311eeb0b97942b13b12ac8bcea30ab5081
PRJ-DCT,PRJ-DCT-ENV-07,DEWATERING,Dewatering discharge control,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,HIGH,False,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,aa4e25722244acd14cecc8520686c780130419f619a0e3e6596828aef656c7fa
PRJ-DCT,PRJ-DCT-ENV-08,MATERIAL_STORAGE,Hazardous-material storage,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,CRITICAL,True,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,83646b5ad5eae6aa105df594d506390fa245fae7140e72568e8f5a6e92a96e63
PRJ-HSP,PRJ-HSP-ENV-01,STORMWATER,Stormwater controls,SYNTHETIC-PERMIT-PRJ-HSP,SYNTHETIC-US,HIGH,True,2026-02-12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,66e0cb4998eb9f1ef11c1614c6eac88341b776393b34e1702cb42677a06a8eb3
PRJ-HSP,PRJ-HSP-ENV-02,EROSION,Erosion and sediment control,SYNTHETIC-PERMIT-PRJ-HSP,SYNTHETIC-US,HIGH,True,2026-02-12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,26cf7ec4b239aaca9e5bf0566674561bb9005c5850baa408ac6c459156d3baf0
PRJ-HSP,PRJ-HSP-ENV-03,WASTE,Waste segregation and disposal,SYNTHETIC-PERMIT-PRJ-HSP,SYNTHETIC-US,MEDIUM,True,2026-02-12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,50b28fe6782e201a41cec7deb1d60b33924a2aa66ec96bb4848f575333418d54
PRJ-HSP,PRJ-HSP-ENV-04,DUST,Dust and air-quality control,SYNTHETIC-PERMIT-PRJ-HSP,SYNTHETIC-US,MEDIUM,True,2026-02-12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,68016fcf71d3f3d69ebc788ec59f2729c8772ec8c5f3175d15da7b1a2dcf47f5
PRJ-HSP,PRJ-HSP-ENV-05,NOISE,Noise and work-hour control,SYNTHETIC-PERMIT-PRJ-HSP,SYNTHETIC-US,LOW,True,2026-02-12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,721840d6a67feecdd776f2cf621ee8b65f2e8fc31a2fef269229ddeb71df54c9
PRJ-HSP,PRJ-HSP-ENV-06,SPILL,Spill prevention and response,SYNTHETIC-PERMIT-PRJ-HSP,SYNTHETIC-US,CRITICAL,True,2026-02-12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c31bf97502cf535f2bb4acb84f1594123c4dd36d6ab315552ab19dc785dfbca6
PRJ-HSP,PRJ-HSP-ENV-07,DEWATERING,Dewatering discharge control,SYNTHETIC-PERMIT-PRJ-HSP,SYNTHETIC-US,HIGH,True,2026-02-12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,743db6999a6e1ed23d418964ead5cbe4178cd42171080d46fc1e9fd24d061286
PRJ-HSP,PRJ-HSP-ENV-08,MATERIAL_STORAGE,Hazardous-material storage,SYNTHETIC-PERMIT-PRJ-HSP,SYNTHETIC-US,CRITICAL,True,2026-02-12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,340f69c38eee862d0c9e41b8ec4c68da319064a185bc9f5b04d89501bef5bc3f
PRJ-HWY,PRJ-HWY-ENV-01,STORMWATER,Stormwater controls,SYNTHETIC-PERMIT-PRJ-HWY,SYNTHETIC-US,HIGH,True,2026-01-22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,735702ff23643c671414e51666f9a0c10f8449cded0b3bce38ad561204d73b73
PRJ-HWY,PRJ-HWY-ENV-02,EROSION,Erosion and sediment control,SYNTHETIC-PERMIT-PRJ-HWY,SYNTHETIC-US,HIGH,True,2026-01-22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,789fc868c399e7f5a7650f55dd049bddc2b44b28730ca40ebaeda51856392bbe
PRJ-HWY,PRJ-HWY-ENV-03,WASTE,Waste segregation and disposal,SYNTHETIC-PERMIT-PRJ-HWY,SYNTHETIC-US,MEDIUM,True,2026-01-22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e71c3cca32cfb4bc5e2722535a5f9874ab12458cd5b9db3c48ee8deaa271abc1
PRJ-HWY,PRJ-HWY-ENV-04,DUST,Dust and air-quality control,SYNTHETIC-PERMIT-PRJ-HWY,SYNTHETIC-US,MEDIUM,True,2026-01-22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ebfa2556b736c6ca9ee0f61f8a7968ab3569c3afe43856358280c8a1521f7e1c
PRJ-HWY,PRJ-HWY-ENV-05,NOISE,Noise and work-hour control,SYNTHETIC-PERMIT-PRJ-HWY,SYNTHETIC-US,LOW,True,2026-01-22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,651ab6c25977d2d0f43689d2bc94a4c6d025e6113d74a8ba192f3e1165c034a0
PRJ-HWY,PRJ-HWY-ENV-06,SPILL,Spill prevention and response,SYNTHETIC-PERMIT-PRJ-HWY,SYNTHETIC-US,CRITICAL,True,2026-01-22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,64ba15c4f76f148718307184895f940bbb01f318136c7ad83888961f971f7c46
PRJ-HWY,PRJ-HWY-ENV-07,DEWATERING,Dewatering discharge control,SYNTHETIC-PERMIT-PRJ-HWY,SYNTHETIC-US,HIGH,True,2026-01-22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5e704ab34707ac81f4000067e10bd5ee462a9c32a146967b31320a6d76556e96
PRJ-HWY,PRJ-HWY-ENV-08,MATERIAL_STORAGE,Hazardous-material storage,SYNTHETIC-PERMIT-PRJ-HWY,SYNTHETIC-US,CRITICAL,True,2026-01-22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a890a7e5ffdc40e0899d4c7734533d325d3886bfbbc57cee875f7b4a96743e89
PRJ-RAL,PRJ-RAL-ENV-01,STORMWATER,Stormwater controls,SYNTHETIC-PERMIT-PRJ-RAL,SYNTHETIC-US,HIGH,True,2026-03-26,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cba221de95eca36270c25f9146beff2699c3be1b35f856926dff5ad0ba8fbadc
PRJ-RAL,PRJ-RAL-ENV-02,EROSION,Erosion and sediment control,SYNTHETIC-PERMIT-PRJ-RAL,SYNTHETIC-US,HIGH,True,2026-03-26,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ab2597b08454138fb7a4835cb3ee52a64533a0afb50d64dd720a5655a3b41e3c
PRJ-RAL,PRJ-RAL-ENV-03,WASTE,Waste segregation and disposal,SYNTHETIC-PERMIT-PRJ-RAL,SYNTHETIC-US,MEDIUM,True,2026-03-26,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f40f26eabc0b46b6b7d7884ed85dc9f574cb7f0a2e797678d04bf9ed59cade6f
PRJ-RAL,PRJ-RAL-ENV-04,DUST,Dust and air-quality control,SYNTHETIC-PERMIT-PRJ-RAL,SYNTHETIC-US,MEDIUM,True,2026-03-26,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,38d67824a2e5bbf21777e28a7c6dac14204b18d21797fb0a6ebe5e62fb03480e
PRJ-RAL,PRJ-RAL-ENV-05,NOISE,Noise and work-hour control,SYNTHETIC-PERMIT-PRJ-RAL,SYNTHETIC-US,LOW,True,2026-03-26,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f5974efafeeef03c0d0ecae7e7921e76ad28c078a3f2261a6960e7b8cc909214
PRJ-RAL,PRJ-RAL-ENV-06,SPILL,Spill prevention and response,SYNTHETIC-PERMIT-PRJ-RAL,SYNTHETIC-US,CRITICAL,True,2026-03-26,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3209ee13aec412d054ad00f6ebba3b895e415776e24c9ce5a85978c3b0934be8
PRJ-RAL,PRJ-RAL-ENV-07,DEWATERING,Dewatering discharge control,SYNTHETIC-PERMIT-PRJ-RAL,SYNTHETIC-US,HIGH,True,2026-03-26,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b89d1c2149e5a265496075ac08e14c0b6d32d5b0877feb5f8b8d9feba1a1f73c
PRJ-RAL,PRJ-RAL-ENV-08,MATERIAL_STORAGE,Hazardous-material storage,SYNTHETIC-PERMIT-PRJ-RAL,SYNTHETIC-US,CRITICAL,True,2026-03-26,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,207f91da8a57c05300fd973d8aefd1a395863d0758048d5dce08a6ad747045df
PRJ-WTR,PRJ-WTR-ENV-01,STORMWATER,Stormwater controls,SYNTHETIC-PERMIT-PRJ-WTR,SYNTHETIC-US,HIGH,True,2026-03-05,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,71b5806387647add6b384c049553a5cec5bf34b1835c3370f2c9671f166f9683
PRJ-WTR,PRJ-WTR-ENV-02,EROSION,Erosion and sediment control,SYNTHETIC-PERMIT-PRJ-WTR,SYNTHETIC-US,HIGH,True,2026-03-05,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0c668132238fea0303406034d0029b2bafd831a152c1621ea3e521dc00cb0fb7
PRJ-WTR,PRJ-WTR-ENV-03,WASTE,Waste segregation and disposal,SYNTHETIC-PERMIT-PRJ-WTR,SYNTHETIC-US,MEDIUM,True,2026-03-05,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,70cbbcd03952e71f699d2719acc3347d60162875457eb0c59f0ef0775caac619
PRJ-WTR,PRJ-WTR-ENV-04,DUST,Dust and air-quality control,SYNTHETIC-PERMIT-PRJ-WTR,SYNTHETIC-US,MEDIUM,True,2026-03-05,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bfc19a04c6c7848d56e1c2a75bd8c172c45a903a273a5d197af7554963fcb3cb
PRJ-WTR,PRJ-WTR-ENV-05,NOISE,Noise and work-hour control,SYNTHETIC-PERMIT-PRJ-WTR,SYNTHETIC-US,LOW,True,2026-03-05,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,77b5404b519173c608d7acf49a33de4540027bd81193cfe4b03730009376ea12
PRJ-WTR,PRJ-WTR-ENV-06,SPILL,Spill prevention and response,SYNTHETIC-PERMIT-PRJ-WTR,SYNTHETIC-US,CRITICAL,True,2026-03-05,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,339d045b6586716e3f92220bd84b644f6aee5c73ce9c6362a7e9d0e0af71c88e
PRJ-WTR,PRJ-WTR-ENV-07,DEWATERING,Dewatering discharge control,SYNTHETIC-PERMIT-PRJ-WTR,SYNTHETIC-US,HIGH,True,2026-03-05,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9c4fe9c5d1e84aa3d16904db9f470dd736e8e8aa2b3ee8a885d13a478bdda5ed
PRJ-WTR,PRJ-WTR-ENV-08,MATERIAL_STORAGE,Hazardous-material storage,SYNTHETIC-PERMIT-PRJ-WTR,SYNTHETIC-US,CRITICAL,True,2026-03-05,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d535dad9c2222fa87b4faef10acc2e01758a10f64344eaa62957dc7affdd36ef
