project_id,chain_id,chain_type,activity_id,chain_sequence,feeds_into_activity_id,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-DCT,PRJ-DCT-CC,PROJECT,PRJ-DCT-A06,5,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cbe71f5c26ebc6db80506ffec8616072d18958fb1125f5a3b0e3d725da1527a3
PRJ-DCT,PRJ-DCT-CC,PROJECT,PRJ-DCT-A08,6,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3d9f0f5eccf8fd12d4509cb3d0a248ddd52977737066ff34c165ab4af7b3ac6d
PRJ-DCT,PRJ-DCT-CC,PROJECT,PRJ-DCT-A09,7,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,05c1416acac16f50358a1b1a80fb5df01e39315f70e80ea3bdb332a5d627114a
PRJ-DCT,PRJ-DCT-CC,PROJECT,PRJ-DCT-A10,8,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9cca999a2c9d278300e770f6babb64f6b4e07cfe2210d244a57f0e123f1855e7
PRJ-DCT,PRJ-DCT-CC,PROJECT,PRJ-DCT-A11,9,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,199c0c41f01c7ca1870fe3294931f21195507d4b04ee6125af9e2ffba277336d
PRJ-DCT,PRJ-DCT-CC,PROJECT,PRJ-DCT-A12,10,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,edf89273239584ca1656be3e5c17f3491c0a849fff3c23b19b0f1c3d93a74ecc
PRJ-DCT,PRJ-DCT-FC1,FEEDING,PRJ-DCT-A02,1,PRJ-DCT-A08,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a1f29d16144769c3a8f5a81291a83cad38c2ffd38c4851ed37f20accb66ca0e4
PRJ-DCT,PRJ-DCT-FC2,FEEDING,PRJ-DCT-A07,1,PRJ-DCT-A12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,26dd01e436ee19cfe7145a9919d7c5cd883697058b0e91aa0d3ee8075f334bb7
PRJ-HSP,PRJ-HSP-CC,PROJECT,PRJ-HSP-A01,1,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8463285f21b4b34bd90d07086e7bdebb17fe11786acc598dc2eef585b600d00d
PRJ-HSP,PRJ-HSP-CC,PROJECT,PRJ-HSP-A03,2,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,299b163a4b23b684883979a9291fd3996cbc054785ba3b13e521066c6b3265a3
PRJ-HSP,PRJ-HSP-CC,PROJECT,PRJ-HSP-A04,3,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7cbf56279c50dfa824c00dfa38a13c266fb2feb44703cc2e9a0448aec12fe914
PRJ-HSP,PRJ-HSP-CC,PROJECT,PRJ-HSP-A05,4,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c09a8cb329a59f35ba43b8f3700ddf26f8eb8b2874590184a7090f04558283b5
PRJ-HSP,PRJ-HSP-CC,PROJECT,PRJ-HSP-A06,5,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2bbe92c313d4a2447dfc4680a3c4d5028ebbb93da8285e713345e489fcffb8a9
PRJ-HSP,PRJ-HSP-CC,PROJECT,PRJ-HSP-A08,6,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,752cdcbbaa69ba85c31719ea254da36267d25080f8d4b19a9305f7fe3103ef45
PRJ-HSP,PRJ-HSP-CC,PROJECT,PRJ-HSP-A09,7,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,87e8bf560abd953d20e6b0fc4658e65aa86158f0d8822a2e43c142637ed0d4c7
PRJ-HSP,PRJ-HSP-CC,PROJECT,PRJ-HSP-A10,8,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ad29c60cc849fd9391dca02e018948d1cda36c551c6194bcffc26d0b4b6fad20
PRJ-HSP,PRJ-HSP-CC,PROJECT,PRJ-HSP-A11,9,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4b70ea6ec364313e6c130b666d65b35f921b84aced27a1e12c2bd65429767d38
PRJ-HSP,PRJ-HSP-CC,PROJECT,PRJ-HSP-A12,10,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f31289e26e1bf23708a060c18e1a1c2ff357264523ce04e0f800ffedbff061e3
PRJ-HSP,PRJ-HSP-FC1,FEEDING,PRJ-HSP-A02,1,PRJ-HSP-A08,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0880aec05442a46e610d3b96aaaa75db6b1093f3667a97219b90a5784e747e98
PRJ-HSP,PRJ-HSP-FC2,FEEDING,PRJ-HSP-A07,1,PRJ-HSP-A12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a4b16fbc9a08962f6ecd0a0ea96bf4473c9e37f0882ec15303856a37443f1179
PRJ-HWY,PRJ-HWY-CC,PROJECT,PRJ-HWY-A01,1,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,be4139b649d98499469bbf5e0db113f2cf4e05666b1068dad00893b4f71d5036
PRJ-HWY,PRJ-HWY-CC,PROJECT,PRJ-HWY-A03,2,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3c9a3c900a7e564abb10ef3634bc3673569b177be5ff5c45b816565e2f8ae6d2
PRJ-HWY,PRJ-HWY-CC,PROJECT,PRJ-HWY-A04,3,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e80552ae7a892df8c28a9ad83b47105172940e7b24d307f346eff730b2bb838f
PRJ-HWY,PRJ-HWY-CC,PROJECT,PRJ-HWY-A05,4,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a980c174a30ee6c71e807ff3b8299908d2940bb6afcbff5236387b4efecc61a0
PRJ-HWY,PRJ-HWY-CC,PROJECT,PRJ-HWY-A06,5,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0529258303da20b501b200a426fe6679d537b8c62487241eaf6e34b0577de460
PRJ-HWY,PRJ-HWY-CC,PROJECT,PRJ-HWY-A08,6,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c27cbd5fcd36fe092979364915c80292b7911a517df356337ab462de4438c5f2
PRJ-HWY,PRJ-HWY-CC,PROJECT,PRJ-HWY-A09,7,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,943f19df93fec20ee5be3ace385e82b195864d79faaddfab00eb520b9ad6f844
PRJ-HWY,PRJ-HWY-CC,PROJECT,PRJ-HWY-A10,8,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,63aa4fa02cbaee1e1c0466b495098d34b4ea3f265702d3c6bc97e8588089a66a
PRJ-HWY,PRJ-HWY-CC,PROJECT,PRJ-HWY-A11,9,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1ef98c6d9356356dab0bd40cfcee02fb2af9f68c08593ea6431ca9087d025cfc
PRJ-HWY,PRJ-HWY-CC,PROJECT,PRJ-HWY-A12,10,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cca4cfaa4d79962ea114e84aa681fa5ccabfe6842ef87f645305c17e28cb028a
PRJ-HWY,PRJ-HWY-FC1,FEEDING,PRJ-HWY-A02,1,PRJ-HWY-A08,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ae29070b2e3fce578c384263f42ff5c6a0936acab8d566b9facf766b15e395e3
PRJ-HWY,PRJ-HWY-FC2,FEEDING,PRJ-HWY-A07,1,PRJ-HWY-A12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,692a13bdd533d7160b1321c874ecb3e3e36baefa52b1126b1015525221f4ed76
PRJ-RAL,PRJ-RAL-CC,PROJECT,PRJ-RAL-A01,1,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c1680a85b99e56b52f3e49f91d96c63c2b52ab307c10cbce1b2819033a13f1e1
PRJ-RAL,PRJ-RAL-CC,PROJECT,PRJ-RAL-A03,2,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,91a7454797113ad11435d5e6a7d44cc4ad3a1f56c6901afec7f0a7b44b6e384f
PRJ-RAL,PRJ-RAL-CC,PROJECT,PRJ-RAL-A04,3,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a632807b8389dbcc1b5112734c71f317c1a2d9b3d5b664ad200bb0bf7f589940
PRJ-RAL,PRJ-RAL-CC,PROJECT,PRJ-RAL-A05,4,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b8d62ff863de694ddde5fdcc68444cf569b8cfb41237252e0f23f869377c0261
PRJ-RAL,PRJ-RAL-CC,PROJECT,PRJ-RAL-A06,5,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,22efec90084fca5dda2f4bb1b64283c2b2c7c74afd2e850b2c88ba7f12d358ed
PRJ-RAL,PRJ-RAL-CC,PROJECT,PRJ-RAL-A08,6,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,061bdab25fa61c5c3904fc836dc4537c06a9a11737c8b01fceddd625025d496f
PRJ-RAL,PRJ-RAL-CC,PROJECT,PRJ-RAL-A09,7,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8ca7c87a3e3089466d452aed4356381bbb941afa297068e0d57f9ef7850f5e34
PRJ-RAL,PRJ-RAL-CC,PROJECT,PRJ-RAL-A10,8,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fb3ee58d8707c303530bbfdb5ade6c68099d7a75d77cd9b49ab21b0959f973d1
PRJ-RAL,PRJ-RAL-CC,PROJECT,PRJ-RAL-A11,9,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d6335ea601e6f313dd105c29bf65ee9348cf2ee41b49098fe339cc62f88c72b9
PRJ-RAL,PRJ-RAL-CC,PROJECT,PRJ-RAL-A12,10,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8b92311a6bc47477653272f1b6b9bc6596e786047532dbd6d0ce69ac8209ebd7
PRJ-RAL,PRJ-RAL-FC1,FEEDING,PRJ-RAL-A02,1,PRJ-RAL-A08,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e5c1868247affcfaa86abab44d71e1bf9150c827923f9517b4036816ccddae2e
PRJ-RAL,PRJ-RAL-FC2,FEEDING,PRJ-RAL-A07,1,PRJ-RAL-A12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f03c3ee1d1dc94371af7ecc4c6ac8e36fe4dc53c682466fe524efec1678d78a4
PRJ-WTR,PRJ-WTR-CC,PROJECT,PRJ-WTR-A01,1,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,17e9af7e9532e43243e0541ff285a25367d452b4ed0a03fb92a2c1756190311d
PRJ-WTR,PRJ-WTR-CC,PROJECT,PRJ-WTR-A03,2,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,aad8dafc3c6c80aa68ca36ec47a5ef46b00943c295fe2db87d42d6b422d6335d
PRJ-WTR,PRJ-WTR-CC,PROJECT,PRJ-WTR-A04,3,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0a5256c913a32e3826f1ba05503ed929bcdfc9f2aa290764c38d4118f417629e
PRJ-WTR,PRJ-WTR-CC,PROJECT,PRJ-WTR-A05,4,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d8f9039577efac5f3626f4ab3d759bb54942dad47fc97366b3c35faaec71524c
PRJ-WTR,PRJ-WTR-CC,PROJECT,PRJ-WTR-A06,5,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cc3474fa54fb2f0daf14596c52579daada647ebdff9ac622c219d238620289da
PRJ-WTR,PRJ-WTR-CC,PROJECT,PRJ-WTR-A08,6,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,641dd2ec5a3923f0ee1ea159c8e8ce76ef771be6b09e0ab5d41be81d2163b322
PRJ-WTR,PRJ-WTR-CC,PROJECT,PRJ-WTR-A09,7,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b3dd43800563b9f925b3fa7338a2a7dd9cb8a76674ff384b04947f1754717532
PRJ-WTR,PRJ-WTR-CC,PROJECT,PRJ-WTR-A10,8,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,456bd22d4368d25ecc585870d88f5d9ee23bc074f8114f2bd645d42206311386
PRJ-WTR,PRJ-WTR-CC,PROJECT,PRJ-WTR-A11,9,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7b0703943e4d5fcb119546d8883434c94e4bee75eb1c3aae657a1a0276a38e85
PRJ-WTR,PRJ-WTR-CC,PROJECT,PRJ-WTR-A12,10,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,467bf1c82b9946292de63ba0a812025fb42502bd68c63cae94dcfbc373bbd49a
PRJ-WTR,PRJ-WTR-FC1,FEEDING,PRJ-WTR-A02,1,PRJ-WTR-A08,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ade041aa75d77b0683bc69394554087f9892f43c74cbacbab7e4e8c1d517d252
PRJ-WTR,PRJ-WTR-FC2,FEEDING,PRJ-WTR-A07,1,PRJ-WTR-A12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8008d44bf7081f6e6335789b6db69fa5c6cb685c188d98272bb03cf3197b39b8
