project_id,component_kind,component_id,component_name,occurrence_probability,distribution_type,low,most_likely,high,dependency_group,analytic_expected_value_usd,analytic_variance_usd2,expectation_formula,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,RISK_EVENT,PRJ-AIR-CR-01,DESIGN_GROWTH,0.205,TRIANGULAR,385000.0,770000.0,1540000.0,INDEPENDENT,184158.333333,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,104de4405a3bffe6380645c2b76444b39b72c0cc57258d65956b10ea6b303ce5
PRJ-AIR,RISK_EVENT,PRJ-AIR-CR-02,MARKET_ESCALATION,0.265,TRIANGULAR,770000.0,1540000.0,3080000.0,INDEPENDENT,476116.666667,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9fa54a81250ee5f615012ed973e54e78b8725b8cb7ef58a142951bb9f4eb1143
PRJ-AIR,RISK_EVENT,PRJ-AIR-CR-03,PRODUCTIVITY,0.325,TRIANGULAR,1155000.0,2310000.0,4620000.0,INDEPENDENT,875875.0,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,29673cd3eb984801bd720b1f8a3c7cb792574b2f8e46f1ad3259799bc3d86949
PRJ-AIR,RISK_EVENT,PRJ-AIR-CR-04,PROCUREMENT,0.145,TRIANGULAR,1540000.0,3080000.0,6160000.0,INDEPENDENT,521033.333333,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1a2d096d8ce74d92d796cd125e9742af86aacc5739cfa7731d24148425889a2e
PRJ-AIR,RISK_EVENT,PRJ-AIR-CR-05,WEATHER,0.205,TRIANGULAR,1925000.0,3850000.0,7700000.0,INDEPENDENT,920791.666667,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5b2dece63ea76b7144708e7981cfda4d2cbdace63dd1428632450cb1ca002f2c
PRJ-AIR,RISK_EVENT,PRJ-AIR-CR-06,COMMISSIONING,0.265,TRIANGULAR,2310000.0,4620000.0,9240000.0,INDEPENDENT,1428350.0,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,819e507d593ff2ededb8d65a3e357a62badc859927c75c4a6b80f9ee856a393c
PRJ-HWY,COST_ELEMENT,PRJ-HWY-CE-01,DESIGN,1.0,TRIANGULAR,32342124.72,33947858.42,36867374.24,CG-1,34385785.793333,877217682133.5278,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6908b9f29edb09a20cbb3924812030ad6d02887443aefece341e239a4dd0e8e1
PRJ-HWY,COST_ELEMENT,PRJ-HWY-CE-02,GENERAL_CONDITIONS,1.0,TRIANGULAR,10685381.57,11346906.21,12549678.26,CG-1,11527322.013333,148885488942.59027,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b33f289fee727cd15934b063dce826d65ce6fa43d5f80f19ebbf97dc7f65f421
PRJ-HWY,COST_ELEMENT,PRJ-HWY-CE-03,CIVIL,1.0,TRIANGULAR,9877123.38,10612574.81,11949759.24,CG-1,10813152.476667,184021400385.5946,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b34ca084735d11f88f388378c695ec58c71f769c2c3517718b0be02697c7110c
PRJ-HWY,COST_ELEMENT,PRJ-HWY-CE-04,STRUCTURE,1.0,TRIANGULAR,4909557.63,5338216.4,6117596.0,CG-2,5455123.343333,62514933482.954,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,137ae769abfb4932213d0dd397cbb6a5f943f097be8a7fae341ea5ec4a1c0b4c
PRJ-HWY,COST_ELEMENT,PRJ-HWY-CE-05,ENVELOPE,1.0,TRIANGULAR,27553422.74,28921405.2,31408646.05,CG-2,29294491.33,636680272965.1041,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,97aee8fc54d1dd4f4ce9927295c732bf061303f72a51a858175569863e46b33b
PRJ-HWY,COST_ELEMENT,PRJ-HWY-CE-06,MEP,1.0,TRIANGULAR,14925048.38,15849047.87,17529046.94,CG-2,16101047.73,290471678700.0851,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8c5c5bcfd16fdad02da637c6ed1e8a3b3c490ee27c0258c69a9671381f5c07f4
PRJ-HWY,COST_ELEMENT,PRJ-HWY-CE-07,SYSTEMS,1.0,TRIANGULAR,12921687.79,13883837.75,15633201.3,CG-3,14146242.28,314953080291.9219,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,227a462d5200eb41f2b973099c0fb178bb74571ea8af21c396ba1892ec87a663
PRJ-HWY,COST_ELEMENT,PRJ-HWY-CE-08,PROCUREMENT,1.0,TRIANGULAR,41701991.32,45343037.21,51963120.64,CG-3,46336049.723333,4510374853194.723,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,627e7cc65ebe244c8d29754006a2572675cc360ce6e6ce90d93c416e016923ec
PRJ-HWY,COST_ELEMENT,PRJ-HWY-CE-09,COMMISSIONING,1.0,TRIANGULAR,16883111.67,17721330.61,19245365.04,CG-3,17949935.773333,239042581091.01736,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6ef2cd2576d837409cfb2d142e841c1bda75c3c2ec21fbfafc89cfad9177b906
PRJ-HWY,COST_ELEMENT,PRJ-HWY-CE-10,CONTINGENCY,1.0,TRIANGULAR,25459599.23,27035785.53,29901578.8,CG-4,27465654.52,845231022749.5139,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,286e0b218b08e4b941c554c42b2ff7973c871cd9199b94f847fe6f97721d48a5
PRJ-HWY,RISK_EVENT,PRJ-HWY-CR-01,DESIGN_GROWTH,0.19,TRIANGULAR,210000.0,420000.0,840000.0,INDEPENDENT,93100.0,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6f6f700dea443f2bf2f989e6f5dfb19c79d1a7878276c7b590fda01d647db11f
PRJ-HWY,RISK_EVENT,PRJ-HWY-CR-02,MARKET_ESCALATION,0.25,TRIANGULAR,420000.0,840000.0,1680000.0,INDEPENDENT,245000.0,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e38341c224e6e3c53d14fd69eef45e94c46ff867223bf7c593ab20fbd29ba503
PRJ-HWY,RISK_EVENT,PRJ-HWY-CR-03,PRODUCTIVITY,0.31,TRIANGULAR,630000.0,1260000.0,2520000.0,INDEPENDENT,455700.0,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c03213a2e5593c7ea70c5b4ab23b77c412d4a0942b33c4300c2d400dbc3a1494
PRJ-HWY,RISK_EVENT,PRJ-HWY-CR-04,PROCUREMENT,0.13,TRIANGULAR,840000.0,1680000.0,3360000.0,INDEPENDENT,254800.0,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0ad28902cb9a0bff76ae602325ec9609d3d8835fe101fe8bbd894aaa68b3deab
PRJ-HWY,RISK_EVENT,PRJ-HWY-CR-05,WEATHER,0.19,TRIANGULAR,1050000.0,2100000.0,4200000.0,INDEPENDENT,465500.0,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ec26e96f0c7809dcc56e330d56b78c07c9ca817574c1596d3b776d23d32b1412
PRJ-HWY,RISK_EVENT,PRJ-HWY-CR-06,COMMISSIONING,0.25,TRIANGULAR,1260000.0,2520000.0,5040000.0,INDEPENDENT,735000.0,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8b41529444b92536fdecf4a02a125ae8d92fdb05d985ee964e7a6a4508d640b3
PRJ-HSP,COST_ELEMENT,PRJ-HSP-CE-01,DESIGN,1.0,TRIANGULAR,25675228.14,27161649.4,29864233.51,CG-1,27567037.016667,751699306213.7014,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,34f1dad867c421a7208db1555e2731aae5d2224774f3f33d5cca19025a3de041
PRJ-HSP,COST_ELEMENT,PRJ-HSP-CE-02,GENERAL_CONDITIONS,1.0,TRIANGULAR,63365601.22,67823286.74,75928169.5,CG-1,69039019.153333,6760505737172.833,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ccf8a1687833ca89f4a2b380cf59ab30b97cde805e68a36a58b620c746219969
PRJ-HSP,COST_ELEMENT,PRJ-HSP-CE-03,CIVIL,1.0,TRIANGULAR,53974617.52,58459957.78,66615121.89,CG-1,59683232.396667,6844648045472.223,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b750e4b04f9b8637690e6644cd9e8ed0c919236d3eaa3164f75b330fd88b4cf8
PRJ-HSP,COST_ELEMENT,PRJ-HSP-CE-04,STRUCTURE,1.0,TRIANGULAR,6624149.04,7261131.83,8419282.36,CG-2,7434854.41,138043426707.49088,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,54266426c07c45201bb741d87e6c8f8f53c1cb4dbbc7cfd4ef1b9e56730b473d
PRJ-HSP,COST_ELEMENT,PRJ-HSP-CE-05,ENVELOPE,1.0,TRIANGULAR,42550769.58,45014170.04,49493079.96,CG-2,45686006.526667,2064573591946.056,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,452a5771c230fefe47f90f303ba3dc7f34773b0fffc824a21f3fda28d6ff4b3e
PRJ-HSP,COST_ELEMENT,PRJ-HSP-CE-06,MEP,1.0,TRIANGULAR,123293530.57,131967065.98,147737130.37,CG-2,134332575.64,25594853293217.33,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6ef9d9f76b14c936cf9fd345d110d7c16962cc368ead0126dd5781a49cb5bda8
PRJ-HSP,COST_ELEMENT,PRJ-HSP-CE-07,SYSTEMS,1.0,TRIANGULAR,22677210.87,24561707.91,27988066.16,CG-3,25075661.646667,1208234551734.2432,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,367f03bbebc4e4593fd33a11d97dbfb14f5ffa167f1f3cf21f0d2228dd27ae0e
PRJ-HSP,COST_ELEMENT,PRJ-HSP-CE-08,PROCUREMENT,1.0,TRIANGULAR,40282592.96,44156195.18,51199108.31,CG-3,45212632.15,5104936858397.223,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,76535d5901f5cab9477e21d3c3cbb9b7831d08bdca36f90fc6fb1c06124578af
PRJ-HSP,COST_ELEMENT,PRJ-HSP-CE-09,COMMISSIONING,1.0,TRIANGULAR,45661125.65,48304594.59,53110901.76,CG-3,49025540.666667,2377435576062.9165,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cff4ca2c064881301e546d6b94d148393a93a03cf47a4cdc722ea98518f1a2a2
PRJ-HSP,COST_ELEMENT,PRJ-HSP-CE-10,CONTINGENCY,1.0,TRIANGULAR,4942539.5,5290240.56,5922424.3,CG-4,5385068.12,41131292486.57075,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6e3d210410c8d1bd5a84188a3f260582ed22ab964ba07e776e1ec14be87f3da6
PRJ-HSP,RISK_EVENT,PRJ-HSP-CR-01,DESIGN_GROWTH,0.2125,TRIANGULAR,460000.0,920000.0,1840000.0,INDEPENDENT,228083.333333,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,33454780d8021f6686568129a3bb2daa615b566b24520d7210c708033872e0f6
PRJ-HSP,RISK_EVENT,PRJ-HSP-CR-02,MARKET_ESCALATION,0.2725,TRIANGULAR,920000.0,1840000.0,3680000.0,INDEPENDENT,584966.666667,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6a819e8a8d02684ff6d1425bc2c30976dbde4845f8fbbd15cf02efe0500b19a6
PRJ-HSP,RISK_EVENT,PRJ-HSP-CR-03,PRODUCTIVITY,0.3325,TRIANGULAR,1380000.0,2760000.0,5520000.0,INDEPENDENT,1070650.0,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b531782d8a978bba7c352997d2fffd33c573fccdac6e378cc91285a3f9926391
PRJ-HSP,RISK_EVENT,PRJ-HSP-CR-04,PROCUREMENT,0.1525,TRIANGULAR,1840000.0,3680000.0,7360000.0,INDEPENDENT,654733.333333,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,252181c626cffd360deea2e8d0efe43278ce11ff403256018efd2bd2c5b212e8
PRJ-HSP,RISK_EVENT,PRJ-HSP-CR-05,WEATHER,0.2125,TRIANGULAR,2300000.0,4600000.0,9200000.0,INDEPENDENT,1140416.666667,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5c87a603150d581b5bcdfa1113dc9f42e0093cd623fbdc9993fc7e9a9f518b0c
PRJ-HSP,RISK_EVENT,PRJ-HSP-CR-06,COMMISSIONING,0.2725,TRIANGULAR,2760000.0,5520000.0,11040000.0,INDEPENDENT,1754900.0,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f4432d95ccd15d78373ad623c2ee9a3b59f837b7f626018ec394a70147158d5a
PRJ-WTR,COST_ELEMENT,PRJ-WTR-CE-01,DESIGN,1.0,TRIANGULAR,9767563.12,10217116.24,11034485.54,CG-1,10339721.633333,68757861071.74739,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,29caecacb69759cadaa8c6f140b800bff3c46ba5497aa55eda18e85f1a2c3715
PRJ-WTR,COST_ELEMENT,PRJ-WTR-CE-02,GENERAL_CONDITIONS,1.0,TRIANGULAR,19411429.08,20541194.8,22595314.28,CG-1,20849312.72,434247288527.2605,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,520469f9eafcdc70ddb98f6a663af7edde10c0faac61d4b582aa6ba8e41cf105
PRJ-WTR,COST_ELEMENT,PRJ-WTR-CE-03,CIVIL,1.0,TRIANGULAR,6204525.14,6642960.53,7440115.8,CG-1,6762533.823333,65399066521.45703,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1aa08378f157875a65c85fccda690e62b8e1093e4accd82da195f05647d84e04
PRJ-WTR,COST_ELEMENT,PRJ-WTR-CE-04,STRUCTURE,1.0,TRIANGULAR,8828077.36,9564547.52,10903584.17,CG-2,9765403.016667,184531554582.49915,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6906d82ced98ae60f659a15c7365675bcb1a0e4a77ddd3b1f584708a48b7bee9
PRJ-WTR,COST_ELEMENT,PRJ-WTR-CE-05,ENVELOPE,1.0,TRIANGULAR,1157696.61,1210979.71,1307858.09,CG-2,1225511.47,965916092.578478,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fc4de37acdd7f050559591b9ada3c901f2c8fef5175c687e5ccf2e9310d21b92
PRJ-WTR,COST_ELEMENT,PRJ-WTR-CE-06,MEP,1.0,TRIANGULAR,10319513.0,10920119.58,12012131.54,CG-2,11083921.373333,122727108518.72224,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1e9a79aa34a5cfd4d73b0f111bcbc76b1de6431796559f3a01c1b51c5e66b60e
PRJ-WTR,COST_ELEMENT,PRJ-WTR-CE-07,SYSTEMS,1.0,TRIANGULAR,11066340.35,11848330.14,13270129.76,CG-3,12061600.083333,208047498742.3524,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,42ddb11ffb60199a63f4b829129eb44dcbed2c9ea782f8a52954e371c60088ef
PRJ-WTR,COST_ELEMENT,PRJ-WTR-CE-08,PROCUREMENT,1.0,TRIANGULAR,33121635.84,35884762.56,40908629.31,CG-3,36638342.57,2597538158176.597,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,581386b2a3df92c2a1e8ae8ba2c9a67bb06100e1936b963e87ef761021206edb
PRJ-WTR,COST_ELEMENT,PRJ-WTR-CE-09,COMMISSIONING,1.0,TRIANGULAR,32813262.53,34323496.37,37069376.08,CG-3,34735378.326667,775976782882.3334,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4f1fb44cc91cd80e1d7e78e02461b0b9f2e0fd9ec9c8636f10337f2a2a7c8ffb
PRJ-WTR,COST_ELEMENT,PRJ-WTR-CE-10,CONTINGENCY,1.0,TRIANGULAR,31984935.46,33846492.55,37231141.81,CG-4,34354189.94,1178997957759.0972,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c6d2befbdb6148d2c3bb35da6e8a2846b8624039f9251ac8a9ecf14453ae765b
PRJ-WTR,RISK_EVENT,PRJ-WTR-CR-01,DESIGN_GROWTH,0.18,TRIANGULAR,175000.0,350000.0,700000.0,INDEPENDENT,73500.0,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c1dbc6a6c85f15d22abe3cfda540096d03ff7d2f750fa277c771ecedfe55abc6
PRJ-WTR,RISK_EVENT,PRJ-WTR-CR-02,MARKET_ESCALATION,0.24,TRIANGULAR,350000.0,700000.0,1400000.0,INDEPENDENT,196000.0,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,82e959165af6128b572b169264cfe502527d005156540b530d322a17f7a6f9e3
PRJ-WTR,RISK_EVENT,PRJ-WTR-CR-03,PRODUCTIVITY,0.3,TRIANGULAR,525000.0,1050000.0,2100000.0,INDEPENDENT,367500.0,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f5b6dc5718a739e420a6dc37816bb35cc22af50c4b65a4fdddd6296297b3648e
PRJ-WTR,RISK_EVENT,PRJ-WTR-CR-04,PROCUREMENT,0.12,TRIANGULAR,700000.0,1400000.0,2800000.0,INDEPENDENT,196000.0,,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5a5fc79789608367988cbe2156ee9e799c3e66bd4390910d6c34712ce25157c2
