project_id,period_id,audit_id,audit_date,inspections_completed,work_packages_audited,total_findings,critical_findings,new_ncr_count,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-HWY,P01,PRJ-HWY-P01-QA,2026-03-13,25,8,3,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d6b881c7e8d44657426fb0b083550e636327b4e308be81add7788d3a425e6190
PRJ-HWY,P02,PRJ-HWY-P02-QA,2026-05-03,27,9,1,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e43f44acc722c582b749d15fdb165bf0c9a2f908fe997b4269ecdb8b4236ed95
PRJ-HWY,P03,PRJ-HWY-P03-QA,2026-06-23,29,9,6,0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dac1d74e3102b7a5b2ea27807d59fdb73867604522acde3779bfe9b772baefd7
PRJ-HWY,P04,PRJ-HWY-P04-QA,2026-08-13,30,10,1,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,af5f89c7d072bf185e2f002a3a33dbd68248e4cfd493b5d414a7f6fad332aef0
PRJ-HWY,P05,PRJ-HWY-P05-QA,2026-10-03,33,11,9,0,8,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,119508db8ae6342aa859e4cb37387779c7c35421a8ccf7b5fb81259cc77bd082
PRJ-HWY,P06,PRJ-HWY-P06-QA,2026-11-24,38,12,2,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d9e0fe1c8dfe2a6924a11ba6a530d070e98b4e2b3d7858ff5ab31295c5c45fa1
PRJ-RAL,P01,PRJ-RAL-P01-QA,2026-05-16,24,8,2,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a7e7e89fcdb809c9c2ea09532b59703b80224f1ddb078d5eb1cb1cb057882a01
PRJ-RAL,P02,PRJ-RAL-P02-QA,2026-07-07,24,8,3,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c56aa7602f92a175c48a2806e05780ba2026abc46f1b4be0788d16aaa31789bb
PRJ-RAL,P03,PRJ-RAL-P03-QA,2026-08-29,31,10,2,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c3ab2d87849cb194d9da2006dff8298051006bb92074f99393fa59593aea9387
PRJ-RAL,P04,PRJ-RAL-P04-QA,2026-10-20,30,10,4,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e8a5d2caa7bd2bb0ef41d3f6a2a55903f94d11beef4ccd052253cd4bb8cfa8f2
PRJ-RAL,P05,PRJ-RAL-P05-QA,2026-12-11,34,11,4,1,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bc5cf678c327a9be5f84eaa3d9bfd33153f959089f134401fae95c13b13b4fbb
PRJ-RAL,P06,PRJ-RAL-P06-QA,2027-02-02,37,12,8,0,7,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8402014296ae8a633b2f740f76c449a16de73e2ec24b90a1df87e1b3db856329
PRJ-WTR,P01,PRJ-WTR-P01-QA,2026-04-16,21,7,0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,55016b5af30292ab0f4d9d1d07e354b73d1bacef5e4c4f739410105cf7e61201
PRJ-WTR,P02,PRJ-WTR-P02-QA,2026-05-29,28,9,3,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6a510453d2532adf1fa29186f0b276599d4b575180c898aa6cc889fdd9fe9bfe
PRJ-WTR,P03,PRJ-WTR-P03-QA,2026-07-12,27,9,3,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,92b757372518a38cd4fb607b170d64f2a86f8afb779fbff7da7bb5c014622eb5
PRJ-WTR,P04,PRJ-WTR-P04-QA,2026-08-24,30,10,3,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,12ee8bf98660e3c99fd79a29389c181a843e2b4d0a156319a9e8727101dd5b07
PRJ-WTR,P05,PRJ-WTR-P05-QA,2026-10-06,36,12,3,0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e0032e06537cabce896c9e73aa37a26e07aadf1731abaf6787c20128b5b6ecf0
PRJ-WTR,P06,PRJ-WTR-P06-QA,2026-11-19,40,13,4,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9e106163297a3d00fa1f1d9ebe0340039e4024d6f2a859ce341a421e844af522
