project_id,risk_event_id,risk_name,probability,low_impact_usd,most_likely_impact_usd,high_impact_usd,occurrence_model,impact_distribution_type,impact_parameterisation,dependence_model,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-HWY,PRJ-HWY-CR-05,WEATHER,0.19,1050000.0,2100000.0,4200000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1749d393cdfabff2ce7205ad166d5c32c70f6677a76c80691425755f280cd4f9
PRJ-HWY,PRJ-HWY-CR-06,COMMISSIONING,0.25,1260000.0,2520000.0,5040000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dfd671f991601d6a634f4590a95bc8bc309c59893d7b9ed97d846b8183193c88
PRJ-HSP,PRJ-HSP-CR-01,DESIGN_GROWTH,0.2125,460000.0,920000.0,1840000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cf63eb71d753dfb2de212b287fefe23aaff7a5b17b60c7183fd3d6319629bdbb
PRJ-HSP,PRJ-HSP-CR-02,MARKET_ESCALATION,0.2725,920000.0,1840000.0,3680000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b066ad58f2986c0fa5c43cc763e03e0ff22ade8e260feff2dcbf71144f838bc8
PRJ-HSP,PRJ-HSP-CR-03,PRODUCTIVITY,0.3325,1380000.0,2760000.0,5520000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3303cff5c0edacc3664003bc52ddb9629bdb524e4505d13d75b0b2cc969142a3
PRJ-HSP,PRJ-HSP-CR-04,PROCUREMENT,0.1525,1840000.0,3680000.0,7360000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b7be3f3c71398153c93968c664e1888f5c39aa5e839fcf9f2b20ee042255f0c8
PRJ-HSP,PRJ-HSP-CR-05,WEATHER,0.2125,2300000.0,4600000.0,9200000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,242d57c239c2daef153fd78312d632221babc5b91bf49d352151c1e61021117b
PRJ-HSP,PRJ-HSP-CR-06,COMMISSIONING,0.2725,2760000.0,5520000.0,11040000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,23aacfdb4f8a56e0ec72b3b027e3eb71f870d8ed1db19f7b2b2d11013030b740
PRJ-WTR,PRJ-WTR-CR-01,DESIGN_GROWTH,0.18,175000.0,350000.0,700000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0dea0263648a3fa33fadafd7584b85de0a48a8560a9fb896b8e49647bb5871b2
PRJ-WTR,PRJ-WTR-CR-02,MARKET_ESCALATION,0.24,350000.0,700000.0,1400000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e743496f3f6d8009ea5095215fd13de1ec75ec0a46695e0431bb1b7844671f5a
PRJ-WTR,PRJ-WTR-CR-03,PRODUCTIVITY,0.3,525000.0,1050000.0,2100000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e9da0e30cf8ea0556db9f687d6028479a7e6bd97ba08b4b61cc68fb93a7338f7
PRJ-WTR,PRJ-WTR-CR-04,PROCUREMENT,0.12,700000.0,1400000.0,2800000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c723b9f0c58901454c345f93d92c5fa02f052048eebcb15092cd3ac18b0ce14b
PRJ-WTR,PRJ-WTR-CR-05,WEATHER,0.18,875000.0,1750000.0,3500000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f8cb90f5ebf918005035b473ea1e7e2c3d6b36843430b4f8f704cbc3c86bddae
PRJ-WTR,PRJ-WTR-CR-06,COMMISSIONING,0.24,1050000.0,2100000.0,4200000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5344b9112572cc7e4fba808d744e82cacd74a8ff16677eaa28ac7d21b0af41a0
PRJ-RAL,PRJ-RAL-CR-01,DESIGN_GROWTH,0.2,290000.0,580000.0,1160000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f2b60c8d52bcaf3a7c2d923b4a58cefe145e8ca8149e8d51a2c5baec01fe339c
PRJ-RAL,PRJ-RAL-CR-02,MARKET_ESCALATION,0.26,580000.0,1160000.0,2320000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,39747e186bcd99a2724a57d1e16eefef749e2407acbb0e5b5c96deaeac6872d1
PRJ-RAL,PRJ-RAL-CR-03,PRODUCTIVITY,0.32,870000.0,1740000.0,3480000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,70a414e466f0bd9139f4ac7c808957b42d890951e831c7de937f80077141a3c6
PRJ-RAL,PRJ-RAL-CR-04,PROCUREMENT,0.14,1160000.0,2320000.0,4640000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,12bfb96f1d72de20032384cfc4621c6017210f37bd497de01df016498d660b4f
PRJ-RAL,PRJ-RAL-CR-05,WEATHER,0.2,1450000.0,2900000.0,5800000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5a21c3f635c3166d7ce40493c4f47b8c59c3ca7c60c8ff776b75ac999b085aa7
PRJ-RAL,PRJ-RAL-CR-06,COMMISSIONING,0.26,1740000.0,3480000.0,6960000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8f8cbbfa7e7878c123d333574746183d41235157f6899fb9feda27c675b5b322
PRJ-DCT,PRJ-DCT-CR-01,DESIGN_GROWTH,0.1825,240000.0,480000.0,960000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0365a18a8d56b84445a0aa2fe388f6400e93072281a35114beb784d01a0a8d62
PRJ-DCT,PRJ-DCT-CR-02,MARKET_ESCALATION,0.2425,480000.0,960000.0,1920000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2a9c731ad6c5f2f96c436d40d4ecf849b6b8207fa82eef9554821a87086c51e8
PRJ-DCT,PRJ-DCT-CR-03,PRODUCTIVITY,0.3025,720000.0,1440000.0,2880000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,95149a600e99a2ada40769323becc609b46ba8b9331ab641f8f0f15979f3cc53
PRJ-DCT,PRJ-DCT-CR-04,PROCUREMENT,0.1225,960000.0,1920000.0,3840000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c2545c60010deab038df07f672ec80e178e25dd6fa8e0f543203033e79e51a1f
PRJ-DCT,PRJ-DCT-CR-05,WEATHER,0.1825,1200000.0,2400000.0,4800000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,47b4ca03523fb1dc3c7d152923c96c9ba2070b03e7091093902e69baf8cf548f
PRJ-DCT,PRJ-DCT-CR-06,COMMISSIONING,0.2425,1440000.0,2880000.0,5760000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d4fef1dd94af6b4d813be2004c90486e3e31fc07413b090ee0faa76f80531a2e
