reference_project_id,project_type,delivery_method,region,gross_area_m2,length_km,capacity_units,floors,complexity_index,design_completeness,location_factor,baseline_cost_usd,split,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0011,RAIL_STATION,DESIGN_BUILD,US-NORTHEAST,17940.878,14.216,64.873,3,0.572476,0.840683,1.18,194347168.28,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f0d80f9df0e3d3be1a6520ff2bb7fb8bff40b4d4b7ea53dad62a84f7b257e927
REF-0012,DATA_CENTER,DESIGN_BUILD,US-NORTHEAST,52134.234,0.0,117.521,2,0.349732,0.35,1.18,161225878.51,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fa95f3ddb4f6233a88c04e485cf3b40880f7a670bd6259e270762ac698115671
REF-0013,AIRPORT_TERMINAL,CMAR,US-NORTHEAST,61852.178,0.0,19.988,3,0.269658,0.499466,1.18,189208052.28,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b9891e105b55c527b49414dde8753f7afe7a772c9704ffd28fdf1d57dd3f1bb0
REF-0014,HIGHWAY_CORRIDOR,CMAR,US-NORTHEAST,10078.128,23.574,81.606,1,0.568899,0.371825,1.18,192050394.03,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,52a2d3ac8866a2b9692d1f8b78ca85fb7fb6c6173cb146a115e8a17531c0db99
REF-0015,VERTICAL_HOSPITAL,CMAR,US-NORTHEAST,28607.542,7.826,75.371,8,0.740407,0.821206,1.18,260563763.04,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0c3150f804fc1883b604df2e432cf640342e88506e90d7d6df8af31806044bfb
REF-0016,WATER_TREATMENT,CMAR,US-NORTHEAST,0.0,0.691,105.535,1,0.934291,0.921696,1.18,162891787.48,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8994e751f42621f3f99f7ce0b624291c5df279da3abcf9cc2c9ee7e5757fd5a3
REF-0017,RAIL_STATION,CMAR,US-NORTHEAST,16671.7,20.746,62.104,4,0.295602,0.35,1.18,212761105.24,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c07c3ff019586a7ea6da5529cfc56af06e7852d14ca69b05653ea555703cb5df
REF-0018,DATA_CENTER,CMAR,US-NORTHEAST,38913.166,7.016,146.283,1,0.690246,0.556839,1.18,207578466.99,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9415c824dee8ee77c1c4b1b69e3fc28f87798ca7491e429e2e40e69685a18e60
REF-0019,AIRPORT_TERMINAL,EPCM,US-NORTHEAST,54486.902,3.562,1.0,2,0.332861,0.773104,1.18,201014453.56,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0b01788326a9e8d66709eb557ad7987c42172f9fac31ea4db6f3459bc402c9f8
REF-0020,HIGHWAY_CORRIDOR,EPCM,US-NORTHEAST,18723.051,15.691,21.519,5,0.710355,0.801947,1.18,192725360.53,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e843fae81d70a3d6787702301c9175a26eda151e884fe44485911941b2e1ad40
REF-0021,VERTICAL_HOSPITAL,EPCM,US-NORTHEAST,49559.273,0.0,33.567,10,0.609769,0.736864,1.18,244956678.22,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b73745a74629e6b3616c520b77237fada3b15b027aad7266b88b2566f4f07551
REF-0022,WATER_TREATMENT,EPCM,US-NORTHEAST,12292.804,5.377,87.873,7,0.498695,0.8701,1.18,173685133.41,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ae36d790d7acd5e6eaf90eec8e61b8853d66f1417973dca0231cbeeb8126a01f
REF-0023,RAIL_STATION,EPCM,US-NORTHEAST,21414.871,11.451,92.096,4,0.824618,0.707129,1.18,233799884.58,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6ac94d3219508b5e2e8c0b702e0e03c5d930133ac98b398fa506427956a888e6
REF-0024,DATA_CENTER,EPCM,US-NORTHEAST,53055.789,0.0,143.776,7,0.37732,0.902535,1.18,196171471.36,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3b871e891aa894706c3d3ecd61526db8f8d94aa94d957fd2918824d3e519b3c7
REF-0025,AIRPORT_TERMINAL,DESIGN_BID_BUILD,US-SOUTHEAST,38817.623,0.0,61.714,9,0.792735,0.550949,0.94,183867305.85,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8c51442fa9138c2db3981ee79dfb124e8d3270db198aebcac0ed39df16151663
REF-0026,HIGHWAY_CORRIDOR,DESIGN_BID_BUILD,US-SOUTHEAST,29517.429,16.186,56.867,2,0.826252,0.893248,0.94,167552011.36,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,19453f1628932dbbd8bd33c5666935b8c3fc5b5210fbdc04a228340686484e75
REF-0027,VERTICAL_HOSPITAL,DESIGN_BID_BUILD,US-SOUTHEAST,32529.427,2.672,84.345,9,0.819023,0.865486,0.94,210091691.17,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2492863b0424d59bcc517651bc05995be3cdb1b417b4d76d10a9bdcfd92149db
REF-0028,WATER_TREATMENT,DESIGN_BID_BUILD,US-SOUTHEAST,3777.958,0.0,127.6,2,0.623647,0.777787,0.94,120240894.8,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,63c6d3def9746dc65b27ae27d4395c3d51cf9f718c34f7a94355940caa9fd554
REF-0029,RAIL_STATION,DESIGN_BID_BUILD,US-SOUTHEAST,19715.688,13.183,44.398,7,0.639267,0.848014,0.94,176519334.92,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0279abe9b5f8eee88352033540db7b5063fadfe694328df51635bb9ea24ebd21
REF-0030,DATA_CENTER,DESIGN_BID_BUILD,US-SOUTHEAST,59032.513,6.618,129.818,2,0.280792,0.790318,0.94,160422191.65,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e4d2f6f4462509378c6dbd422e554202c7fef8f0362b41a535518b10fdb8451e
REF-0031,AIRPORT_TERMINAL,DESIGN_BUILD,US-SOUTHEAST,41765.624,0.0,35.502,1,0.636049,0.584453,0.94,157644027.98,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,db7d667edbe99ef4e99f25c4ff389d79cea3e0ac33cc33514777fa7c4c3c14b1
REF-0032,HIGHWAY_CORRIDOR,DESIGN_BUILD,US-SOUTHEAST,0.0,13.238,29.794,1,0.553999,0.938296,0.94,110112129.63,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4a1d307a32af22f0c9e38dd249b3f7230adf7c15eb6f3eb22fb15a991de52c30
REF-0033,VERTICAL_HOSPITAL,DESIGN_BUILD,US-SOUTHEAST,56676.208,0.928,61.783,13,0.557849,0.691135,0.94,207045918.97,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c2ab3e681416c2b55bf5e6c129c70e3643f96b03431eb88ce218188a2c1b2c8f
REF-0034,WATER_TREATMENT,DESIGN_BUILD,US-SOUTHEAST,2055.943,7.551,92.18,10,0.657346,0.522301,0.94,134582480.93,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c6906f8e01e366b034b9cf3a2764a43fcc0296ef3f49c53675172c6652a7eb45
REF-0035,RAIL_STATION,DESIGN_BUILD,US-SOUTHEAST,26920.258,20.571,46.709,1,0.438663,0.736513,0.94,172630022.41,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f428b820d5038888348d6113360e8c769b35d0ef554a8d26636c6c447bac22c6
REF-0036,DATA_CENTER,DESIGN_BUILD,US-SOUTHEAST,57279.167,5.133,133.874,7,0.237314,0.753267,0.94,169865936.81,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4159ab077a27920cb7bcff2849884c8a58e8e4d35e8617c5a428101dfc62097d
REF-0037,AIRPORT_TERMINAL,CMAR,US-SOUTHEAST,51956.428,6.449,29.112,3,0.637935,0.806464,0.94,183726812.15,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c65ae7664e796faea2ccecdc3026a41f21c39a68ad5aa605f93856307902962c
REF-0038,HIGHWAY_CORRIDOR,CMAR,US-SOUTHEAST,6879.569,12.015,72.627,3,0.655082,0.939394,0.94,132529046.17,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c1fa94969bc0dd877be0fd9992d83882836ff5ab509565919ff2a3f1912f2cdc
REF-0039,VERTICAL_HOSPITAL,CMAR,US-SOUTHEAST,35490.93,0.0,57.726,9,0.519617,0.902746,0.94,171879302.68,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,40816ba689de3b521b9c7b96dbfebce41d55f26b0a9db97f3d074133edcfe40d
REF-0040,WATER_TREATMENT,CMAR,US-SOUTHEAST,18924.941,12.365,92.859,7,0.685487,0.547904,0.94,152392813.38,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5e6aa5f067451b3eadb73bcd25420ed2fe6f1843a54215240c5c5523cdbb9748
REF-0041,RAIL_STATION,CMAR,US-SOUTHEAST,1514.84,19.809,57.412,1,0.830303,0.88557,0.94,163806267.49,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7c261feba9b3f7a40559f4704c1c584425aa68385fa586406d35535d7fc28e6f
REF-0042,DATA_CENTER,CMAR,US-SOUTHEAST,30505.946,6.254,82.3,1,0.859766,0.585251,0.94,161486724.55,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fa3fb6ef0c6faec5745a2bbed21c59a3e061c9556098a97c04a82cfb607f4295
REF-0043,AIRPORT_TERMINAL,EPCM,US-SOUTHEAST,48466.941,0.0,38.589,1,0.585912,0.461098,0.94,162933027.48,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cb4ff271f0d9da741bed01db6cbad5c88b00a6996c64aea3593d0550c2e79ca5
REF-0044,HIGHWAY_CORRIDOR,EPCM,US-SOUTHEAST,12869.739,0.0,48.056,1,0.445295,0.754255,0.94,78594035.64,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2f3a18b44740e2a128974a91e2b1c5147d12a34ca8c3c1a79dca6a03115a323c
REF-0045,VERTICAL_HOSPITAL,EPCM,US-SOUTHEAST,60220.229,9.926,87.761,10,0.710797,0.827764,0.94,232400014.1,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,083befd9fee3aca88bc9f552377bcbbdc1f9eed40cfec445542a3102ab7af23a
REF-0046,WATER_TREATMENT,EPCM,US-SOUTHEAST,11467.667,5.242,106.463,1,0.693819,0.45781,0.94,135468095.48,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,74e3c748d18afc0bb5d4c0b601f9b6c39c2766626f243d51a4708918161ff5ef
REF-0047,RAIL_STATION,EPCM,US-SOUTHEAST,3847.332,23.006,36.12,3,0.787959,0.35,0.94,182702379.02,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,04b17aae6719911c805a239dcac4ca4623545e236645f89e8b1241f33aff7c0a
REF-0048,DATA_CENTER,EPCM,US-SOUTHEAST,61395.499,7.65,141.654,9,0.2927,0.763948,0.94,191157863.48,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c35413ca4b3474bd30a491a2672b7467423859ecb19da428facfe5cd74ec9a8d
REF-0049,AIRPORT_TERMINAL,DESIGN_BID_BUILD,US-MIDWEST,38778.478,10.937,49.438,4,0.282455,0.890305,0.91,173864959.26,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bb461b3b8b9b7311a35d3c986dd6f966fcac7559f95555ca2997bb347b7c250a
REF-0050,HIGHWAY_CORRIDOR,DESIGN_BID_BUILD,US-MIDWEST,20203.448,14.11,97.533,1,0.54195,0.740168,0.91,141147272.37,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0d3af21be22eadc63e0bd91fe1f73fcca74e092330a9727ffa648f7adb204243
REF-0051,VERTICAL_HOSPITAL,DESIGN_BID_BUILD,US-MIDWEST,48720.777,8.579,23.304,3,0.712124,0.757447,0.91,209750891.98,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fa47292f8cf16322cef04adad85117bb08c30c53eba5a7128bd5bf1a52fee124
REF-0052,WATER_TREATMENT,DESIGN_BID_BUILD,US-MIDWEST,1063.731,8.591,96.323,2,0.367575,0.729084,0.91,101584681.53,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8eab277303f16a1078f70e1ea70fab6fe296cd06ee34ce21619bb8dc00499dea
REF-0053,RAIL_STATION,DESIGN_BID_BUILD,US-MIDWEST,729.759,23.185,65.987,7,0.497823,0.922758,0.91,177819595.52,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c2951ffc7f562cac789acb09c5417cf637021260c7f758cdd10336d27be0ef3f
REF-0054,DATA_CENTER,DESIGN_BID_BUILD,US-MIDWEST,35598.419,7.609,143.934,1,0.702639,0.862434,0.91,164906570.36,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,db5602431962f07c7c710fd8283aeca4fcfe5b5ac7f7463235e2f8c904b150f0
REF-0055,AIRPORT_TERMINAL,DESIGN_BUILD,US-MIDWEST,33923.501,0.0,81.154,3,0.739889,0.759129,0.91,165202429.52,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2b7cb3c094f6fd7d3783d432bfa3763a64d63222be20ec2b94c955a0ce6bf998
REF-0056,HIGHWAY_CORRIDOR,DESIGN_BUILD,US-MIDWEST,1580.684,17.041,68.849,1,0.547596,0.758276,0.91,127236700.9,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d281ec4f08b5d230f4597007594298a1f184a66a2796742d3f43a168b5d5a13a
REF-0057,VERTICAL_HOSPITAL,DESIGN_BUILD,US-MIDWEST,27570.869,2.976,52.919,15,0.222411,0.760029,0.91,153512079.21,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dbc997335c97f51328ae9be52193f7028dded5fe4b03b29f5bc199f0ca822a34
REF-0058,WATER_TREATMENT,DESIGN_BUILD,US-MIDWEST,37760.973,0.0,92.687,5,0.560504,0.805462,0.91,132363914.68,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9475888e19e7f2f48a894d4307d898294fd28c59caa5ca948e4e0b138a38086d
REF-0059,RAIL_STATION,DESIGN_BUILD,US-MIDWEST,12795.853,15.714,72.792,5,0.310596,0.482514,0.91,148718228.91,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,87e72817d85de231b7567b8c418650c6e66eeebf847d2f03c4d43a6bce9435cd
REF-0060,DATA_CENTER,DESIGN_BUILD,US-MIDWEST,70346.668,5.799,135.538,6,0.6957,0.496326,0.91,183567645.92,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,91218926833565a5abe751571e2181d596960bd80de7b14afd54fd846ec96097
REF-0061,AIRPORT_TERMINAL,CMAR,US-MIDWEST,56780.144,0.0,1.0,7,0.684198,0.690562,0.91,163162415.65,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,162e9bd52a819054f76d3700fe26ea4a5c39403b48b998e59e4eb6721cf47ef3
REF-0062,HIGHWAY_CORRIDOR,CMAR,US-MIDWEST,4950.027,24.755,40.525,3,0.218624,0.430084,0.91,127176658.48,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,372578e6e8e039ba27ee09b55d6f3baa27f373a3300e5ce23eec18da755e7466
REF-0063,VERTICAL_HOSPITAL,CMAR,US-MIDWEST,37708.93,5.239,76.239,8,0.90983,0.705978,0.91,193634442.51,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,517af4cdc8579d68bda2661dfa9925cb26e7a05f25e5fc8c071bf40b6f90d68c
REF-0064,WATER_TREATMENT,CMAR,US-MIDWEST,0.0,5.479,138.63,4,0.2105,0.35,0.91,106005107.04,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,05764fe492db2bbc8a386ff4b4eb2fc9f7ef346d174a40892480374ab839c722
REF-0065,RAIL_STATION,CMAR,US-MIDWEST,21424.631,21.241,25.136,7,0.567552,0.454696,0.91,178236221.34,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3b484686c0525006059381b3fc893cd0b1ac52cae6a691f998a2f6070db1a919
REF-0066,DATA_CENTER,CMAR,US-MIDWEST,54499.17,2.196,88.291,2,0.260774,0.661837,0.91,137238092.72,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,595769aea097e88b3f4b97edb2202401e6a0b649142d6fd6e256aa93f9c3af03
REF-0067,AIRPORT_TERMINAL,EPCM,US-MIDWEST,51170.867,8.065,47.138,2,0.442319,0.916844,0.91,183427402.96,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,716751f213c4e4e63fc12dd88c08f7eea0690d82898cc87b9727c73a10f90d02
REF-0068,HIGHWAY_CORRIDOR,EPCM,US-MIDWEST,21347.006,16.759,21.419,2,0.373819,0.581329,0.91,139268906.34,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,18de49a0caa49d8e71437dda807ceed02bad1b0a23b09026d1320b61fe12e8e3
REF-0069,VERTICAL_HOSPITAL,EPCM,US-MIDWEST,47850.478,0.0,66.999,10,0.489227,0.648783,0.91,175632598.7,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,69332feaf187d38571f1d0afda87cfe82f1a48cbfabe721a08c3d8dbccb7983f
